Product Name,Month Name,Budgets,Short Month
"Product 1","January",29221.179,"Jan"
"Product 2","January",42559.4385,"Jan"
"Product 3","January",,"Jan"
"Product 4","January",19466.649,"Jan"
"Product 5","January",,"Jan"
"Product 6","January",176083.4035,"Jan"
"Product 7","January",,"Jan"
"Product 8","January",71879.5765,"Jan"
"Product 9","January",63425.6505,"Jan"
"Product 10","January",61057.703,"Jan"
"Product 11","January",225004.492,"Jan"
"Product 12","January",11196.504,"Jan"
"Product 13","January",29192.905,"Jan"
"Product 14","January",72607.632,"Jan"
"Product 15","January",7167.459,"Jan"
"Product 1","February",,"Feb"
"Product 2","February",22965.5565,"Feb"
"Product 3","February",,"Feb"
"Product 4","February",44786.016,"Feb"
"Product 5","February",,"Feb"
"Product 6","February",23962.215,"Feb"
"Product 7","February",,"Feb"
"Product 8","February",,"Feb"
"Product 9","February",31271.044,"Feb"
"Product 10","February",65383.625,"Feb"
"Product 11","February",,"Feb"
"Product 12","February",30281.454,"Feb"
"Product 13","February",,"Feb"
"Product 14","February",50193.4185,"Feb"
"Product 15","February",49620.87,"Feb"
"Product 1","March",9295.0775,"Mar"
"Product 2","March",57466.905,"Mar"
"Product 3","March",45408.044,"Mar"
"Product 4","March",13903.7395,"Mar"
"Product 5","March",8736.666,"Mar"
"Product 6","March",61856.4435,"Mar"
"Product 7","March",33674.334,"Mar"
"Product 8","March",50306.5145,"Mar"
"Product 9","March",68451.354,"Mar"
"Product 10","March",41138.67,"Mar"
"Product 11","March",9839.352,"Mar"
"Product 12","March",45874.565,"Mar"
"Product 13","March",5513.43,"Mar"
"Product 14","March",18236.73,"Mar"
"Product 15","March",11896.2855,"Mar"
"Product 1","April",,"Apr"
"Product 2","April",14744.891,"Apr"
"Product 3","April",59347.126,"Apr"
"Product 4","April",8708.392,"Apr"
"Product 5","April",37943.708,"Apr"
"Product 6","April",45181.852,"Apr"
"Product 7","April",,"Apr"
"Product 8","April",98916.589,"Apr"
"Product 9","April",6976.6095,"Apr"
"Product 10","April",,"Apr"
"Product 11","April",,"Apr"
"Product 12","April",19933.17,"Apr"
"Product 13","April",93961.5705,"Apr"
"Product 14","April",51098.1865,"Apr"
"Product 15","April",53755.9425,"Apr"
"Product 1","May",22110.268,"May"
"Product 2","May",,"May"
"Product 3","May",117761.21,"May"
"Product 4","May",7577.432,"May"
"Product 5","May",39421.0245,"May"
"Product 6","May",90236.471,"May"
"Product 7","May",,"May"
"Product 8","May",,"May"
"Product 9","May",57608.275,"May"
"Product 10","May",6085.9785,"May"
"Product 11","May",35215.267,"May"
"Product 12","May",7125.048,"May"
"Product 13","May",,"May"
"Product 14","May",1060.275,"May"
"Product 15","May",1583.344,"May"
"Product 1","June",,"Jun"
"Product 2","June",,"Jun"
"Product 3","June",74134.428,"Jun"
"Product 4","June",48857.472,"Jun"
"Product 5","June",41470.8895,"Jun"
"Product 6","June",17699.524,"Jun"
"Product 7","June",60880.9905,"Jun"
"Product 8","June",,"Jun"
"Product 9","June",141080.1915,"Jun"
"Product 10","June",38940.3665,"Jun"
"Product 11","June",,"Jun"
"Product 12","June",,"Jun"
"Product 13","June",40120.806,"Jun"
"Product 14","June",10744.12,"Jun"
"Product 15","June",37024.803,"Jun"
"Product 1","July",9500.064,"Jul"
"Product 2","July",,"Jul"
"Product 3","July",67341.5995,"Jul"
"Product 4","July",51995.886,"Jul"
"Product 5","July",28691.0415,"Jul"
"Product 6","July",26676.519,"Jul"
"Product 7","July",16328.235,"Jul"
"Product 8","July",52335.174,"Jul"
"Product 9","July",36600.693,"Jul"
"Product 10","July",,"Jul"
"Product 11","July",,"Jul"
"Product 12","July",11917.491,"Jul"
"Product 13","July",11069.271,"Jul"
"Product 14","July",,"Jul"
"Product 15","July",,"Jul"
"Product 1","August",11832.669,"Aug"
"Product 2","August",,"Aug"
"Product 3","August",9118.365,"Aug"
"Product 4","August",23071.584,"Aug"
"Product 5","August",62577.4305,"Aug"
"Product 6","August",,"Aug"
"Product 7","August",9259.735,"Aug"
"Product 8","August",47302.402,"Aug"
"Product 9","August",21205.5,"Aug"
"Product 10","August",,"Aug"
"Product 11","August",,"Aug"
"Product 12","August",1632.8235,"Aug"
"Product 13","August",,"Aug"
"Product 14","August",7464.336,"Aug"
"Product 15","August",75512.7855,"Aug"
"Product 1","September",32727.155,"Sep"
"Product 2","September",16222.2075,"Sep"
"Product 3","September",17607.6335,"Sep"
"Product 4","September",21226.7055,"Sep"
"Product 5","September",4488.4975,"Sep"
"Product 6","September",107829.9675,"Sep"
"Product 7","September",,"Sep"
"Product 8","September",,"Sep"
"Product 9","September",5301.375,"Sep"
"Product 10","September",,"Sep"
"Product 11","September",71533.22,"Sep"
"Product 12","September",20597.609,"Sep"
"Product 13","September",,"Sep"
"Product 14","September",43146.124,"Sep"
"Product 15","September",71759.412,"Sep"
"Product 1","October",,"Oct"
"Product 2","October",56434.904,"Oct"
"Product 3","October",,"Oct"
"Product 4","October",58428.221,"Oct"
"Product 5","October",8708.392,"Oct"
"Product 6","October",22251.638,"Oct"
"Product 7","October",77039.5815,"Oct"
"Product 8","October",25347.641,"Oct"
"Product 9","October",,"Oct"
"Product 10","October",54512.272,"Oct"
"Product 11","October",13359.465,"Oct"
"Product 12","October",,"Oct"
"Product 13","October",67709.1615,"Oct"
"Product 14","October",9139.5705,"Oct"
"Product 15","October",,"Oct"
"Product 1","November",,"Nov"
"Product 2","November",,"Nov"
"Product 3","November",,"Nov"
"Product 4","November",54561.7515,"Nov"
"Product 5","November",66945.7635,"Nov"
"Product 6","November",71278.754,"Nov"
"Product 7","November",9789.8725,"Nov"
"Product 8","November",1484.385,"Nov"
"Product 9","November",6997.815,"Nov"
"Product 10","November",,"Nov"
"Product 11","November",1229.919,"Nov"
"Product 12","November",16575.6325,"Nov"
"Product 13","November",6743.349,"Nov"
"Product 14","November",,"Nov"
"Product 15","November",91841.0205,"Nov"
"Product 1","December",2410.3585,"Dec"
"Product 2","December",30578.331,"Dec"
"Product 3","December",21551.8565,"Dec"
"Product 4","December",,"Dec"
"Product 5","December",2261.92,"Dec"
"Product 6","December",30705.564,"Dec"
"Product 7","December",28401.233,"Dec"
"Product 8","December",10341.2155,"Dec"
"Product 9","December",87140.468,"Dec"
"Product 10","December",,"Dec"
"Product 11","December",23820.845,"Dec"
"Product 12","December",,"Dec"
"Product 13","December",34557.8965,"Dec"
"Product 14","December",36770.337,"Dec"
"Product 15","December",3110.14,"Dec"
