Request ID,Start date,End date,Execution order,New status of the request,Country,StartTime,EndTime,StartHour,StartMinute,EndHour,EndMinute,Bus_Hours
276567,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,2,Finalize Resolution,FR,1899-12-30 09:44:33.000,1899-12-30 09:51:45.000,9,44,9,51,8
276568,2020-12-15 00:00:00.000,2020-12-16 00:00:00.000,2,Finalize Resolution,FR,1899-12-30 09:50:50.000,1899-12-30 11:03:51.000,9,50,11,3,8
276564,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,2,Finalize Resolution,FR,1899-12-30 09:21:54.000,1899-12-30 09:25:00.000,9,21,9,25,8
276589,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,1,Assigned to Tier 1,FR,1899-12-30 14:41:48.000,1899-12-30 14:41:50.000,14,41,14,41,0
276575,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,1,Assigned to Tier 1,FR,1899-12-30 10:17:54.000,1899-12-30 10:17:55.000,10,17,10,17,0
276573,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,2,Finalize Resolution,FR,1899-12-30 10:07:06.000,1899-12-30 10:26:21.000,10,7,10,26,8
276582,2020-12-16 00:00:00.000,2020-12-16 00:00:00.000,3,Case Closed!,FR,1899-12-30 11:02:59.000,1899-12-30 11:03:12.000,11,2,11,3,8
276573,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,3,Case Closed!,FR,1899-12-30 10:26:21.000,1899-12-30 10:26:36.000,10,26,10,26,0
276865,2020-12-16 00:00:00.000,2020-12-16 00:00:00.000,1,Assigned to Tier 1,AU,1899-12-30 02:56:14.000,1899-12-30 02:56:16.000,2,56,2,56,0
276573,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,1,Assigned to Tier 1,FR,1899-12-30 10:07:06.000,1899-12-30 10:07:06.000,10,7,10,7,0
276589,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,2,Finalize Resolution,FR,1899-12-30 14:41:50.000,1899-12-30 14:44:23.000,14,41,14,44,8
276848,2020-12-16 00:00:00.000,2020-12-16 00:00:00.000,3,Case Closed!,AU,1899-12-30 01:29:07.000,1899-12-30 01:30:31.000,1,29,1,30,0
276540,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,2,Finalize Resolution,AU,1899-12-30 00:57:50.000,1899-12-30 15:00:35.000,0,57,15,0,8
