storagearraydisk_pk,resource_fk,name,identifier,category,element_type,vendor_define_type,storagearray_fk,storagearray_name,storagearray_type,storagearray_identifier,storagearraypool_fk,storagearraypool_name,block_size,drive_index,dpe,encryption,failed,failed_reason,hot_spare,manufacturer,model,part_number,plex_name,raid_group_name,rpm,serial_number,slot,software_version,technology,vaulted,capacity,used_capacity,free_capacity,spare_capacity,publish_capacity,consumable_capacity,percent_free,percent_used,status,first_added,last_edited,last_changed
"2434","2434","2:18:0","disk|200000030BA1999B-id-66|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb001200","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.750,2021-11-11 20:16:12.693,2021-07-27 15:01:25.780
"2434","2434","2:18:0","disk|200000030BA1999B-id-66|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb001200","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.750,2021-11-11 20:16:12.693,2021-07-27 15:01:25.780
"2458","2458","3:18:0","disk|200000030BA4999B-id-90|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb031200","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.886,2021-11-11 20:16:12.906,2021-07-27 15:01:26.080
"2458","2458","3:18:0","disk|200000030BA4999B-id-90|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb031200","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.886,2021-11-11 20:16:12.906,2021-07-27 15:01:26.080
"2457","2457","3:17:0","disk|200000030BA4989B-id-89|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb031100","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.883,2021-11-11 20:16:12.896,2021-07-27 15:01:26.066
"2457","2457","3:17:0","disk|200000030BA4989B-id-89|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb031100","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.883,2021-11-11 20:16:12.896,2021-07-27 15:01:26.066
"2415","2415","1:23:0","disk|200000030BA29E9B-id-47|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb011700","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.640,2021-11-11 20:16:12.523,2021-07-27 15:01:25.543
"2415","2415","1:23:0","disk|200000030BA29E9B-id-47|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb011700","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.640,2021-11-11 20:16:12.523,2021-07-27 15:01:25.543
"2126","2126","SH1.BAY15","disk|SH1.BAY15|array|def59bf5-854d-4d07-a456-adcceb18fceb","{disk}","disk","Disk","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,,"","","","",,"","PURE-SSD-511587647488","","","","","","","","ssd",,476.453,,,"",512,,"","","ok",2021-01-26 20:11:55.250,2021-11-11 15:54:12.593,2021-07-27 14:53:25.553
"2133","2133","SH1.BAY22","disk|SH1.BAY22|array|def59bf5-854d-4d07-a456-adcceb18fceb","{disk}","disk","Disk","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,,"","","","",,"","PURE-SSD-511587647488","","","","","","","","ssd",,476.453,,,"",512,,"","","ok",2021-01-26 20:11:55.273,2021-11-11 15:54:12.650,2021-07-27 14:53:25.633
