Date,Year,QuarterOfYear,MonthOfYear,DayOfMonth,DateInt,MonthName,MonthInCalendar,QuarterInCalendar,DayInWeek,DayOfWeekName,WeekEnding,Week Number,MonthnYear,QuarternYear,ShortYear,FY,MonthNo
1995-07-01 00:00:00.000,"1995",3,7,1,19950701,"July","Jul 1995","Q3 1995",5,"Saturday",1995-07-02 00:00:00.000,27,19950700,19950300,"95","FY96",7
1995-07-02 00:00:00.000,"1995",3,7,2,19950702,"July","Jul 1995","Q3 1995",6,"Sunday",1995-07-02 00:00:00.000,27,19950700,19950300,"95","FY96",7
1995-07-03 00:00:00.000,"1995",3,7,3,19950703,"July","Jul 1995","Q3 1995",0,"Monday",1995-07-09 00:00:00.000,28,19950700,19950300,"95","FY96",7
1995-07-04 00:00:00.000,"1995",3,7,4,19950704,"July","Jul 1995","Q3 1995",1,"Tuesday",1995-07-09 00:00:00.000,28,19950700,19950300,"95","FY96",7
1995-07-05 00:00:00.000,"1995",3,7,5,19950705,"July","Jul 1995","Q3 1995",2,"Wednesday",1995-07-09 00:00:00.000,28,19950700,19950300,"95","FY96",7
1995-07-06 00:00:00.000,"1995",3,7,6,19950706,"July","Jul 1995","Q3 1995",3,"Thursday",1995-07-09 00:00:00.000,28,19950700,19950300,"95","FY96",7
1995-07-07 00:00:00.000,"1995",3,7,7,19950707,"July","Jul 1995","Q3 1995",4,"Friday",1995-07-09 00:00:00.000,28,19950700,19950300,"95","FY96",7
1995-07-08 00:00:00.000,"1995",3,7,8,19950708,"July","Jul 1995","Q3 1995",5,"Saturday",1995-07-09 00:00:00.000,28,19950700,19950300,"95","FY96",7
1995-07-09 00:00:00.000,"1995",3,7,9,19950709,"July","Jul 1995","Q3 1995",6,"Sunday",1995-07-09 00:00:00.000,28,19950700,19950300,"95","FY96",7
1995-07-10 00:00:00.000,"1995",3,7,10,19950710,"July","Jul 1995","Q3 1995",0,"Monday",1995-07-16 00:00:00.000,29,19950700,19950300,"95","FY96",7
1995-07-11 00:00:00.000,"1995",3,7,11,19950711,"July","Jul 1995","Q3 1995",1,"Tuesday",1995-07-16 00:00:00.000,29,19950700,19950300,"95","FY96",7
1995-07-12 00:00:00.000,"1995",3,7,12,19950712,"July","Jul 1995","Q3 1995",2,"Wednesday",1995-07-16 00:00:00.000,29,19950700,19950300,"95","FY96",7
1995-07-13 00:00:00.000,"1995",3,7,13,19950713,"July","Jul 1995","Q3 1995",3,"Thursday",1995-07-16 00:00:00.000,29,19950700,19950300,"95","FY96",7
1995-07-14 00:00:00.000,"1995",3,7,14,19950714,"July","Jul 1995","Q3 1995",4,"Friday",1995-07-16 00:00:00.000,29,19950700,19950300,"95","FY96",7
1995-07-15 00:00:00.000,"1995",3,7,15,19950715,"July","Jul 1995","Q3 1995",5,"Saturday",1995-07-16 00:00:00.000,29,19950700,19950300,"95","FY96",7
1995-07-16 00:00:00.000,"1995",3,7,16,19950716,"July","Jul 1995","Q3 1995",6,"Sunday",1995-07-16 00:00:00.000,29,19950700,19950300,"95","FY96",7
1995-07-17 00:00:00.000,"1995",3,7,17,19950717,"July","Jul 1995","Q3 1995",0,"Monday",1995-07-23 00:00:00.000,30,19950700,19950300,"95","FY96",7
1995-07-18 00:00:00.000,"1995",3,7,18,19950718,"July","Jul 1995","Q3 1995",1,"Tuesday",1995-07-23 00:00:00.000,30,19950700,19950300,"95","FY96",7
1995-07-19 00:00:00.000,"1995",3,7,19,19950719,"July","Jul 1995","Q3 1995",2,"Wednesday",1995-07-23 00:00:00.000,30,19950700,19950300,"95","FY96",7
1995-07-20 00:00:00.000,"1995",3,7,20,19950720,"July","Jul 1995","Q3 1995",3,"Thursday",1995-07-23 00:00:00.000,30,19950700,19950300,"95","FY96",7
1995-07-21 00:00:00.000,"1995",3,7,21,19950721,"July","Jul 1995","Q3 1995",4,"Friday",1995-07-23 00:00:00.000,30,19950700,19950300,"95","FY96",7
1995-07-22 00:00:00.000,"1995",3,7,22,19950722,"July","Jul 1995","Q3 1995",5,"Saturday",1995-07-23 00:00:00.000,30,19950700,19950300,"95","FY96",7
1995-07-23 00:00:00.000,"1995",3,7,23,19950723,"July","Jul 1995","Q3 1995",6,"Sunday",1995-07-23 00:00:00.000,30,19950700,19950300,"95","FY96",7
1995-07-24 00:00:00.000,"1995",3,7,24,19950724,"July","Jul 1995","Q3 1995",0,"Monday",1995-07-30 00:00:00.000,31,19950700,19950300,"95","FY96",7
1995-07-25 00:00:00.000,"1995",3,7,25,19950725,"July","Jul 1995","Q3 1995",1,"Tuesday",1995-07-30 00:00:00.000,31,19950700,19950300,"95","FY96",7
1995-07-26 00:00:00.000,"1995",3,7,26,19950726,"July","Jul 1995","Q3 1995",2,"Wednesday",1995-07-30 00:00:00.000,31,19950700,19950300,"95","FY96",7
1995-07-27 00:00:00.000,"1995",3,7,27,19950727,"July","Jul 1995","Q3 1995",3,"Thursday",1995-07-30 00:00:00.000,31,19950700,19950300,"95","FY96",7
1995-07-28 00:00:00.000,"1995",3,7,28,19950728,"July","Jul 1995","Q3 1995",4,"Friday",1995-07-30 00:00:00.000,31,19950700,19950300,"95","FY96",7
1995-07-29 00:00:00.000,"1995",3,7,29,19950729,"July","Jul 1995","Q3 1995",5,"Saturday",1995-07-30 00:00:00.000,31,19950700,19950300,"95","FY96",7
1995-07-30 00:00:00.000,"1995",3,7,30,19950730,"July","Jul 1995","Q3 1995",6,"Sunday",1995-07-30 00:00:00.000,31,19950700,19950300,"95","FY96",7
