OrderID,ProductID,UnitPrice,Quantity,Discount,DataChecker,Employee ID,Order Date
10291,51,42.4,2,0.1000000014901161,84.8,6,1996-08-27 00:00:00.000
10648,24,4.5,15,0.1500000059604644,67.5,5,1997-08-28 00:00:00.000
10648,22,21.0,15,0.0,315.0,5,1997-08-28 00:00:00.000
10502,45,9.5,21,0.0,199.5,2,1997-04-10 00:00:00.000
10740,45,9.5,40,0.2000000029802322,380.0,4,1997-11-13 00:00:00.000
10293,75,6.2,6,0.0,37.2,1,1996-08-29 00:00:00.000
10875,47,9.5,21,0.1000000014901161,199.5,4,1998-02-06 00:00:00.000
10985,16,17.45,36,0.1000000014901161,628.2,2,1998-03-30 00:00:00.000
10583,60,34.0,24,0.1500000059604644,816.0,2,1997-06-30 00:00:00.000
10957,64,33.25,8,0.0,266.0,8,1998-03-18 00:00:00.000
10442,66,13.6,60,0.0,816.0,3,1997-02-11 00:00:00.000
10429,50,13.0,40,0.0,520.0,3,1997-01-29 00:00:00.000
10861,21,10.0,40,0.0,400.0,4,1998-01-30 00:00:00.000
11021,2,19.0,11,0.25,209.0,3,1998-04-14 00:00:00.000
10749,76,18.0,10,0.0,180.0,4,1997-11-20 00:00:00.000
10574,62,49.3,10,0.0,493.0,4,1997-06-19 00:00:00.000
10432,26,24.9,10,0.0,249.0,3,1997-01-31 00:00:00.000
10844,22,21.0,35,0.0,735.0,8,1998-01-21 00:00:00.000
10431,17,31.2,50,0.25,1560.0,4,1997-01-30 00:00:00.000
10318,76,14.4,6,0.0,86.4,8,1996-10-01 00:00:00.000
10475,31,10.0,35,0.1500000059604644,350.0,9,1997-03-14 00:00:00.000
10501,54,7.45,20,0.0,149.0,9,1997-04-09 00:00:00.000
10679,59,55.0,12,0.0,660.0,8,1997-09-23 00:00:00.000
11002,42,14.0,24,0.1500000059604644,336.0,4,1998-04-06 00:00:00.000
10474,28,36.4,18,0.0,655.2,5,1997-03-13 00:00:00.000
10912,11,21.0,40,0.25,840.0,2,1998-02-26 00:00:00.000
10327,30,20.7,35,0.2000000029802322,724.5,2,1996-10-11 00:00:00.000
10562,33,2.5,20,0.1000000014901161,50.0,1,1997-06-09 00:00:00.000
10440,2,15.2,45,0.1500000059604644,684.0,4,1997-02-10 00:00:00.000
10498,24,4.5,14,0.0,63.0,8,1997-04-07 00:00:00.000
10671,62,49.3,10,0.0,493.0,1,1997-09-17 00:00:00.000
10502,53,32.8,6,0.0,196.8,2,1997-04-10 00:00:00.000
10417,68,10.0,36,0.25,360.0,4,1997-01-16 00:00:00.000
