BA-Subregion,BA Code,BA Name,BA Subregion Code,BA Subregion Name,Generation Only BA,Demand by BA Subregion,City,NOAA Station ID
"AECI-N/A","AECI","Associated Electric Cooperative, Inc.","AECI","Associated Electric Cooperative, Inc.","No","No","Springfield, MO","GHCND:USW00013995"
"AEC-N/A","AEC","PowerSouth Energy Cooperative","AEC","PowerSouth Energy Cooperative","No","No","Mobile, AL","GHCND:USW00013894"
"AVA-N/A","AVA","Avista Corporation","AVA","Avista Corporation","No","No","Spokane, WA","GHCND:USW00024157"
"AZPS-N/A","AZPS","Arizona Public Service Company","AZPS","Arizona Public Service Company","No","No","Phoenix, AZ","GHCND:USW00023183"
"BANC-N/A","BANC","Balancing Authority of Northern California","BANC","Balancing Authority of Northern California","No","No","Sacramento, CA","GHCND:USW00023232"
"BPAT-N/A","BPAT","Bonneville Power Administration","BPAT","Bonneville Power Administration","No","No","Bend, OR","GHCND:USW00024230"
"CHPD-N/A","CHPD","Public Utility District No. 1 of Chelan County","CHPD","Public Utility District No. 1 of Chelan County","No","No","Wenatchee, WA","GHCND:USW00094239"
"CISO-PGAE","CISO","California Independent System Operator","PGAE","Pacific Gas and Electric","No","Yes","San Francisco, CA","GHCND:USW00023234"
"CISO-SCE","CISO","California Independent System Operator","SCE","Southern California Edison","No","Yes","Simi Valley, CA","GHCND:USR0000CCHB"
"CISO-SDGE","CISO","California Independent System Operator","SDGE","San Diego Gas and Electric","No","Yes","San Diego, CA","GHCND:USW00023188"
"CISO-VEA","CISO","California Independent System Operator","VEA","Valley Electric Association","No","Yes","Fresno, CA","GHCND:USW00093193"
"CPLE-N/A","CPLE","Duke Energy Progress East","CPLE","Duke Energy Progress East","No","No","Charlotte, NC","GHCND:USW00013881"
"CPLW-N/A","CPLW","Duke Energy Progress West","CPLW","Duke Energy Progress West","No","No","Charlotte, NC","GHCND:USR0000NDUK"
"DOPD-N/A","DOPD","PUD No. 1 of Douglas County","DOPD","PUD No. 1 of Douglas County","No","No","Yakima, WA","GHCND:USW00024243"
"DUK-N/A","DUK","Duke Energy Carolinas","DUK","Duke Energy Carolinas","No","No","Charlotte, NC","GHCND:USR0000NCAS"
"EPE-N/A","EPE","El Paso Electric Company","EPE","El Paso Electric Company","No","No","El Paso, TX","GHCND:USW00023044"
"ERCO-COAS","ERCO","Electric Reliability Council of Texas, Inc.","COAS","Coast","No","Yes","Houston, TX","GHCND:USW00012918"
"ERCO-EAST","ERCO","Electric Reliability Council of Texas, Inc.","EAST","East","No","Yes","Tyler, TX","GHCND:USC00419207"
"ERCO-FWES","ERCO","Electric Reliability Council of Texas, Inc.","FWES","Far West","No","Yes","Midland, TX","GHCND:USW00023023"
"ERCO-NCEN","ERCO","Electric Reliability Council of Texas, Inc.","NCEN","North Central","No","Yes","Dallas, TX","GHCND:USW00013960"
"ERCO-NRTH","ERCO","Electric Reliability Council of Texas, Inc.","NRTH","North","No","Yes","Wichita Falls, TX","GHCND:USW00013966"
"ERCO-SCEN","ERCO","Electric Reliability Council of Texas, Inc.","SCEN","South Central","No","Yes","San Antonio, TX","GHCND:USW00012921"
"ERCO-SOUT","ERCO","Electric Reliability Council of Texas, Inc.","SOUT","South","No","Yes","Corpus Christi, TX","GHCND:USW00012924"
"ERCO-WEST","ERCO","Electric Reliability Council of Texas, Inc.","WEST","West","No","Yes","Abilene, TX","GHCND:USW00013962"
"FMPP-N/A","FMPP","Florida Municipal Power Pool","FMPP","Florida Municipal Power Pool","No","No","Orlando, FL","GHCND:USW00012815"
"FPC-N/A","FPC","Duke Energy Florida, Inc.","FPC","Duke Energy Florida, Inc.","No","No","Orlando, FL","GHCND:USW00012854"
"FPL-N/A","FPL","Florida Power & Light Co.","FPL","Florida Power & Light Co.","No","No","West Palm Beach, FL","GHCND:USW00012844"
"GCPD-N/A","GCPD","Public Utility District No. 2 of Grant County, Washington","GCPD","Public Utility District No. 2 of Grant County, Washington","No","No","Moses Lake, WA","GHCND:USW00024110"
"GVL-N/A","GVL","Gainesville Regional Utilities","GVL","Gainesville Regional Utilities","No","No","Gainesville, FL","GHCND:USW00012816"
"HST-N/A","HST","City of Homestead","HST","City of Homestead","No","No","Miami, FL","GHCND:USW00012839"
"IID-N/A","IID","Imperial Irrigation District","IID","Imperial Irrigation District","No","No","Yuma, AZ","GHCND:US1AZYM0001"
"IPCO-N/A","IPCO","Idaho Power Company","IPCO","Idaho Power Company","No","No","Boise, ID","GHCND:USW00024131"
"ISNE-4001","ISNE","ISO New England","4001","Maine","No","Yes","Bangor, ME","GHCND:USW00014606"
"ISNE-4002","ISNE","ISO New England","4002","New Hampshire","No","Yes","Manchester, NH","GHCND:USW00014745"
"ISNE-4003","ISNE","ISO New England","4003","Vermont","No","Yes","Burlington, VT","GHCND:USW00014742"
