Item Number,Category,Product Name,Week ID,Week Number ID,Average Inventory On Hand ($),In-Stock %,Sales ($),Year and Quarter
25621,Premium Computers,"Dell Latitude 5300 13.3-inch FHD 512GB SSD Touchscreen 2-in-1 Laptop (16GB RAM, Quad-Core i7-8665U up to 4.8GHz, Integrated UHD 620 Graphics, Windows 10 Pro) Black",2019-09-13 00:00:00.000,32,68372.34,0.980075947445389,30007.93,2019 3
25621,Premium Computers,"Dell Latitude 5300 13.3-inch FHD 512GB SSD Touchscreen 2-in-1 Laptop (16GB RAM, Quad-Core i7-8665U up to 4.8GHz, Integrated UHD 620 Graphics, Windows 10 Pro) Black",2019-07-26 00:00:00.000,25,24800.52,0.988844164151806,5611.23,2019 3
18520,Tablets,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)",2019-05-31 00:00:00.000,17,12381.03,0.959916804886977,2507.88,2019 2
29744,Premium Computers,"2020 HP 15.6"" Touchscreen Laptop Computer, 10th Gen Intel Quard-Core i5 1035G1(Beats i7-7500U), 32GB DDR4 RAM, 2TB PCIe SSD, AC WiFi, Silver, Windows 10 Home + YZAKKA External DVD Drive",2019-11-01 00:00:00.000,39,17433.42,0.987549638132296,2486.07,2019 4
26858,Tablets,"Fire HD 8 Tablet (8"" HD Display, 16 GB) - White",2019-03-01 00:00:00.000,4,42179.92,0.976483617586912,1616.9,2019 1
25621,Premium Computers,"Dell Latitude 5300 13.3-inch FHD 512GB SSD Touchscreen 2-in-1 Laptop (16GB RAM, Quad-Core i7-8665U up to 4.8GHz, Integrated UHD 620 Graphics, Windows 10 Pro) Black",2019-12-20 00:00:00.000,46,86735.08,0.990202134605467,21220.73,2019 4
18596,Tablets,"Apple iPad (Wi-Fi, 64GB) - Space Gray (Previous Model)",2019-09-27 00:00:00.000,34,11806.16,0.979936328745543,3370.02,2019 3
26858,Tablets,"Fire HD 8 Tablet (8"" HD Display, 16 GB) - White",2019-11-01 00:00:00.000,39,35700.45,0.984462152882205,1302.86,2019 4
18520,Tablets,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)",2019-04-12 00:00:00.000,10,2178.97,1.000001,172.73,2019 2
18446,Low Cost Computers,"2020 HP 14“ Laptop (AMD A9-9425 up to 3.7 GHz, 4GB DDR4 RAM, 128GB SSD, AMD Radeon R5 Graphic, Wi-Fi, Bluetooth, HDMI, Windows 10 Home)",2019-08-02 00:00:00.000,26,12816.59,0.972207781545303,1554.91,2019 3
18520,Tablets,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)",2019-03-08 00:00:00.000,5,143.51,1.000001,9.32,2019 1
25613,Tablets,"Fire HD 8 Tablet (8"" HD Display, 16 GB) - Black",2019-07-12 00:00:00.000,23,50568.61,0.992429654630169,6160.52,2019 3
26626,Premium Computers,"HP ENVY 13 Inch Thin Laptop w/ Fingerprint Reader, 4K Touchscreen, Intel Core i7-8565U, NVIDIA GeForce MX250 Graphics, 16GB SDRAM, 512GB SSD, Windows 10 Home (13-aq0044nr, Natural Silver)",2019-05-24 00:00:00.000,16,78017.81,0.995599006644518,26905.29,2019 2
18520,Tablets,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)",2019-02-08 00:00:00.000,1,4340.96,1.000001,159.67,2019 1
26473,Low Cost Computers,"2020 HP Premium 14"" Micro-Edge Laptop Computer, AMD A9-9425 up to 3.7GHz, 4GB DDR4 RAM, 128GB PCIe SSD, WiFi, Bluetooth 4.2, USB Type-C, HDMI, Webcam, Silver, Windows 10 Home, YZAKKA Accessories",2019-06-14 00:00:00.000,19,111593.19,0.996759934828311,7008.22,2019 2
26858,Tablets,"Fire HD 8 Tablet (8"" HD Display, 16 GB) - White",2019-11-15 00:00:00.000,41,33471.09,0.987956838072934,1577.24,2019 4
18432,Premium Computers,"Razer Blade 15 Gaming Laptop 2019: Intel Core i7-9750H 6 Core, NVIDIA GeForce RTX 2060, 15.6"" FHD 1080p 144Hz, 16GB RAM, 512GB SSD, CNC Aluminum, Chroma RGB Lighting, Thunderbolt 3, Quartz Pink",2019-03-08 00:00:00.000,5,26723.89,0.977933636469222,6558.45,2019 1
12346,Monitors,VINTEZ 24 Inch - Gold - High Clarity - Computer Privacy Screen Filter for Widescreen Computer Monitor - Anti-Scratch Protector Film for Data confidentiality - 16:9 Aspect Ratio,2019-09-27 00:00:00.000,34,15156.67,0.981222059852512,7327.78,2019 3
98028,Premium Computers,"Lenovo ThinkPad T490s Business Laptop, 14.0"" FHD (1920 x 1080) IPS Touchscreen Notebook, Intel i7-8665U Processor, 8GB DDR4 RAM, 512GB PCIe SSD, Windows 10 Pro 64-bit",2019-05-17 00:00:00.000,15,66569.07,0.985927354347407,12569.74,2019 2
18581,Computer Monitors,"27''W Inch Privacy Screen Filter for Desktop Computer Widescreen Monitor - Anti-Glare, Blocks 96% UV,Anti-Scratch with 16:9 Aspect Ratio",2019-08-30 00:00:00.000,30,4697.77,0.956710956709957,502.16,2019 3
29744,Premium Computers,"2020 HP 15.6"" Touchscreen Laptop Computer, 10th Gen Intel Quard-Core i5 1035G1(Beats i7-7500U), 32GB DDR4 RAM, 2TB PCIe SSD, AC WiFi, Silver, Windows 10 Home + YZAKKA External DVD Drive",2019-12-06 00:00:00.000,44,31138.68,0.984168658094628,14092.8,2019 4
18596,Tablets,"Apple iPad (Wi-Fi, 64GB) - Space Gray (Previous Model)",2019-03-15 00:00:00.000,6,10136.78,0.929028973769403,4545.5,2019 1
18432,Premium Computers,"Razer Blade 15 Gaming Laptop 2019: Intel Core i7-9750H 6 Core, NVIDIA GeForce RTX 2060, 15.6"" FHD 1080p 144Hz, 16GB RAM, 512GB SSD, CNC Aluminum, Chroma RGB Lighting, Thunderbolt 3, Quartz Pink",2019-05-03 00:00:00.000,13,19859.99,0.976039471105215,5440.06,2019 2
25635,Monitors,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Monitor (HDMI & VGA port),2019-02-08 00:00:00.000,1,41811.37,0.988919477794004,7746.64,2019 1
25621,Premium Computers,"Dell Latitude 5300 13.3-inch FHD 512GB SSD Touchscreen 2-in-1 Laptop (16GB RAM, Quad-Core i7-8665U up to 4.8GHz, Integrated UHD 620 Graphics, Windows 10 Pro) Black",2019-03-29 00:00:00.000,8,76966.36,0.993411817241695,32500.57,2019 1
18446,Low Cost Computers,"2020 HP 14“ Laptop (AMD A9-9425 up to 3.7 GHz, 4GB DDR4 RAM, 128GB SSD, AMD Radeon R5 Graphic, Wi-Fi, Bluetooth, HDMI, Windows 10 Home)",2019-05-03 00:00:00.000,13,61701.35,0.967498198034313,20743.51,2019 2
25621,Premium Computers,"Dell Latitude 5300 13.3-inch FHD 512GB SSD Touchscreen 2-in-1 Laptop (16GB RAM, Quad-Core i7-8665U up to 4.8GHz, Integrated UHD 620 Graphics, Windows 10 Pro) Black",2019-06-14 00:00:00.000,19,15304.62,0.932797191173778,4212.29,2019 2
