Respondent Number,Gender,Age,Product Number,Question,Answer
1,"Male",35,"98028","What would you rate this product overall?",3
1,"Male",35,"98028","Usablility(1-5)",4
1,"Male",35,"98028","Hardware Qualitiy(1-5)",2
1,"Male",35,"98028","Software Quality(1-5)",5
2,"Female",54,"25621","What would you rate this product overall?",3
2,"Female",54,"25621","Usablility(1-5)",2
2,"Female",54,"25621","Hardware Qualitiy(1-5)",1
2,"Female",54,"25621","Software Quality(1-5)",4
3,"Male",52,"26626","What would you rate this product overall?",5
3,"Male",52,"26626","Usablility(1-5)",5
3,"Male",52,"26626","Hardware Qualitiy(1-5)",5
3,"Male",52,"26626","Software Quality(1-5)",4
4,"Male",23,"18432","What would you rate this product overall?",2
4,"Male",23,"18432","Usablility(1-5)",2
4,"Male",23,"18432","Hardware Qualitiy(1-5)",2
4,"Male",23,"18432","Software Quality(1-5)",1
5,"Female",21,"29744","What would you rate this product overall?",1
5,"Female",21,"29744","Usablility(1-5)",3
5,"Female",21,"29744","Hardware Qualitiy(1-5)",1
5,"Female",21,"29744","Software Quality(1-5)",2
6,"Male",64,"26626","What would you rate this product overall?",4
6,"Male",64,"26626","Usablility(1-5)",4
6,"Male",64,"26626","Hardware Qualitiy(1-5)",5
6,"Male",64,"26626","Software Quality(1-5)",5
7,"Female",65,"18432","What would you rate this product overall?",5
7,"Female",65,"18432","Usablility(1-5)",4
7,"Female",65,"18432","Hardware Qualitiy(1-5)",5
7,"Female",65,"18432","Software Quality(1-5)",5
8,"Male",24,"98028","What would you rate this product overall?",2
8,"Male",24,"98028","Usablility(1-5)",3
8,"Male",24,"98028","Hardware Qualitiy(1-5)",1
8,"Male",24,"98028","Software Quality(1-5)",3
9,"Female",50,"25621","What would you rate this product overall?",4
9,"Female",50,"25621","Usablility(1-5)",5
9,"Female",50,"25621","Hardware Qualitiy(1-5)",5
9,"Female",50,"25621","Software Quality(1-5)",5
10,"Male",34,"26626","What would you rate this product overall?",3
10,"Male",34,"26626","Usablility(1-5)",4
10,"Male",34,"26626","Hardware Qualitiy(1-5)",2
10,"Male",34,"26626","Software Quality(1-5)",3
11,"Male",68,"98028","What would you rate this product overall?",5
11,"Male",68,"98028","Usablility(1-5)",5
11,"Male",68,"98028","Hardware Qualitiy(1-5)",5
11,"Male",68,"98028","Software Quality(1-5)",5
12,"Female",70,"25621","What would you rate this product overall?",5
12,"Female",70,"25621","Usablility(1-5)",5
12,"Female",70,"25621","Hardware Qualitiy(1-5)",5
12,"Female",70,"25621","Software Quality(1-5)",5
13,"Male",71,"26626","What would you rate this product overall?",5
13,"Male",71,"26626","Usablility(1-5)",4
13,"Male",71,"26626","Hardware Qualitiy(1-5)",4
13,"Male",71,"26626","Software Quality(1-5)",5
14,"Male",23,"18432","What would you rate this product overall?",1
14,"Male",23,"18432","Usablility(1-5)",2
14,"Male",23,"18432","Hardware Qualitiy(1-5)",1
14,"Male",23,"18432","Software Quality(1-5)",1
15,"Female",24,"29744","What would you rate this product overall?",3
15,"Female",24,"29744","Usablility(1-5)",1
15,"Female",24,"29744","Hardware Qualitiy(1-5)",2
15,"Female",24,"29744","Software Quality(1-5)",1
16,"Female",26,"26626","What would you rate this product overall?",4
16,"Female",26,"26626","Usablility(1-5)",3
16,"Female",26,"26626","Hardware Qualitiy(1-5)",4
16,"Female",26,"26626","Software Quality(1-5)",2
17,"Female",65,"18432","What would you rate this product overall?",4
17,"Female",65,"18432","Usablility(1-5)",5
17,"Female",65,"18432","Hardware Qualitiy(1-5)",3
17,"Female",65,"18432","Software Quality(1-5)",4
18,"Female",34,"98028","What would you rate this product overall?",4
18,"Female",34,"98028","Usablility(1-5)",3
18,"Female",34,"98028","Hardware Qualitiy(1-5)",4
18,"Female",34,"98028","Software Quality(1-5)",3
19,"Male",71,"98028","What would you rate this product overall?",4
19,"Male",71,"98028","Usablility(1-5)",5
19,"Male",71,"98028","Hardware Qualitiy(1-5)",4
19,"Male",71,"98028","Software Quality(1-5)",2
20,"Male",43,"25621","What would you rate this product overall?",2
20,"Male",43,"25621","Usablility(1-5)",4
20,"Male",43,"25621","Hardware Qualitiy(1-5)",5
20,"Male",43,"25621","Software Quality(1-5)",5
21,"Male",42,"26626","What would you rate this product overall?",3
21,"Male",42,"26626","Usablility(1-5)",5
21,"Male",42,"26626","Hardware Qualitiy(1-5)",4
21,"Male",42,"26626","Software Quality(1-5)",3
22,"Female",41,"98028","What would you rate this product overall?",5
22,"Female",41,"98028","Usablility(1-5)",4
22,"Female",41,"98028","Hardware Qualitiy(1-5)",5
22,"Female",41,"98028","Software Quality(1-5)",3
23,"Female",50,"25621","What would you rate this product overall?",5
23,"Female",50,"25621","Usablility(1-5)",4
23,"Female",50,"25621","Hardware Qualitiy(1-5)",5
23,"Female",50,"25621","Software Quality(1-5)",4
24,"Female",52,"26626","What would you rate this product overall?",5
24,"Female",52,"26626","Usablility(1-5)",5
24,"Female",52,"26626","Hardware Qualitiy(1-5)",5
24,"Female",52,"26626","Software Quality(1-5)",5
