PN,PN Code,BOM,SEMI,SEMI Desc,S,Consumption,BOM level
5585-01-01,FG,5585-01-01,1143_RM_27_RAW,RAW BAR,RAW,0.5,2
3528-1,FG,3528-1,3528-1/1,OUT service,OUT,1.0,1
5585-01-01,FG,5585-01-01,B5415-01,SEMI ASSE,SEMI,3.0,1
1718-2,FG,1718-2,18481_RM_1000_RAW,RAW BAR,RAW,0.0125,1
5585-01-01,FG,5585-01-01,1143_RM_17_RAW,RAW BAR,RAW,0.5,2
3528-1,FG,3528-1,16531_RM_511_RAW,RAW BAR,RAW,0.14285,1
5585-01-01,FG,5585-01-01,1143_RM_80_RAW,RAW BAR,RAW,0.5,2
5585-01-01,FG,5585-01-01,B3557-01,PIN,SEMI,1.0,1
5585-01-01,FG,5585-01-01,390-090,PIN,RAW,2.0,1
5585-01-01,FG,5585-01-01,B3354-01,SEMI ASSE,SEMI,3.0,1
