Data Venda,ValorVenda
41186,679
40909,832
40941,790
40971,765.32
41003,459.89
41033,590.98
41064,1000.91
41094,1229
41125,1300
41156,1290
41217,1651
41247,1190
41276,877
41307,982
41335,872
41366,799
41396,899
41427,799
41457,987
41488,699.9
41519,789.23
41549,789.34
41580,764.2
41610,1245.9
40940,1234.12
40969,1245.9
41000,1345.87
41030,1234.12
41061,1245.9
41091,1345.87
41122,1234.12
41153,1245.9
41183,1345.87
41214,455
41244,455
43863,455
43923,455
43984,455
43985,455
41283,1233
41284,1233
41316,721
41345,671
41346,1899
41347,346
41379,699
41380,876
41411,655
41412,1200
41413,1229
41445,1228
41476,3999
41477,1229
41540,1299
41571,3999
41603,1234
41604,875
41605,433
41916,3999
41640,1288
41672,3999
41701,3999
41733,3999
41763,3999
41794,1234
41824,1235
41855,1200
41886,788
41947,761
41977,1567
42006,1287
42037,3999
42065,3999
42096,3999
42126,3999
42157,3999
42187,3999
42218,3999
42249,3999
42279,1230
42310,1230
42340,1230
41671,763
41699,149
41730,148
41760,139
41791,445
41821,445
41852,445
41883,445
41913,445
41944,129
41974,129
43892,455
43953,455
44014,455
44076,455
44137,455
42013,123
42014,1299
42046,761
42075,765
42076,456
42077,1230
42109,1212
42110,1230
42141,1299
42142,1299
42143,1299
42175,1299
42206,456
42207,1230
42270,409
42301,766
42333,1230
42334,567
42335,1299
