DW Unique Issue ID,Issue Key,Component,JIRA Unique Issue ID
102156,"CF-137","OPS",95862
102635,"CF-142","OPS",96357
102844,"CF-150","OPS",96565
102833,"CF-147","OPS",96556
102083,"CF-124","OPS",107056
102074,"CF-116","OPS",107022
102924,"CF-152","OPS",96644
103512,"CF-171","OPS",97244
103537,"CF-176","OPS",97273
103805,"CF-216","OPS",97546
103803,"CF-214","OPS",97547
103819,"CF-218","OPS",97562
103837,"CF-227","OPS",97580
103878,"CF-239","OPS",97629
103887,"CF-240","OPS",97634
103903,"CF-252","OPS",97647
103910,"CF-256","OPS",97659
103919,"CF-261","OPS",97669
104071,"CF-274","OPS",97813
104087,"CF-280","OPS",97845
104105,"CF-288","OPS",97850
104096,"CF-285","OPS",97854
104114,"CF-295","OPS",97862
104403,"CF-304","OPS",98154
103660,"CF-196","OPS",97406
104464,"CF-306","OPS",98223
104489,"CF-312","OPS",98243
104666,"CF-321","OPS",98428
104921,"CF-329","OPS",98684
103360,"CF-164","OPS",97092
104112,"CF-297","OPS",97859
103394,"CF-170","OPS",97123
104103,"CF-287","OPS",97856
106543,"CF-355","OPS",100364
106545,"CF-356","OPS",100361
106561,"CF-362","OPS",100371
106559,"CF-363","OPS",100382
106627,"CF-368","OPS",100450
106629,"CF-370","OPS",100453
106634,"CF-372","OPS",100463
106636,"CF-376","OPS",100459
120365,"CF-533","OPS",115024
120383,"CF-535","OPS",115036
120433,"CF-541","OPS",115087
120447,"CF-542","OPS",115100
121769,"CF-558","OPS",116456
123032,"CF-577","OPS",117763
123575,"CF-582","OPS",118300
124525,"CF-586","OPS",119277
124745,"CF-589","OPS",119495
124804,"CF-599","OPS",119551
124811,"CF-600","OPS",119552
135600,"CF-785","OPS",130554
135698,"CF-794","OPS",130668
136227,"CF-803","OPS",131211
136234,"CF-806","OPS",131207
136232,"CF-808","OPS",131206
136241,"CF-809","OPS",131222
136375,"CF-811","OPS",131356
136779,"CF-813","OPS",131752
