DW Unique Issue ID,Current_year,Number of Sprints,story_points
100915,"Yes",1,
101215,"Yes",1,
101222,"Yes",1,
101230,"Yes",1,
101690,"Yes",1,
101715,"Yes",1,
102070,"Yes",1,
102073,"Yes",1,
102076,"Yes",1,
102081,"Yes",1,
102087,"Yes",1,
102092,"Yes",1,
102635,"Yes",1,
102843,"Yes",1,
102922,"Yes",1,
103360,"Yes",1,
103512,"Yes",1,
103515,"Yes",1,
103580,"Yes",1,
103590,"Yes",1,
103594,"Yes",1,
103707,"Yes",1,
103758,"Yes",1,
103759,"Yes",1,
103834,"Yes",1,
103889,"Yes",1,
103895,"Yes",1,
103917,"Yes",1,
104049,"Yes",1,
104060,"Yes",1,
104085,"Yes",1,
104092,"Yes",1,
104100,"Yes",1,
104101,"Yes",1,
104103,"Yes",1,
104112,"Yes",1,
104183,"Yes",1,
104199,"Yes",1,
104210,"Yes",1,
104402,"Yes",1,
104469,"Yes",1,
104489,"Yes",1,
104581,"Yes",1,
104629,"Yes",1,
104631,"Yes",1,
104900,"Yes",1,
104901,"Yes",1,
104921,"Yes",1,
105059,"Yes",1,
105244,"Yes",1,
105503,"Yes",1,
105526,"Yes",1,
105562,"Yes",1,
105770,"Yes",1,
106033,"Yes",1,
106533,"Yes",1,
106541,"Yes",1,
106542,"Yes",1,
106543,"Yes",1,
106545,"Yes",1,
106546,"Yes",1,
106547,"Yes",1,
106549,"Yes",1,
106553,"Yes",1,
106630,"Yes",1,
106634,"Yes",1,
107063,"Yes",1,
107539,"Yes",1,
107597,"Yes",1,
108587,"Yes",1,
108591,"Yes",1,
108595,"Yes",1,
108599,"Yes",1,
108601,"Yes",1,
108602,"Yes",1,
108609,"Yes",1,
108612,"Yes",1,
108670,"Yes",1,
108672,"Yes",1,
109251,"Yes",1,
109353,"Yes",1,
109354,"Yes",1,
109355,"Yes",1,
109615,"Yes",1,
110182,"Yes",1,
110191,"Yes",1,
110192,"Yes",1,
110210,"Yes",1,
110897,"Yes",1,
111438,"Yes",1,
111716,"Yes",1,
112207,"Yes",1,
112214,"Yes",1,
112702,"Yes",1,
112812,"Yes",1,
112814,"Yes",1,
112815,"Yes",1,
112819,"Yes",1,
112822,"Yes",1,
112823,"Yes",1,
112825,"Yes",1,
114073,"Yes",1,
114713,"Yes",1,
115473,"Yes",1,
116361,"Yes",1,
116399,"Yes",1,
117067,"Yes",1,
117101,"Yes",1,
119155,"Yes",1,
121640,"Yes",1,
122324,"Yes",1,
123032,"Yes",1,
123585,"Yes",1,
124612,"Yes",1,
124916,"Yes",1,
125191,"Yes",1,
127137,"Yes",1,
127449,"Yes",1,
127729,"Yes",1,
127942,"Yes",1,
128221,"Yes",1,
129453,"Yes",1,
131498,"Yes",1,
131663,"Yes",1,
133299,"Yes",1,
133301,"Yes",1,
133677,"Yes",1,
133678,"Yes",1,
136211,"Yes",1,
141684,"Yes",1,
143872,"Yes",1,
148739,"Yes",1,
149242,"Yes",1,
149244,"Yes",1,
152314,"Yes",1,
152315,"Yes",1,
156567,"Yes",1,
156600,"Yes",1,
156887,"Yes",1,
157032,"Yes",1,
157312,"Yes",1,
159473,"Yes",1,
161621,"Yes",1,
161850,"Yes",1,
166705,"Yes",1,
166707,"Yes",1,
166708,"Yes",1,
166714,"Yes",1,
166715,"Yes",1,
169759,"Yes",1,
174325,"Yes",1,
175103,"Yes",1,
175976,"Yes",1,
184086,"Yes",1,
103902,"Yes",1,3
104108,"Yes",1,3
104113,"Yes",1,3
104972,"Yes",1,3
105772,"Yes",1,3
107066,"Yes",1,3
110215,"Yes",1,3
112816,"Yes",1,3
113586,"Yes",1,3
116590,"Yes",1,3
116593,"Yes",1,3
117202,"Yes",1,3
119138,"Yes",1,3
120382,"Yes",1,3
120697,"Yes",1,3
122654,"Yes",1,3
124008,"Yes",1,3
124766,"Yes",1,3
126456,"Yes",1,3
126796,"Yes",1,3
126818,"Yes",1,3
127291,"Yes",1,3
127726,"Yes",1,3
128837,"Yes",1,3
129816,"Yes",1,3
130798,"Yes",1,3
132280,"Yes",1,3
132385,"Yes",1,3
132386,"Yes",1,3
132872,"Yes",1,3
133938,"Yes",1,3
133969,"Yes",1,3
