Initiative DWKey,Initiative JIRA Key,Initiative Summary,Epic DWKey,Epic JIRA Key,Epic Summary,Project,Project DWKey
110176,"CF-416","New Capabilities",99799,"CF-7","Creation of Windows Stemcell","CF",319
110176,"CF-416","New Capabilities",100763,"CF-40","The CF team wants/needs the same functionality for JIRA as with Pivotal Tracker, in terms of chat-bot capabilities.","CF",319
110176,"CF-416","New Capabilities",104624,"CF-319","PCC Initial Deployment","CF",319
110176,"CF-416","New Capabilities",109277,"CF-402","Design and MVP for PIE v1","CF",319
110176,"CF-416","New Capabilities",116739,"CF-488","Resource Reaper","CF",319
110176,"CF-416","New Capabilities",120390,"CF-540","CF-Stats","CF",319
110176,"CF-416","New Capabilities",120392,"CF-536","org-management fetcher","CF",319
110176,"CF-416","New Capabilities",120393,"CF-537","Metrics Aggregator","CF",319
110176,"CF-416","New Capabilities",127262,"CF-653","Chaos Engineering","CF",319
110176,"CF-416","New Capabilities",127564,"CF-668","The Status Page Project","CF",319
110176,"CF-416","New Capabilities",133988,"CF-762","GSLB: Alerting and Metircs","CF",319
110176,"CF-416","New Capabilities",140087,"CF-840","Integration between Slack and ticketing system","CF",319
110176,"CF-416","New Capabilities",143347,"CF-879","PAWS: PRD","CF",319
110176,"CF-416","New Capabilities",145325,"CF-889","Enhancing metrics, logging, and general serviceability","CF",319
110176,"CF-416","New Capabilities",160857,"CF-1064","PAWS: STG AWS Infrastructure","CF",319
110176,"CF-416","New Capabilities",160858,"CF-1065","PAWS: STG PAS & Ops Manager","CF",319
110176,"CF-416","New Capabilities",160859,"CF-1066","PAWS: STG PCF Customization in AWS","CF",319
110176,"CF-416","New Capabilities",160941,"CF-1067","PAWS: NPE","CF",319
110176,"CF-416","New Capabilities",161253,"CF-1071","GSLB: Backup & Restore","CF",319
110176,"CF-416","New Capabilities",161257,"CF-1072","GSLB: Testing","CF",319
110176,"CF-416","New Capabilities",161262,"CF-1073","GSLB: Change Request Management","CF",319
110176,"CF-416","New Capabilities",161263,"CF-1074","GSLB: GTM Sync","CF",319
110176,"CF-416","New Capabilities",161268,"CF-1075","GSLB: Prod Release","CF",319
110176,"CF-416","New Capabilities",163976,"CF-1110","GSLB: Remove risky dependancy","CF",319
110176,"CF-416","New Capabilities",165130,"CF-1127","GSLB: Auth re-arch","CF",319
110178,"CF-418","Platform Sustainability",99800,"CF-8","Upgrade all environments to version 1.12","CF",319
110178,"CF-418","Platform Sustainability",102089,"CF-127","Document and clean-up each microservice within the distributed system 'Work Exchange', as well as document the system at the whole","CF",319
110178,"CF-418","Platform Sustainability",104628,"CF-316","Patch all OVA, bosh & PCF environments with appropriate  Meltdown patches","CF",319
110178,"CF-418","Platform Sustainability",105765,"CF-341","Update syslog services to support dynamic sourcetype configuration","CF",319
110178,"CF-418","Platform Sustainability",106548,"CF-359","Meltdown testing and rollout","CF",319
110178,"CF-418","Platform Sustainability",108594,"CF-389","Install all PCF Prod 2 Foundations and associated services","CF",319
110178,"CF-418","Platform Sustainability",110181,"CF-420","1.7 Decom - px-01 and tt-01","CF",319
110178,"CF-418","Platform Sustainability",112518,"CF-447","Rearchitect permissions for PCF and associated services","CF",319
110178,"CF-418","Platform Sustainability",123565,"CF-580","Datadog alerts and tuning","CF",319
110178,"CF-418","Platform Sustainability",125982,"CF-615","Move Org Management to new Concourse","CF",319
110178,"CF-418","Platform Sustainability",127230,"CF-650","Platform Security Scan Automation (Development & Implementation)","CF",319
110178,"CF-418","Platform Sustainability",127332,"CF-658","PlatformSecurityAssessment","CF",319
110178,"CF-418","Platform Sustainability",135192,"CF-784","PCF Security as a Service","CF",319
110178,"CF-418","Platform Sustainability",136840,"CF-814","Replace nginx with A10 load balancers for CF syslog services","CF",319
110178,"CF-418","Platform Sustainability",149689,"CF-954","Make all the Cloudians_more_better","CF",319
110178,"CF-418","Platform Sustainability",159809,"CF-1056","Certificate Rotation","CF",319
110178,"CF-418","Platform Sustainability",162975,"CF-1092","Chat-ops: Provide FAQ support","CF",319
110178,"CF-418","Platform Sustainability",162976,"CF-1093","Chat-ops: Customer Education","CF",319
110178,"CF-418","Platform Sustainability",162977,"CF-1094","Chat-ops: Tracking issues from slack","CF",319
110178,"CF-418","Platform Sustainability",166629,"CF-1140","Improve the splunk logging","CF",319
