sprint_name,sprint_start_dt,sprint_end_dt,story_points,resolution_dt,source_created_dt,jira_issue_key_cd,summary,jira_proj_key_cd,label_desc,jira_issue_status,source_created_dt_history,Added_DuringSprint,DayByDay,Use_Source_Created_dt,IncludeRecords,Graphable_SP,Graphable_Issues,Baseline_StoryPoints,Baseline_Issues,RealTime_SP,RealTime_Issues,Added SP,Added Issues
"CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,0,,2018-11-05 00:00:00.000,"CF-1416","Troubleshoot UAA login slowness in AWS NPE and MGT foundations","CF","","In Progress",2018-11-05 00:00:00.000,"TRUE",2018-11-06 00:00:00.000,"11/5/2018","INCLUDE","","","","","","","",""
"CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,0,,2018-11-05 00:00:00.000,"CF-1416","Troubleshoot UAA login slowness in AWS NPE and MGT foundations","CF","","In Progress",2018-11-05 00:00:00.000,"TRUE",2018-11-07 00:00:00.000,"11/5/2018","INCLUDE","","","","","","","",""
"CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,0,,2018-11-05 00:00:00.000,"CF-1416","Troubleshoot UAA login slowness in AWS NPE and MGT foundations","CF","","In Progress",2018-11-05 00:00:00.000,"TRUE",2018-11-08 00:00:00.000,"11/5/2018","INCLUDE","","","","","","","",""
"CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,0,,2018-11-05 00:00:00.000,"CF-1416","Troubleshoot UAA login slowness in AWS NPE and MGT foundations","CF","","In Progress",2018-11-05 00:00:00.000,"TRUE",2018-11-09 00:00:00.000,"11/5/2018","INCLUDE","","","","","","","",""
"CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,0,,2018-11-05 00:00:00.000,"CF-1416","Troubleshoot UAA login slowness in AWS NPE and MGT foundations","CF","","In Progress",2018-11-05 00:00:00.000,"TRUE",2018-11-10 00:00:00.000,"11/5/2018","INCLUDE","","","","","","","",""
"CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,0,,2018-11-05 00:00:00.000,"CF-1416","Troubleshoot UAA login slowness in AWS NPE and MGT foundations","CF","","In Progress",2018-11-05 00:00:00.000,"TRUE",2018-11-11 00:00:00.000,"11/5/2018","INCLUDE","","","","","","","",""
"CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,0,,2018-11-05 00:00:00.000,"CF-1416","Troubleshoot UAA login slowness in AWS NPE and MGT foundations","CF","","In Progress",2018-11-05 00:00:00.000,"TRUE",2018-11-12 00:00:00.000,"11/5/2018","INCLUDE","","","","","","","",""
"CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,0,,2018-11-05 00:00:00.000,"CF-1416","Troubleshoot UAA login slowness in AWS NPE and MGT foundations","CF","","In Progress",2018-11-05 00:00:00.000,"TRUE",2018-11-13 00:00:00.000,"11/5/2018","INCLUDE","","","","","","","",""
"CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,0,,2018-11-05 00:00:00.000,"CF-1416","Troubleshoot UAA login slowness in AWS NPE and MGT foundations","CF","","In Progress",2018-11-05 00:00:00.000,"TRUE",2018-11-14 00:00:00.000,"11/5/2018","INCLUDE","","","","","","","",""
"CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,5,,2018-06-15 00:00:00.000,"CF-907","Integrate aw-stgw201 with the foundation pipelines","CF","PAWS","In Progress",,"",2018-11-06 00:00:00.000,"6/15/2018","INCLUDE","","","","","","","",""
"CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,5,,2018-06-15 00:00:00.000,"CF-907","Integrate aw-stgw201 with the foundation pipelines","CF","PAWS","In Progress",,"",2018-11-07 00:00:00.000,"6/15/2018","INCLUDE","","","","","","","",""
"CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,5,,2018-06-15 00:00:00.000,"CF-907","Integrate aw-stgw201 with the foundation pipelines","CF","PAWS","In Progress",,"",2018-11-08 00:00:00.000,"6/15/2018","INCLUDE","","","","","","","",""
"CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,5,,2018-06-15 00:00:00.000,"CF-907","Integrate aw-stgw201 with the foundation pipelines","CF","PAWS","In Progress",,"",2018-11-09 00:00:00.000,"6/15/2018","INCLUDE","","","","","","","",""
"CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,5,,2018-06-15 00:00:00.000,"CF-907","Integrate aw-stgw201 with the foundation pipelines","CF","PAWS","In Progress",,"",2018-11-10 00:00:00.000,"6/15/2018","INCLUDE","","","","","","","",""
"CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,5,,2018-06-15 00:00:00.000,"CF-907","Integrate aw-stgw201 with the foundation pipelines","CF","PAWS","In Progress",,"",2018-11-11 00:00:00.000,"6/15/2018","INCLUDE","","","","","","","",""
"CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,5,,2018-06-15 00:00:00.000,"CF-907","Integrate aw-stgw201 with the foundation pipelines","CF","PAWS","In Progress",,"",2018-11-12 00:00:00.000,"6/15/2018","INCLUDE","","","","","","","",""
"CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,5,,2018-06-15 00:00:00.000,"CF-907","Integrate aw-stgw201 with the foundation pipelines","CF","PAWS","In Progress",,"",2018-11-13 00:00:00.000,"6/15/2018","INCLUDE","","","","","","","",""
