sprint_id,sprint_name_corrected,sprint_start_dt,sprint_complete_dt,sprint_end_dt,sprint_goal,sprint_status,Current_year,Display JIRA Sprint
1453,"CF Sprint 1",2018-01-22 23:14:00.000,2018-02-05 20:46:57.000,2018-02-03 01:00:00.000,"None","Completed","Yes","CF Sprint 1"
1510,"CF Sprint 2",2018-02-05 20:47:29.000,2018-02-21 18:31:15.000,2018-02-16 22:33:00.000,"None","Completed","Yes","CF Sprint 2"
1533,"CF Sprint 3",2018-02-19 18:25:55.000,2018-03-19 16:10:28.000,2018-03-09 18:25:00.000,"None","Completed","Yes","CF Sprint 3"
1534,"CF Sprint 4",2018-03-12 16:10:16.000,2018-03-19 16:12:16.000,2018-03-16 16:10:00.000,"None","Completed","Yes","CF Sprint 4"
1621,"CF Sprint 5",2018-03-19 16:12:40.000,2018-04-02 16:58:10.000,2018-03-31 00:00:00.000,"None","Completed","Yes","CF Sprint 5"
1662,"CF Sprint 6",2018-04-02 21:30:00.000,2018-04-16 13:20:21.000,2018-04-13 23:00:00.000,"None","Completed","Yes","CF Sprint 6"
1720,"CF Sprint 7",2018-04-16 22:06:00.000,2018-04-30 15:00:50.000,2018-04-27 22:06:00.000,"None","Completed","Yes","CF Sprint 7"
1721,"CF Sprint 8",2018-04-30 22:00:22.000,2018-05-14 16:28:58.000,2018-05-12 16:20:00.000,"None","Completed","Yes","CF Sprint 8"
1818,"CF Sprint 9",2018-05-14 21:00:00.000,2018-05-29 16:15:33.000,2018-05-26 00:30:00.000,"None","Completed","Yes","CF Sprint 9"
1819,"CF Sprint 10",2018-05-29 18:46:03.000,2018-06-11 16:25:41.000,2018-06-09 01:00:00.000,"None","Completed","Yes","CF Sprint 10"
1892,"CF Sprint 11",2018-06-11 21:30:24.000,2018-06-23 00:55:47.000,2018-06-23 00:31:00.000,"None","Completed","Yes","CF Sprint 11"
1940,"CF Sprint 12",2018-06-25 22:00:50.000,2018-07-09 16:41:57.000,2018-07-07 00:00:00.000,"None","Completed","Yes","CF Sprint 12"
1941,"CF Sprint 13",2018-07-09 21:00:53.000,2018-07-23 16:00:23.000,2018-07-21 01:00:00.000,"None","Completed","Yes","CF Sprint 13"
2058,"CF Sprint 14",2018-07-23 17:59:37.000,2018-08-06 22:46:20.000,2018-08-06 01:00:00.000,"None","Completed","Yes","CF Sprint 14"
2059,"CF Sprint 15",2018-08-07 16:30:16.000,2018-08-20 16:41:22.000,2018-08-18 01:31:00.000,"None","Completed","Yes","CF Sprint 15"
2078,"Rollover From Last Sprint",,,,"None","Future","Yes","Rollover From Last Sprint"
2180,"CF Sprint 16",2018-08-20 17:40:14.000,2018-09-04 16:08:00.000,2018-09-01 01:41:00.000,"None","Completed","Yes","CF Sprint 16"
2181,"CF Sprint 17",2018-09-04 17:48:35.000,2018-09-17 17:53:13.000,2018-09-15 01:49:00.000,"None","Completed","Yes","CF Sprint 17"
2271,"CF Sprint 18",2018-09-17 17:54:08.000,2018-10-01 16:20:49.000,2018-09-29 01:55:00.000,"None","Completed","Yes","CF Sprint 18"
2298,"CF Sprint 21",2018-11-01 18:34:54.000,,2018-11-15 01:00:00.000,"None","Active","Yes","CF Sprint 21"
2321,"CF Sprint 19",2018-10-01 17:31:06.000,2018-10-18 15:52:59.000,2018-10-13 01:32:00.000,"None","Completed","Yes","CF Sprint 19"
2322,"CF Sprint 20",2018-10-18 18:49:57.000,2018-11-01 15:49:06.000,2018-11-01 01:01:00.000,"None","Completed","Yes","CF Sprint 20"
