JIRA Unique Issue ID,DW Unique Issue ID,Epic Key,Epic Summary,Project Key,Initiative Link,Labels,Epic_URL,Rest_URL,Epic Closed,Issue Type
123373,99799,"CF-7","Creation of Windows Stemcell","CF","","","https://jira.t-mobile.com/browse/CF-7","https://jira.t-mobile.com/rest/api/2/issue/123373","N","Epic"
123374,99800,"CF-8","Upgrade all environments to version 1.12","CF","","","https://jira.t-mobile.com/browse/CF-8","https://jira.t-mobile.com/rest/api/2/issue/123374","Y","Epic"
124755,100763,"CF-40","The CF team wants/needs the same functionality for JIRA as with Pivotal Tracker, in terms of chat-bot capabilities.","CF","","","https://jira.t-mobile.com/browse/CF-40","https://jira.t-mobile.com/rest/api/2/issue/124755","Y","Epic"
125466,101195,"CF-66","k8s POCs for dynamic and static storage","CF","","","https://jira.t-mobile.com/browse/CF-66","https://jira.t-mobile.com/rest/api/2/issue/125466","N","Epic"
125467,101196,"CF-67","k8s SND Environment Prep","CF","","","https://jira.t-mobile.com/browse/CF-67","https://jira.t-mobile.com/rest/api/2/issue/125467","","Epic"
125468,101199,"CF-68","k8s Polaris PRD FUT Build - Hardware/Network/Software Configuration","CF","","","https://jira.t-mobile.com/browse/CF-68","https://jira.t-mobile.com/rest/api/2/issue/125468","N","Epic"
125469,101200,"CF-69","k8s PRD Polaris Build","CF","","","https://jira.t-mobile.com/browse/CF-69","https://jira.t-mobile.com/rest/api/2/issue/125469","N","Epic"
125470,101201,"CF-70","k8s PRD Titan Build","CF","","","https://jira.t-mobile.com/browse/CF-70","https://jira.t-mobile.com/rest/api/2/issue/125470","N","Epic"
125471,101198,"CF-71","k8s NPE Polaris Build","CF","","","https://jira.t-mobile.com/browse/CF-71","https://jira.t-mobile.com/rest/api/2/issue/125471","N","Epic"
125472,101202,"CF-72","k8s NPE Titan Build","CF","","","https://jira.t-mobile.com/browse/CF-72","https://jira.t-mobile.com/rest/api/2/issue/125472","N","Epic"
126050,101708,"CF-92","S3 [Internal]","CF","","","https://jira.t-mobile.com/browse/CF-92","https://jira.t-mobile.com/rest/api/2/issue/126050","N","Epic"
126377,102072,"CF-117","CF Org Onboarding Intake","CF","","","https://jira.t-mobile.com/browse/CF-117","https://jira.t-mobile.com/rest/api/2/issue/126377","N","Epic"
126544,102089,"CF-127","Document and clean-up each microservice within the distributed system 'Work Exchange', as well as document the system at the whole","CF","","Documentation","https://jira.t-mobile.com/browse/CF-127","https://jira.t-mobile.com/rest/api/2/issue/126544","N","Epic"
126545,102090,"CF-130","Build out pipelines to keep copies of buildpacks that are updated for apps to use","CF","","","https://jira.t-mobile.com/browse/CF-130","https://jira.t-mobile.com/rest/api/2/issue/126545","N","Epic"
126546,102093,"CF-131","Framework for providing reporting metrics about all things platform","CF","","","https://jira.t-mobile.com/browse/CF-131","https://jira.t-mobile.com/rest/api/2/issue/126546","N","Epic"
126549,102098,"CF-133","Pipelines for updating side car bosh deployments and stemcells","CF","","","https://jira.t-mobile.com/browse/CF-133","https://jira.t-mobile.com/rest/api/2/issue/126549","N","Epic"
126550,102099,"CF-134","Pipelines for updating PCF Operations Manager deployments, tiles, and stemcells","CF","","","https://jira.t-mobile.com/browse/CF-134","https://jira.t-mobile.com/rest/api/2/issue/126550","N","Epic"
126551,102100,"CF-135","Pipelines for updating foundation specific components and for foundation initializations","CF","","","https://jira.t-mobile.com/browse/CF-135","https://jira.t-mobile.com/rest/api/2/issue/126551","N","Epic"
127801,103081,"CF-155","CF Org repo PR notification","CF","","cf-support-bot, Chat-ops, work-exchange","https://jira.t-mobile.com/browse/CF-155","https://jira.t-mobile.com/rest/api/2/issue/127801","","Epic"
129480,104624,"CF-319","PCC Initial Deployment","CF","","","https://jira.t-mobile.com/browse/CF-319","https://jira.t-mobile.com/rest/api/2/issue/129480","N","Epic"
