jira_issue_dwkey,initiative_jira_issue_dwkey
120392,110176
120393,110176
125982,110178
127262,110176
127564,110176
135192,110178
159809,110178
161257,110176
102089,110178
103878,110176
105765,110178
116739,110176
120390,110176
123565,110178
127230,110178
127332,110178
136840,110178
140087,110176
160857,110176
160859,110176
160941,110176
161268,110176
163976,110176
165130,110176
166629,110178
99799,110176
104628,110178
106548,110178
109277,110176
112518,110178
145325,110176
160858,110176
161253,110176
161262,110176
99800,110178
100763,110176
104624,110176
108594,110178
110181,110178
133988,110176
143347,110176
149689,110178
161263,110176
162975,110178
162976,110178
162977,110178
