DW Unique Issue ID,DaysToIP,Range,Issue Key,Issue Created,Project Key,Assignment_StoryPoint_dt,Baseline_dt,Staus_Change_dt
103902,3,"0-7 days","CF-250",2018-01-05 00:00:00.000,"CF",2018-07-06 00:00:00.000,"7/6/2018",2018-07-09 00:00:00.000
104108,3,"0-7 days","CF-292",2018-01-08 00:00:00.000,"CF",2018-03-19 00:00:00.000,"3/19/2018",2018-03-22 00:00:00.000
104672,7,"0-7 days","CF-322",2018-01-10 00:00:00.000,"CF",2018-03-15 00:00:00.000,"3/15/2018",2018-03-22 00:00:00.000
105740,7,"0-7 days","CF-340",2018-01-17 00:00:00.000,"CF",2018-03-15 00:00:00.000,"3/15/2018",2018-03-22 00:00:00.000
105771,0,"0-7 days","CF-343",2018-01-17 00:00:00.000,"CF",2018-03-19 00:00:00.000,"3/19/2018",2018-03-19 00:00:00.000
105772,0,"0-7 days","CF-345",2018-01-17 00:00:00.000,"CF",2018-04-02 00:00:00.000,"4/2/2018",2018-04-02 00:00:00.000
112104,3,"0-7 days","CF-442",2018-02-15 00:00:00.000,"CF",2018-03-19 00:00:00.000,"3/19/2018",2018-03-22 00:00:00.000
112588,1,"0-7 days","CF-451",2018-02-16 00:00:00.000,"CF",2018-03-21 00:00:00.000,"3/21/2018",2018-03-22 00:00:00.000
112761,0,"0-7 days","CF-456",2018-02-19 00:00:00.000,"CF",2018-03-12 00:00:00.000,"3/12/2018",2018-03-12 00:00:00.000
116590,4,"0-7 days","CF-475",2018-03-07 00:00:00.000,"CF",2018-03-08 00:00:00.000,"3/8/2018",2018-03-12 00:00:00.000
116593,4,"0-7 days","CF-476",2018-03-07 00:00:00.000,"CF",2018-03-08 00:00:00.000,"3/8/2018",2018-03-12 00:00:00.000
117202,0,"0-7 days","CF-494",2018-03-09 00:00:00.000,"CF",2018-03-12 00:00:00.000,"3/12/2018",2018-03-12 00:00:00.000
117484,0,"0-7 days","CF-497",2018-03-12 00:00:00.000,"CF",2018-03-12 00:00:00.000,"3/12/2018",2018-03-12 00:00:00.000
117553,0,"0-7 days","CF-498",2018-03-12 00:00:00.000,"CF",2018-03-12 00:00:00.000,"3/12/2018",2018-03-12 00:00:00.000
118145,7,"0-7 days","CF-505",2018-03-14 00:00:00.000,"CF",2018-03-14 00:00:00.000,"3/14/2018",2018-03-21 00:00:00.000
118220,5,"0-7 days","CF-511",2018-03-14 00:00:00.000,"CF",2018-03-14 00:00:00.000,"3/14/2018",2018-03-19 00:00:00.000
118236,7,"0-7 days","CF-513",2018-03-14 00:00:00.000,"CF",2018-03-14 00:00:00.000,"3/14/2018",2018-03-21 00:00:00.000
119137,1,"0-7 days","CF-524",2018-03-19 00:00:00.000,"CF",2018-03-19 00:00:00.000,"3/19/2018",2018-03-20 00:00:00.000
119138,0,"0-7 days","CF-525",2018-03-19 00:00:00.000,"CF",2018-03-19 00:00:00.000,"3/19/2018",2018-03-19 00:00:00.000
119169,4,"0-7 days","CF-528",2018-03-19 00:00:00.000,"CF",2018-03-19 00:00:00.000,"3/19/2018",2018-03-23 00:00:00.000
119181,4,"0-7 days","CF-529",2018-03-19 00:00:00.000,"CF",2018-03-19 00:00:00.000,"3/19/2018",2018-03-23 00:00:00.000
119184,4,"0-7 days","CF-530",2018-03-19 00:00:00.000,"CF",2018-03-19 00:00:00.000,"3/19/2018",2018-03-23 00:00:00.000
120109,3,"0-7 days","CF-531",2018-03-20 00:00:00.000,"CF",2018-03-30 00:00:00.000,"3/30/2018",2018-04-02 00:00:00.000
120382,3,"0-7 days","CF-534",2018-03-21 00:00:00.000,"CF",2018-03-30 00:00:00.000,"3/30/2018",2018-04-02 00:00:00.000
120482,4,"0-7 days","CF-543",2018-03-21 00:00:00.000,"CF",2018-03-30 00:00:00.000,"3/30/2018",2018-04-03 00:00:00.000
120669,0,"0-7 days","CF-544",2018-03-22 00:00:00.000,"CF",2018-03-30 00:00:00.000,"3/30/2018",2018-03-30 00:00:00.000
120701,0,"0-7 days","CF-546",2018-03-22 00:00:00.000,"CF",2018-03-22 00:00:00.000,"3/22/2018",2018-03-22 00:00:00.000
121342,3,"0-7 days","CF-556",2018-03-26 00:00:00.000,"CF",2018-03-30 00:00:00.000,"3/30/2018",2018-04-02 00:00:00.000
122625,0,"0-7 days","CF-563",2018-03-30 00:00:00.000,"CF",2018-04-02 00:00:00.000,"4/2/2018",2018-04-02 00:00:00.000
122628,0,"0-7 days","CF-562",2018-03-30 00:00:00.000,"CF",2018-04-02 00:00:00.000,"4/2/2018",2018-04-02 00:00:00.000
122654,3,"0-7 days","CF-567",2018-03-30 00:00:00.000,"CF",2018-03-30 00:00:00.000,"3/30/2018",2018-04-02 00:00:00.000
122661,3,"0-7 days","CF-570",2018-03-30 00:00:00.000,"CF",2018-03-30 00:00:00.000,"3/30/2018",2018-04-02 00:00:00.000
122665,3,"0-7 days","CF-569",2018-03-30 00:00:00.000,"CF",2018-03-30 00:00:00.000,"3/30/2018",2018-04-02 00:00:00.000
122670,3,"0-7 days","CF-572",2018-03-30 00:00:00.000,"CF",2018-03-30 00:00:00.000,"3/30/2018",2018-04-02 00:00:00.000
123019,0,"0-7 days","CF-576",2018-04-02 00:00:00.000,"CF",2018-04-02 00:00:00.000,"4/2/2018",2018-04-02 00:00:00.000
123121,0,"0-7 days","CF-579",2018-04-02 00:00:00.000,"CF",2018-04-03 00:00:00.000,"4/3/2018",2018-04-03 00:00:00.000
124753,5,"0-7 days","CF-590",2018-04-06 00:00:00.000,"CF",2018-04-06 00:00:00.000,"4/6/2018",2018-04-11 00:00:00.000
124800,4,"0-7 days","CF-598",2018-04-06 00:00:00.000,"CF",2018-04-06 00:00:00.000,"4/6/2018",2018-04-10 00:00:00.000
125232,0,"0-7 days","CF-605",2018-04-09 00:00:00.000,"CF",,"4/9/2018",2018-04-09 00:00:00.000
125593,0,"0-7 days","CF-609",2018-04-10 00:00:00.000,"CF",,"4/10/2018",2018-04-10 00:00:00.000
125692,0,"0-7 days","CF-610",2018-04-10 00:00:00.000,"CF",,"4/10/2018",2018-04-10 00:00:00.000
126424,3,"0-7 days","CF-620",2018-04-12 00:00:00.000,"CF",2018-04-13 00:00:00.000,"4/13/2018",2018-04-16 00:00:00.000
126751,3,"0-7 days","CF-623",2018-04-13 00:00:00.000,"CF",2018-04-13 00:00:00.000,"4/13/2018",2018-04-16 00:00:00.000
126755,3,"0-7 days","CF-624",2018-04-13 00:00:00.000,"CF",2018-04-13 00:00:00.000,"4/13/2018",2018-04-16 00:00:00.000
126756,4,"0-7 days","CF-625",2018-04-13 00:00:00.000,"CF",2018-04-13 00:00:00.000,"4/13/2018",2018-04-17 00:00:00.000
126786,4,"0-7 days","CF-634",2018-04-13 00:00:00.000,"CF",2018-04-13 00:00:00.000,"4/13/2018",2018-04-17 00:00:00.000
126796,4,"0-7 days","CF-636",2018-04-13 00:00:00.000,"CF",2018-04-13 00:00:00.000,"4/13/2018",2018-04-17 00:00:00.000
126831,0,"0-7 days","CF-643",2018-04-13 00:00:00.000,"CF",2018-04-27 00:00:00.000,"4/27/2018",2018-04-27 00:00:00.000
127283,4,"0-7 days","CF-654",2018-04-16 00:00:00.000,"CF",2018-04-27 00:00:00.000,"4/27/2018",2018-05-01 00:00:00.000
127608,6,"0-7 days","CF-669",2018-04-17 00:00:00.000,"CF",2018-04-20 00:00:00.000,"4/20/2018",2018-04-26 00:00:00.000
128837,3,"0-7 days","CF-685",2018-04-23 00:00:00.000,"CF",2018-04-27 00:00:00.000,"4/27/2018",2018-04-30 00:00:00.000
128928,3,"0-7 days","CF-687",2018-04-23 00:00:00.000,"CF",2018-04-27 00:00:00.000,"4/27/2018",2018-04-30 00:00:00.000
129810,3,"0-7 days","CF-692",2018-04-26 00:00:00.000,"CF",2018-04-27 00:00:00.000,"4/27/2018",2018-04-30 00:00:00.000
129851,4,"0-7 days","CF-695",2018-04-26 00:00:00.000,"CF",2018-04-27 00:00:00.000,"4/27/2018",2018-05-01 00:00:00.000
129853,4,"0-7 days","CF-696",2018-04-26 00:00:00.000,"CF",2018-04-27 00:00:00.000,"4/27/2018",2018-05-01 00:00:00.000
129983,3,"0-7 days","CF-698",2018-04-27 00:00:00.000,"CF",2018-04-27 00:00:00.000,"4/27/2018",2018-04-30 00:00:00.000
130167,1,"0-7 days","CF-700",2018-04-27 00:00:00.000,"CF",2018-04-30 00:00:00.000,"4/30/2018",2018-05-01 00:00:00.000
