Issue Key,Issue_URL,summary,Issue Type,Project Key,Story Points,Labels,Status,Epic_Name,Epic_Label
"CF-893","https://jira.t-mobile.com/browse/CF-893","Install syslog-ng in aw-stg01 foundation","Story","CF",5,"PAWS","Backlog","PAWS: STG PCF Customization in AWS","AWS"
"CF-993","https://jira.t-mobile.com/browse/CF-993","Run pipelines in aw-npew201","Story","CF",3,"PAWS","In Progress","PAWS: NPE","AWS"
"CF-1078","https://jira.t-mobile.com/browse/CF-1078","Close CR","Story","CF",5,"GSLB","Backlog","GSLB: Change Request Management","GSLB"
"CF-907","https://jira.t-mobile.com/browse/CF-907","Integrate aw-stgw201 with the foundation pipelines","Story","CF",5,"PAWS","In Progress","PAWS: STG PCF Customization in AWS","AWS"
"CF-1184","https://jira.t-mobile.com/browse/CF-1184","NGINX health and state metrics","Spike","CF",2,"","Backlog","Logging Service Metrics, Performance, and Scaling","PCF-Logging"
"CF-1202","https://jira.t-mobile.com/browse/CF-1202","Scrape and Export NGINX metrics to Datadog","Story","CF",2,"","Backlog","Logging Service Metrics, Performance, and Scaling","PCF-Logging"
"CF-1211","https://jira.t-mobile.com/browse/CF-1211","PIER SimpleChange Auth/PROD","Spike","CF",2,"GSLB","Backlog","GSLB: Change Request Management","GSLB"
"CF-990","https://jira.t-mobile.com/browse/CF-990","Create DNS entry for opsman.aw-prdw201.cf.t-mobile.com","Task","CF",0,"PAWS","Backlog","PAWS: PRD","AWS"
"CF-1281","https://jira.t-mobile.com/browse/CF-1281","Create Syslog filter for RabbitMQ log data","Story","CF",3,"PCF-Logging","Backlog","Data Services Syslog Integration","PCF-Logging"
"CF-1347","https://jira.t-mobile.com/browse/CF-1347","work-exchange mercury service upgrade for AWS","Story","CF",3,"PAWS","Backlog","Integrate aw-stg01 into the org management pipeline","AWS"
"CF-950","https://jira.t-mobile.com/browse/CF-950","Create DNS Entries for aw-prd01","Story","CF",2,"PAWS","Backlog","PAWS: PRD","AWS"
"CF-1077","https://jira.t-mobile.com/browse/CF-1077","Open a CR","Story","CF",5,"GSLB","Backlog","GSLB: Change Request Management","GSLB"
"CF-1082","https://jira.t-mobile.com/browse/CF-1082","Unit tests for CR code","Story","CF",3,"GSLB","Backlog","GSLB: Change Request Management","GSLB"
"CF-1279","https://jira.t-mobile.com/browse/CF-1279","Syslog deployment for CDE PCC changes","Story","CF",3,"PCF-Logging","Backlog","Data Services Syslog Integration","PCF-Logging"
"CF-1282","https://jira.t-mobile.com/browse/CF-1282","Create Syslog filter for Redis log data","Story","CF",3,"PCF-Logging","Backlog","Data Services Syslog Integration","PCF-Logging"
"CF-1310","https://jira.t-mobile.com/browse/CF-1310","Splunk forwarder metrics tool should be added to Syslog release","Story","CF",2,"PCF-Logging","Backlog","Logging Service Metrics, Performance, and Scaling","PCF-Logging"
"CF-1313","https://jira.t-mobile.com/browse/CF-1313","Syslog deployment for STG and NPE Forwarder metrics change","Story","CF",3,"PCF-Logging","Backlog","Logging Service Metrics, Performance, and Scaling","PCF-Logging"
"CF-1311","https://jira.t-mobile.com/browse/CF-1311","Syslog deployment for PRD Forwarder metrics changes","Story","CF",3,"PCF-Logging","Backlog","Logging Service Metrics, Performance, and Scaling","PCF-Logging"
"CF-1175","https://jira.t-mobile.com/browse/CF-1175","Foundrystats Serviceability metrics","Story","CF",3,"","Backlog","Logging Service Metrics, Performance, and Scaling","PCF-Logging"
"CF-1277","https://jira.t-mobile.com/browse/CF-1277","Create Syslog filter for PCC log data","Story","CF",3,"PCF-Logging","In Progress","Data Services Syslog Integration","PCF-Logging"
