Prediction,Payment,Residual
21910.516,21455.75,454.76599999999962
19459.86,20153.75,-693.88999999999942
21400.758,21285.25,115.50800000000163
21243.6,21843,-599.40000000000146
20913.379,20374.25,539.12900000000081
21693.488,21656,37.488000000001193
19582.414,19172.6667,409.74729999999909
19982.76,20813.5,-830.7400000000016
21507.648,21574.25,-66.601999999998952
21173.97,21524,-350.02999999999884
19830.756,19983.75,-152.99399999999878
18822.57,19829.5,-1006.9300000000003
21437.082,21225.75,211.33199999999852
19782.986,19599.25,183.73600000000081
23031.521,23245,-213.47899999999936
21963.326,22505,-541.67399999999907
19294.105,19137.6667,156.43829999999798
21352.004,21537.25,-185.24599999999919
21908.307,22132,-223.6929999999993
21209.69,21100.75,108.93999999999869
19556.164,19563.3333,-7.1692999999977474
19405.182,20796.75,-1391.5679999999993
20529.014,20522,7.0139999999992142
19313.076,19308.6667,4.4092999999993481
20388.723,20026.25,362.47300000000178
22007.775,21866.25,141.52500000000146
19632.465,20088.75,-456.28499999999985
21701.943,21907.25,-205.3070000000007
21878.693,21651.75,226.9429999999993
19843.617,21125.25,-1281.6330000000016
21068.72,21501.3333,-432.61329999999725
21241.916,20678.6667,563.24929999999949
19418.117,19242.5,175.61699999999837
21911.266,21824.75,86.515999999999622
20948.871,21181.75,-232.87900000000081
19080.385,18912,168.3849999999984
20255.693,20577.6667,-321.97370000000228
18300.82,19512,-1211.1800000000003
19614.855,19138.5,476.35499999999956
19124.016,19352,-227.98400000000038
18749.984,18544.25,205.73400000000038
19248.09,18449.5,798.59000000000015
18029.256,16180.3333,1848.922700000001
19349.264,19123,226.26399999999921
21841.969,22102.75,-260.78099999999904
20915.994,20651,264.99399999999878
18931.455,20104.25,-1172.7949999999983
21320.258,21009.5,310.75800000000163
19556.406,20573.75,-1017.344000000001
19651.998,20725.5,-1073.5020000000004
21434.66,21302.75,131.90999999999985
22595.93,22508.25,87.680000000000291
21323.951,21487.25,-163.29899999999907
19158.205,18893,265.20500000000175
19249.467,20567.5,-1318.0329999999994
21406.176,22042,-635.82400000000052
21056.398,22082.3333,-1025.9352999999974
22578.549,22930.75,-352.20100000000093
20919.951,20506.5,413.45100000000093
20556.117,20514,42.11699999999837
21272.1,21609.75,-337.65000000000146
18870.932,20091,-1220.0679999999993
19271.676,21211.5,-1939.8240000000005
