Payment_ID,Facility_ID,Payment,Lower_Estimate,Higher_Estimate,Payment_Category,Value_Of_Care_Category
4,"100320",18230,16388.5,20246.5,"0","0"
5,"110071",18356,15727,20892,"0","0"
13,"360010",19840,18218.3333,21589,"0","0"
21,"271340",18901.3333,16827.3333,21157.3333,"0","0"
27,"230058",18701.6667,17083,20393.6667,"0","0"
28,"261314",18996,16178,21782,"0","0"
32,"340159",18147,15906,20698.5,"0","0"
33,"351324",18783.5,16187,21456.5,"0","0"
37,"110164",21996.6667,20331,23750.6667,"0","0"
38,"110191",21076.75,19619.75,22658.5,"0","0"
40,"190005",21595.3333,18878.6667,24589,"0","0"
42,"280032",21077.75,19207,23197,"0","0"
43,"281305",19259,16123,22296,"0","0"
49,"141348",19940.5,17641,22297.5,"0","0"
51,"200037",17313,15523.5,19239,"0","0"
54,"251324",20537,17153,23948,"0","0"
55,"261310",20274,17356,23257,"0","0"
57,"310119",22497.6667,19602.3333,25814.6667,"0","0"
58,"340107",20387.75,18366.75,22608.75,"0","0"
63,"100156",20544.5,19019.5,22213,"0","0"
66,"140093",21056.75,19102,23238.75,"0","0"
72,"190278",21025,20267,21808,"0","0"
74,"240059",18325,15867.3333,20981.6667,"0","0"
82,"140289",21693,20006.5,23558.75,"0","0"
83,"141322",19394,17122.5,21872,"0","0"
84,"170182",21196,19476,23050,"0","0"
86,"210038",18853.5,16670.5,21220.5,"0","0"
87,"241359",19760,17601.5,21910,"0","0"
92,"010078",21100.75,19776.5,22511,"0","0"
93,"041316",20943,17861,24060,"0","0"
100,"230297",18142,15764,20724,"0","0"
102,"261313",18181,15932.5,20675,"0","0"
103,"271320",17278,14435,20226,"0","0"
112,"171361",20667,17969,23288,"0","0"
114,"240210",17319.5,15800.5,18830,"0","0"
124,"171372",20857.5,18130,23889,"0","0"
125,"251316",18603,15894,21558,"0","0"
126,"271312",17789,15247,20237,"0","0"
130,"100213",21054.5,19809.5,22372.75,"0","0"
132,"110200",18716.6667,16863.6667,20626.3333,"0","0"
136,"151315",18978.3333,16734,21443.6667,"0","0"
138,"171352",20836,17734,23762,"0","0"
139,"180046",17406,15020,19971,"0","0"
140,"240088",18941.6667,16826.6667,21141,"0","0"
141,"281327",16689,13618,19644,"0","0"
144,"041312",18798,16945,20798,"0","0"
147,"070029",21036.75,19129.5,23127.5,"0","0"
151,"150166",19058,16845.5,21659.5,"0","0"
154,"251302",20647,17800,23587,"0","0"
155,"281345",19023,16369,21930,"0","0"
162,"050113",20734,17421,24013,"0","0"
163,"100130",16513,13736,19165,"0","0"
164,"110045",16858,14662,19196.5,"0","0"
174,"050192",18252,15147,21208,"0","0"
177,"141306",18433,15760.5,21327.5,"0","0"
180,"190011",18706,16419,21191.6667,"0","0"
181,"240064",18153.6667,16002,20562.6667,"0","0"
184,"010061",19654.6667,17407.3333,22121,"0","0"
188,"101311",19800.5,17237.5,22584,"0","0"
189,"111305",20345,17148,23612,"0","0"
190,"111320",17910,15213,20524,"0","0"
196,"240069",17830.6667,15731.3333,20071.6667,"0","0"
198,"280013",21547,20124.25,23066,"0","0"
199,"360150",18645.6667,16884.6667,20526,"0","0"
206,"231310",19290,17224,21407.5,"0","0"
207,"281331",21760,18567,24990,"0","0"
209,"100267",21142.5,19309.75,23099.5,"0","0"
211,"111318",21194,18042,24264,"0","0"
213,"161374",19163,17153.6667,21369.6667,"0","0"
214,"171381",19412.5,17095,21981,"0","0"
216,"260070",17312.5,15111.5,19706,"0","0"
220,"050149",19073,16992.3333,21399,"0","0"
224,"050783",18718.5,16464,21180,"0","0"
225,"140012",20674.75,18674,22844.5,"0","0"
228,"161334",19387,17127,21653,"0","0"
235,"050231",21077.5,19198.25,23121.5,"0","0"
236,"111313",17908,15389,20483,"0","0"
237,"141325",19420,16893,21841,"0","0"
246,"321305",18028.5,15590,20603,"0","0"
250,"010045",17708.5,15501,20242.5,"0","0"
252,"050291",20631.25,19007.5,22369.25,"0","0"
259,"160147",18368,16345,20532,"0","0"
260,"161346",16568,13800,19326,"0","0"
261,"230036",20534.75,18738.5,22501.25,"0","0"
264,"331305",15924,13168,18808,"0","0"
271,"291314",19830,16755,23029,"0","0"
275,"110125",21128.5,19485.5,22939.5,"0","0"
280,"141333",17531,15475,19691,"0","0"
281,"180116",21125,19163,23255.25,"0","0"
285,"260032",20485.5,19342.5,21736.25,"0","0"
288,"331315",17210,14237,20113,"0","0"
297,"161312",18359,14997,21714,"0","0"
299,"210035",21958.25,20154.25,24009.75,"0","0"
300,"350011",21052,19973.75,22186.75,"0","0"
302,"010011",21843,20001.25,23866.5,"0","0"
305,"080003",20625.75,18565.5,22874.5,"0","0"
307,"170187",21164,20602,21742,"0","0"
308,"171351",20995,17381,24534,"0","0"
310,"190118",19037,16107,21882,"0","0"
312,"260022",20671.25,18541.5,23049.75,"0","0"
315,"330396",17553.5,15142.5,20034,"0","0"
