tweetid,hourofdate,latitude,longitude,tweet,usernumber,username,language,retweet,date,masterid
2562,2016-03-08 20:00:00.000,,,"undetermined structures Powerpoint Presentations - https://t.co/M6dOOfip60  #undetermined #structures",758049516,"PPT Search","en",0,1457499545000,2371
2566,2016-03-08 20:00:00.000,,,"determined structures PowerPoint Slides - https://t.co/s7qMMUfnOS  #determined #structures",758049516,"PPT Search","en",0,1457499524000,2374
2567,2016-03-08 20:00:00.000,,,"coal conference 2012 PowerPoint Slides - https://t.co/GpxQrC9kzg  #coal #conference #2012",758049516,"PPT Search","en",0,1457499517000,2375
2596,2016-03-08 20:00:00.000,,,"Translation Medicine Powerpoint Presentations - https://t.co/sKDEfbLFic  #Translation #Medicine",758049516,"PPT Search","en",0,1457499196000,2385
2602,2016-03-08 20:00:00.000,,,"ppt slides for digital jewelery PowerPoint Slides - https://t.co/y4DR4QNnRg  #ppt #ppt #slides #for #digital #jewelery",758049516,"PPT Search","en",0,1457499133000,2387
2608,2016-03-08 20:00:00.000,,,"bahrain world trade centre PPT Templates - https://t.co/165sPByKNF  #powerpoint #slide #bahrain #world #trade #centre",758049516,"PPT Search","en",0,1457499092000,2389
2612,2016-03-08 20:00:00.000,,,"auditoria de rh PowerPoint Slides - https://t.co/AwamYIiLiu  #powerpoint #slide #auditoria #de #rh",758049516,"PPT Search","en",0,1457498906000,2393
2614,2016-03-08 20:00:00.000,,,"compression of tablets ppt Powerpoint Templates - https://t.co/EB6G5VuBW5  #powerpoint #slide #compression #of #tablets #ppt",758049516,"PPT Search","en",0,1457498864000,2395
2616,2016-03-08 20:00:00.000,,,"domain migration Powerpoint Templates - https://t.co/BSVPe0WN3l  #powerpoint #slide #domain #migration",758049516,"PPT Search","en",0,1457498823000,2397
2618,2016-03-08 20:00:00.000,,,"electrical industrial PowerPoint Slides - https://t.co/iPneN2AMsS  #electrical #industrial",758049516,"PPT Search","en",0,1457498802000,2399
2619,2016-03-08 20:00:00.000,,,"learning a language PowerPoint Slides - https://t.co/ZrDyRUaCl7  #learning #a #language",758049516,"PPT Search","en",0,1457498761000,2400
2620,2016-03-08 20:00:00.000,,,"elecric PowerPoint Slides - https://t.co/aP2ybyqtag  #elecric",758049516,"PPT Search","en",0,1457498699000,2401
2622,2016-03-08 20:00:00.000,,,"Livestock Production and environment ppt PowerPoint Slides - https://t.co/sDDR91FI87  #Livestock #Production #and #environment #ppt",758049516,"PPT Search","en",0,1457498658000,2403
2623,2016-03-08 20:00:00.000,,,"study skills ppt PPT Slides - https://t.co/XHVR2ssDzi  #powerpoint #templates #study #skills #ppt",758049516,"PPT Search","en",0,1457498637000,2404
2624,2016-03-08 20:00:00.000,,,"PMU Powerpoint Templates - https://t.co/cF4AyVX6g2  #powerpoint #slide #PMU",758049516,"PPT Search","en",0,1457498596000,2405
2627,2016-03-08 20:00:00.000,,,"ancient civilizations holt rinehart PowerPoint Slides - https://t.co/mMHCRcGByZ  #ppt #ancient #civilizations #holt #rinehart",758049516,"PPT Search","en",0,1457498534000,2408
2640,2016-03-08 20:00:00.000,,,"surface area nd volumes PPT Slides - https://t.co/7Zj1BDnyq1  #powerpoint #slide #surface #area #nd #volumes",758049516,"PPT Search","en",0,1457497921000,2421
2642,2016-03-08 20:00:00.000,,,"astm 2714 Powerpoint Presentations - https://t.co/tEQ1BIUVKq  #powerpoint #slide #astm #2714",758049516,"PPT Search","en",0,1457497900000,2423
