state_name,GDP,Population
Alabama,200402700000,4858979
Alaska,50641600000,738432
Arizona,297141200000,6828065
Arkansas,118761200000,2978204
California,2553772200000,39144818
Colorado,318554900000,5456574
Connecticut,260072600000,3590886
Delaware,70969400000,945934
Florida,895146200000,20271272
Georgia,513565600000,10214860
Hawaii,82710000000,1431603
Idaho,66004300000,1654930
Illinois,792999400000,12859995
Indiana,330032200000,6619680
Iowa,178472600000,3123899
Kansas,152374100000,2911641
Kentucky,191923300000,4425092
Louisiana,234299100000,4670724
Maine,57525700000,1329328
Maryland,367096500000,6006401
Massachusetts,502858000000,6794422
Michigan,474301400000,9922576
Minnesota,329493200000,5489594
Mississippi,105883400000,2992333
Missouri,294794600000,6083672
Montana,46152900000,1032949
Nebraska,115328000000,1896190
Nevada,144232400000,2890845
New Hampshire,76033300000,1330608
New Jersey,569679500000,8958013
New Mexico,90969000000,2085109
New York,1487754100000,19795791
North Carolina,503628800000,10042802
North Dakota,55012200000,756927
Ohio,610772300000,11613423
Oklahoma,185936700000,3911338
Oregon,203158900000,4028977
Pennsylvania,711205400000,12802503
Rhode Island,56759400000,1056298
South Carolina,203920900000,4896146
South Dakota,47752300000,858469
Tennessee,322663600000,6600299
Texas,1568457000000,27469114
Utah,149371600000,2995919
Vermont,30729600000,626042
Virginia,484216600000,8382993
Washington,470329300000,7170351
West Virginia,70281000000,1844128
Wisconsin,305816500000,5771337
Wyoming,37721500000,586107
