Item Code,Week,Total Needed
ITEM-000001,2021/01,10920
ITEM-000001,2021/02,10905
ITEM-000001,2021/03,11025
ITEM-000001,2021/04,2085
ITEM-000001,2021/05,12660
ITEM-000001,2021/06,1815
ITEM-000002,2021/01,5096
ITEM-000002,2021/02,5089
ITEM-000002,2021/03,5145
ITEM-000002,2021/04,973
ITEM-000002,2021/05,5908
ITEM-000002,2021/06,847
ITEM-000003,2021/01,13104
ITEM-000003,2021/02,13086
ITEM-000003,2021/03,13230
ITEM-000003,2021/04,2502
ITEM-000003,2021/05,15192
ITEM-000003,2021/06,2178
ITEM-000004,2021/01,12411
ITEM-000004,2021/02,12301
ITEM-000004,2021/03,15421
ITEM-000004,2021/04,2459
ITEM-000004,2021/05,14811
ITEM-000004,2021/06,6856
ITEM-000005,2021/01,4725
ITEM-000005,2021/02,4599
ITEM-000005,2021/03,8487
ITEM-000005,2021/04,1017
ITEM-000005,2021/05,6021
ITEM-000005,2021/06,6948
