Number of respondents score,Sentiment,Question Text
2335,very important,Results in interesting work/tasks
2310,very important,Opportunity for personal development
1845,very important,Opportunity for professional development
1828,important,Attaining a management position
1564,important,Opportunity for professional development
1560,important,Increased salary level
1556,important,Independence in work situation
1512,important,High level of job security
1452,important,Relevant to work situation
1340,important,Opportunity for fast career development
1292,important,Opportunity for personal development
1224,important,Results in interesting work/tasks
1165,very important,High level of job security
1140,very important,Relevant to work situation
933,Somewhat important,Opportunity for fast career development
885,Somewhat important,Position with high status
870,Somewhat important,Increased salary level
850,very important,Attaining a management position
804,important,Increase in salary based on individual performance
792,Somewhat important,Increase in salary based on individual performance
780,Somewhat important,Independence in work situation
780,very important,Independence in work situation
636,Slightly important,Possibility for international work experience
636,Somewhat important,Relevant to work situation
540,Slightly important,Position with high status
535,very important,Increased salary level
528,Somewhat important,High level of job security
522,Somewhat important,Attaining a management position
500,important,Position with high status
495,Somewhat important,Possibility for international work experience
458,Slightly important,Increase in salary based on individual performance
440,very important,Opportunity for fast career development
310,very important,Increase in salary based on individual performance
305,very important,Possibility for international work experience
272,important,Possibility for international work experience
235,very important,Position with high status
228,Somewhat important,Opportunity for professional development
216,Not important,Possibility for international work experience
198,Slightly important,Opportunity for fast career development
174,Somewhat important,Results in interesting work/tasks
171,Somewhat important,Opportunity for personal development
108,Don't know/not relevant,Possibility for international work experience
101,Not important,Position with high status
94,Slightly important,High level of job security
92,Slightly important,Increased salary level
84,Don't know/not relevant,Attaining a management position
78,Don't know/not relevant,Increase in salary based on individual performance
77,Not important,Increase in salary based on individual performance
74,Slightly important,Relevant to work situation
70,Slightly important,Independence in work situation
52,Slightly important,Attaining a management position
48,Don't know/not relevant,Position with high status
30,Don't know/not relevant,Opportunity for fast career development
18,Slightly important,Results in interesting work/tasks
16,Slightly important,Opportunity for professional development
13,Not important,Increased salary level
12,Don't know/not relevant,High level of job security
12,Don't know/not relevant,Independence in work situation
12,Don't know/not relevant,Opportunity for personal development
12,Don't know/not relevant,Opportunity for professional development
12,Don't know/not relevant,Results in interesting work/tasks
10,Not important,High level of job security
8,Not important,Opportunity for fast career development
6,Don't know/not relevant,Relevant to work situation
5,Not important,Attaining a management position
5,Not important,Relevant to work situation
4,Not important,Independence in work situation
4,Not important,Results in interesting work/tasks
2,Slightly important,Opportunity for personal development
1,Not important,Opportunity for personal development
