Category,Segment,Product,Returns
Office 365,Magenta,OneNote,$9702
Office 365,Turquoise,Publisher,$7735
Office 365,Turquoise,SharePoint,$5460
Office 365,Cyan,Kaizala,$4950
Power Platform,Magenta,PowerApps,$3996
Office 365,Red,Access,$3300
Office 365,Royal Blue,Word,$2800
Office 365,Cyan,Exchange,$2200
Office 365,Jade,Planner,$2184
Office 365,Red,Stream,$1656
Office 365,Orange,PowerPoint,$1440
Office 365,Purple,Teams,$1372
Office 365,Royal Blue,Visio,$1320
Office 365,Cyan,Outlook,$1056
Office 365,Jade,Excel,$850
Office 365,Cyan,Skype,$630
Office 365,Turquoise,Forms,$500
Office 365,Blue,Yammer,$352
Power Platform,Neon Blue,Flow,$348
Office 365,Royal Blue,To-Do,$132
XBOX,Green,XBOX,$120
Office 365,Blue,OneDrive,$114
Power Platform,Yellow,Power BI,$85
XBOX,Green,XBOX ONE,$40
