Entitlement Agency ID,PIM Link,Project name,Project address,Status,Entered status date,Total project units,Market rate units,Affordable units,TBD units,Applicant,Entitlement agency,Supervisor district,Environmental review type,Under Entitlement Review Start Date,Under Entitlement Review End Date,Entitled Start Date,Entitled End Date,Filed for Permits Start Date,Filed For Permits End Date,Under Construction Start Date,Under Construction End Date,Completed Construction Start Date
2018-011476PRL,https://sfplanninggis.org/pim?search=2018-011476PRL,150 VAN NESS AVE,150 VAN NESS AVE 94102,Completed,2018-09-27 00:00:00,2155,1509,,646,"Li, Kam",Planning,6,,,,,,2014-06-13 00:00:00,2016-11-15 00:00:00,2016-11-15 00:00:00,2018-09-27 00:00:00,2018-09-27 00:00:00
2007.0409,https://sfplanninggis.org/pim?search=2007.0409,1 POLK ST,"1 - 0 POLK ST, SAN FRANCISCO, CA 94102",Completed,2008-11-13 00:00:00,2148,1504,,644,"",Planning,,,,,,,2001-06-25 00:00:00,2006-09-07 00:00:00,2006-09-07 00:00:00,2008-11-13 00:00:00,2008-11-13 00:00:00
2003.0241,https://sfplanninggis.org/pim?search=2003.0241,Hunters Point Shipyard Phase 1,"","Entitled, not yet filed for permits",2004-03-22 00:00:00,1600,1120,,480,Turnstone Consulting,Planning,,,2003-03-06 00:00:00,2004-03-22 00:00:00,2004-03-22 00:00:00,,,,,,
2006.0829,https://sfplanninggis.org/pim?search=2006.0829,Hunters Point Shipyard Phase I Dev.,"","Entitled, not yet filed for permits",2006-08-22 00:00:00,1600,1120,,480,SF Redevelopment Agency,Planning,,EIR Addendum,2006-07-07 00:00:00,2006-08-22 00:00:00,2006-08-22 00:00:00,,,,,,
2006.0422,https://sfplanninggis.org/pim?search=2006.0422,"EXECUTIVE PARK, HARNEY WAY","0 - 0 HARNEY WY, SAN FRANCISCO, CA","Entitled, not yet filed for permits",2012-11-08 00:00:00,1600,1120,,480,Universal Paragon Corporation,Planning,,Initial Study-Negative Declaration,2006-03-22 00:00:00,2012-11-08 00:00:00,2012-11-08 00:00:00,,,,,,
2011.1177,https://sfplanninggis.org/pim?search=2011.1177,340 FREMONT STREET,"340 - 0 FREMONT ST, SAN FRANCISCO, CA 94105",Completed,2017-03-13 00:00:00,1392,975,,417,"Reuben, Junius, & Rose, LLP",Planning,,,2011-10-20 00:00:00,2011-12-01 00:00:00,2011-12-01 00:00:00,2011-12-01 00:00:00,2011-12-01 00:00:00,2014-04-23 00:00:00,2014-04-23 00:00:00,2017-03-13 00:00:00,2017-03-13 00:00:00
2007.0998,https://sfplanninggis.org/pim?search=2007.0998,693 STEVENSON ST,"693 - 695 SITUS TO BE ASSIGNED ST, SAN FRANCISCO, CA 94103",Completed,2010-05-21 00:00:00,1320,924,,396,"Reuben, Junius and Rose LLP",Planning,,,,,,,2007-04-09 00:00:00,2008-01-24 00:00:00,2008-01-24 00:00:00,2010-05-21 00:00:00,2010-05-21 00:00:00
2019-000494PRJ,https://sfplanninggis.org/pim?search=2019-000494PRJ,555 HOWARD ST,555 HOWARD ST 94105,Under entitlement review,2019-01-11 00:00:00,1203,843,,360,PEAK Project Management Limited,Planning,6,Community Plan-Determination,2019-01-11 00:00:00,,,,,,,,
2005.0604,https://sfplanninggis.org/pim?search=2005.0604,425  01ST ST,"401 - 0 HARRISON ST, SAN FRANCISCO, CA 94105",Completed,2010-02-24 00:00:00,1146,803,,343,"Wholey, Jack",Planning,,,,,,,2004-12-21 00:00:00,2006-03-02 00:00:00,2006-03-02 00:00:00,2010-02-24 00:00:00,2010-02-24 00:00:00
2018-007883PRJ,https://sfplanninggis.org/pim?search=2018-007883PRJ,BALBOA RESERVOIR DEVELOPMENT,"",Under entitlement review,2018-06-01 00:00:00,1100,770,,330,AvalonBay Communities & BRIDGE Housing,Planning,7,Initial Study-Environmental Impact Report,2018-06-01 00:00:00,,,,,,,,
