Manufacturer,Year,Revenue
Abbas,2000,1322734.065
Abbas,2001,1634430.53
Abbas,2002,1629777.735
Abbas,2003,1737982.685
Abbas,2004,1933348.51
Abbas,2005,1736452.04
Abbas,2006,1670163.9125
Abbas,2007,1622830.1925
Abbas,2008,1392043.6375
Abbas,2009,1495252.82
Abbas,2010,1155577.9825
Abbas,2011,1199769.4324999999
Abbas,2012,1467829.155
Abbas,2013,1691933.6975
Abbas,2014,1873810.905
Abbas,2015,1688200.805
Abbas,2016,777636.5975
Aliqui,2000,5386904.5325
Aliqui,2001,7536412.13
Aliqui,2002,8959919.53
Aliqui,2003,9299491.0
Aliqui,2004,9849224.03
Aliqui,2005,9804235.9325
Aliqui,2006,10587109.7875
Aliqui,2007,11205880.655
Aliqui,2008,11421382.81
Aliqui,2009,11400594.07
Aliqui,2010,6682574.5425
Aliqui,2011,5446020.84
Aliqui,2012,4982696.095
Aliqui,2013,4702656.0775
Aliqui,2014,4780401.0775
Aliqui,2015,5419352.375
Aliqui,2016,3162159.18
Barba,2009,772663.025
Barba,2010,628160.5875
Barba,2011,976334.055
Barba,2012,1553200.8525
Barba,2013,2087332.3975
Barba,2014,2189833.9125
Barba,2015,1706638.7075
Barba,2016,626320.675
Currus,2000,4144260.9575
Currus,2001,5253615.12
Currus,2002,6312744.225
Currus,2003,6383176.3774999995
Currus,2004,7051661.975
Currus,2005,7837285.7775
Currus,2006,9015353.3125
Currus,2007,10548462.2925
Currus,2008,9882102.38
Currus,2009,8197572.275
Currus,2010,3451876.17
Currus,2011,2077895.7675
Currus,2012,2253478.1575
Currus,2013,2433536.9075
Currus,2014,1981035.545
Currus,2015,2692897.505
Currus,2016,1277837.1025
Fama,2000,532794.99
Fama,2001,693000.6699999999
Fama,2002,579974.5225
Fama,2003,624346.54
Fama,2004,449736.1625
Fama,2005,544022.8225
Fama,2006,616525.4025
Fama,2007,728840.8775
Fama,2008,929548.1525
Fama,2009,985727.4725
Fama,2010,636853.4675
Fama,2011,608389.2775
Fama,2012,813364.605
Fama,2013,1174875.8325
Fama,2014,1063592.0225
Fama,2015,961237.5449999999
Fama,2016,302246.6425
Leo,2000,257919.5525
Leo,2001,376015.58
Leo,2002,281634.9475
Leo,2003,509073.8925
Leo,2004,473616.8425
Leo,2005,619310.09
Leo,2006,875732.7275
Leo,2007,1042639.38
Leo,2008,1151301.5225
Leo,2009,1100707.4025
Leo,2010,768898.8
Leo,2011,920292.7725
Leo,2012,1183632.3725
Leo,2013,1404135.8925
Leo,2014,1636937.36
Leo,2015,997195.72
Leo,2016,506000.71
Natura,2000,9954591.68
Natura,2001,12732049.6925
Natura,2002,16186111.845
Natura,2003,16575280.49
Natura,2004,16795117.4075
Natura,2005,18947259.015
Natura,2006,18349740.3
Natura,2007,16972451.87
Natura,2008,16110845.045
Natura,2009,15047469.1825
Natura,2010,7934407.3975
Natura,2011,6390914.8575
Natura,2012,5910271.9225
Natura,2013,5600392.7625
Natura,2014,5107550.2225
Natura,2015,6716190.8725
Natura,2016,3952284.35
Palma,2001,426733.96499999997
Palma,2002,753678.4225
Palma,2003,651182.0975
Palma,2004,547769.8975
Palma,2014,345935.8625
Palma,2015,513038.5125
Pirum,2000,4639274.775
Pirum,2001,5185491.365
Pirum,2002,5220995.035
Pirum,2003,5158655.89
Pirum,2004,5393116.9799999995
Pirum,2005,5523687.4525
Pirum,2006,6345992.125
Pirum,2007,7309502.212499999
Pirum,2008,7697541.955
Pirum,2009,7283404.2675
Pirum,2010,4727089.51
Pirum,2011,4750162.825
Pirum,2012,4478306.195
Pirum,2013,3786526.94
Pirum,2014,3639735.18
Pirum,2015,3787813.175
Pirum,2016,3021697.43
Pomum,2000,26059.465
Pomum,2001,158153.8175
Pomum,2002,330912.3025
Pomum,2003,389098.71249999997
Pomum,2004,567635.385
Pomum,2005,525349.8225
Pomum,2006,455820.9775
Pomum,2007,539934.4375
Pomum,2008,677936.4349999999
Pomum,2009,977999.0875
Pomum,2010,595128.2525
Pomum,2011,462441.77
Pomum,2012,542990.285
Pomum,2013,547127.645
Pomum,2014,491868.5525
Pomum,2015,572684.8575
Pomum,2016,212853.63749999998
Quibus,2000,625244.955
Quibus,2001,815141.705
Quibus,2002,1058897.56
Quibus,2003,1367177.7625
Quibus,2004,1412995.275
Quibus,2005,1576117.44
Quibus,2006,1786497.3099999998
Quibus,2007,1797505.18
Quibus,2008,2258967.54
Quibus,2009,1870006.6749999998
Quibus,2010,1521696.0625
Quibus,2011,1375572.03
Quibus,2012,1686335.9224999999
Quibus,2013,1851901.32
Quibus,2014,1636644.5125
Quibus,2015,1734027.825
Quibus,2016,719021.895
Salvus,2010,111116.33499999999
Salvus,2011,107342.3425
Salvus,2012,152295.7125
Salvus,2013,157220.53
Salvus,2014,126166.92
Salvus,2015,105916.7225
Salvus,2016,52262.0125
VanArsdel,2000,20420640.88
VanArsdel,2001,24134860.13
VanArsdel,2002,27883321.857499998
VanArsdel,2003,34344255.03
VanArsdel,2004,38358548.735
VanArsdel,2005,39989770.3525
VanArsdel,2006,42353124.7375
VanArsdel,2007,45145304.855
VanArsdel,2008,42243327.8625
VanArsdel,2009,37120985.2425
VanArsdel,2010,29394778.0275
VanArsdel,2011,26922871.0725
VanArsdel,2012,28520636.26
VanArsdel,2013,30515185.9625
VanArsdel,2014,32674480.4775
VanArsdel,2015,31400022.1
VanArsdel,2016,15506429.3275
Victoria,2000,339831.79
Victoria,2001,386815.9
Victoria,2002,575712.4425
Victoria,2003,500039.9875
Victoria,2004,492135.71749999997
Victoria,2005,713199.6075
Victoria,2006,730862.9025
Victoria,2007,944096.665
Victoria,2008,952448.385
Victoria,2009,850597.42
Victoria,2010,659796.12
Victoria,2011,627033.3425
Victoria,2012,777442.275
Victoria,2013,973176.5375
Victoria,2014,1059277.4475
Victoria,2015,884313.8025
Victoria,2016,357276.305
