Monthyear,Productgroup,EquipmentName,Value
2021-01,Altus,ALTUS GL,10
2021-01,Altus,ALTUS IFM,10
2021-01,Altus,ALTUS LFW,10
2021-01,Altus,ALTUS MAX,10
2021-01,Altus,WN MAX,10
2021-01,Argos,Argos,2
2021-01,Coronus,CORONUS D,3
2021-01,Coronus,CORONUS HP,3
2021-01,Coronus,CORONUS STD,3
2021-01,Depo_Upgrade,Strata GXE,1
2021-01,Etch_Upgrade,UPGRADE_Flex,0
2021-01,Etch_Upgrade,UPGRADE_Kiyo,0
2021-01,Flex,Flex FL,5
2021-01,Flex,Flex FS,5
2021-01,Flex,Flex FSE,5
2021-01,Handler,,2
2021-01,SSM,ALTUS EFX,2
2021-01,SSM,C3 ICE,2
2021-01,SSM,Inflection GS,2
2021-01,SSM,PC MAX,2
2021-02,Altus,ALTUS GL,11
2021-02,Altus,ALTUS IFM,11
2021-02,Altus,ALTUS LFW,11
2021-02,Altus,ALTUS MAX,11
2021-02,Altus,WN MAX,11
2021-02,Argos,Argos,2
2021-02,Coronus,CORONUS D,3
2021-02,Coronus,CORONUS HP,3
2021-02,Coronus,CORONUS STD,3
2021-02,Depo_Upgrade,Strata GXE,4
2021-02,Etch_Upgrade,UPGRADE_Flex,0
2021-02,Etch_Upgrade,UPGRADE_Kiyo,0
2021-02,Flex,Flex FL,5
2021-02,Flex,Flex FS,5
2021-02,Flex,Flex FSE,5
2021-02,Handler,,2
2021-02,SSM,ALTUS EFX,2
2021-02,SSM,C3 ICE,2
2021-02,SSM,Inflection GS,2
2021-02,SSM,PC MAX,2
2021-03,Altus,ALTUS GL,12
2021-03,Altus,ALTUS IFM,12
2021-03,Altus,ALTUS LFW,12
2021-03,Altus,ALTUS MAX,12
2021-03,Altus,WN MAX,12
2021-03,Argos,Argos,2
2021-03,Coronus,CORONUS D,3
2021-03,Coronus,CORONUS HP,3
2021-03,Coronus,CORONUS STD,3
2021-03,Depo_Upgrade,Strata GXE,4
2021-03,Etch_Upgrade,UPGRADE_Flex,8
2021-03,Etch_Upgrade,UPGRADE_Kiyo,8
2021-03,Flex,Flex FL,5
2021-03,Flex,Flex FS,5
2021-03,Flex,Flex FSE,5
2021-03,Handler,,2
2021-03,SSM,ALTUS EFX,1
2021-03,SSM,C3 ICE,1
2021-03,SSM,Inflection GS,1
2021-03,SSM,PC MAX,1
2021-04,Altus,ALTUS GL,9
2021-04,Altus,ALTUS IFM,9
2021-04,Altus,ALTUS LFW,9
2021-04,Altus,ALTUS MAX,9
2021-04,Altus,WN MAX,9
2021-04,Argos,Argos,1
2021-04,Coronus,CORONUS D,3
2021-04,Coronus,CORONUS HP,3
2021-04,Coronus,CORONUS STD,3
2021-04,Depo_Upgrade,Strata GXE,4
2021-04,Etch_Upgrade,UPGRADE_Flex,8
2021-04,Etch_Upgrade,UPGRADE_Kiyo,8
2021-04,Flex,Flex FL,5
2021-04,Flex,Flex FS,5
2021-04,Flex,Flex FSE,5
2021-04,Handler,,2
2021-04,SSM,ALTUS EFX,2
2021-04,SSM,C3 ICE,2
2021-04,SSM,Inflection GS,2
2021-04,SSM,PC MAX,2
2021-05,Altus,ALTUS GL,11
2021-05,Altus,ALTUS IFM,11
2021-05,Altus,ALTUS LFW,11
2021-05,Altus,ALTUS MAX,11
2021-05,Altus,WN MAX,11
2021-05,Coronus,CORONUS D,3
2021-05,Coronus,CORONUS HP,3
2021-05,Coronus,CORONUS STD,3
2021-05,Depo_Upgrade,Strata GXE,0
2021-05,Etch_Upgrade,UPGRADE_Flex,8
2021-05,Etch_Upgrade,UPGRADE_Kiyo,8
2021-05,Flex,Flex FL,5
2021-05,Flex,Flex FS,5
2021-05,Flex,Flex FSE,5
2021-05,Handler,,2
2021-05,SSM,ALTUS EFX,2
2021-05,SSM,C3 ICE,2
2021-05,SSM,Inflection GS,2
2021-05,SSM,PC MAX,2
2021-06,Altus,ALTUS GL,6
2021-06,Altus,ALTUS IFM,6
2021-06,Altus,ALTUS LFW,6
2021-06,Altus,ALTUS MAX,6
2021-06,Altus,WN MAX,6
2021-06,Argos,Argos,3
2021-06,Coronus,CORONUS D,4
2021-06,Coronus,CORONUS HP,4
2021-06,Coronus,CORONUS STD,4
2021-06,Depo_Upgrade,Strata GXE,0
2021-06,Etch_Upgrade,UPGRADE_Flex,7
2021-06,Etch_Upgrade,UPGRADE_Kiyo,7
2021-06,Flex,Flex FL,5
2021-06,Flex,Flex FS,5
2021-06,Flex,Flex FSE,5
2021-06,Handler,,2
2021-06,SSM,ALTUS EFX,2
2021-06,SSM,C3 ICE,2
2021-06,SSM,Inflection GS,2
2021-06,SSM,PC MAX,2
2021-07,Altus,ALTUS GL,14
2021-07,Altus,ALTUS IFM,14
2021-07,Altus,ALTUS LFW,14
2021-07,Altus,ALTUS MAX,14
2021-07,Altus,WN MAX,14
2021-07,Argos,Argos,2
2021-07,Coronus,CORONUS D,5
2021-07,Coronus,CORONUS HP,5
2021-07,Coronus,CORONUS STD,5
2021-07,Depo_Upgrade,Strata GXE,0
2021-07,Etch_Upgrade,UPGRADE_Flex,5
2021-07,Etch_Upgrade,UPGRADE_Kiyo,5
2021-07,Flex,Flex FL,6
2021-07,Flex,Flex FS,6
2021-07,Flex,Flex FSE,6
2021-07,SSM,ALTUS EFX,2
2021-07,SSM,C3 ICE,2
2021-07,SSM,Inflection GS,2
2021-07,SSM,PC MAX,2
