CampusName,Average of CourseOffering.Grades.CGPA,CourseType
South Campus,2.910740740740741,Online
Main Campus,2.909259259259259,Online
Sister Campus,2.8758181818181816,Online
Main Campus,2.871090909090909,InPerson
West Campus,2.8654545454545453,InPerson
North West Campus,2.8503636363636367,Online
South East Campus,2.8503636363636367,InPerson
North Campus,2.8439506172839506,Online
Research Center,2.843571428571429,Online
Sister Campus,2.782678571428572,InPerson
Research Center,2.782168674698795,InPerson
North East Campus,2.7662727272727277,InPerson
West Campus,2.7655421686746986,Online
East West Campus,2.76,InPerson
South East Campus,2.7407142857142857,Online
East West Campus,2.7103703703703705,Online
North Campus,2.6075000000000004,InPerson
South Campus,2.6075000000000004,InPerson
