#matches_played,Name,#total_runs_played,Total_fours_hit,Total_sixes_hit,Highest_run_rate
166,Chennai Super Kings,4186,393,154,12.3
76,Deccan Chargers,1391,134,51,13.362068965517242
178,Delhi Capitals,,,,
30,Gujarat Lions,435,47,16,10.32967032967033
175,Kings XI Punjab,3351,315,108,12.368421052631579
14,Kochi Tuskers Kerala,55,6,0,13.61111111111111
181,Kolkata Knight Riders,3759,332,132,14.042553191489361
188,Mumbai Indians,2195,205,90,13.541666666666666
46,Pune Warriors,385,37,9,9.6
150,Rajasthan Royals,1252,123,41,11.377551020408163
30,Rising Pune Supergiant,820,77,31,9.58974358974359
183,Royal Challengers Bangalore,3337,299,147,15.090909090909092
109,Sunrisers Hyderabad,1457,147,48,10.476190476190476
