TBDCoding,ForecastHrs,Hours
Air Wrench,6.769565217391287,8.0
Air hoist,6.769565217391287,2.0
Cut & Slips drilling line,6.769565217391287,12.0
Draw works,6.769565217391287,2.0
Fishing,52.28857142857143,11.0
Force Majeure,52.28857142857143,12.0
Generator,6.769565217391287,28.0
IBOP,6.769565217391287,8.5
Mud pump,6.769565217391287,179.0
Others Contingency,52.28857142857143,1.0
Others Rig Equipments,6.769565217391287,1.5
Plug Back / Side Tracking,52.28857142857143,42.5
Plugging Bit/String/ CSG,52.28857142857143,22.0
TDS,6.769565217391287,110.0
TOTCO Machine,6.769565217391287,2.0
Wash pipe,6.769565217391287,18.0
Well control system,6.769565217391287,529.5
