Year,Quarter,Month,Day,Manufacturer,Daily Revenue
2018,1,1,1,Aliqui,5300.9775
2018,1,1,1,VanArsdel,333961.74
2018,1,1,2,Aliqui,39577.597499999996
2018,1,1,2,Currus,4157.37
2018,1,1,2,Pirum,8600.4975
2018,1,1,2,VanArsdel,205147.325
2018,1,1,3,Aliqui,55120.17
2018,1,1,3,Currus,48489.63
2018,1,1,3,Pirum,258167.635
2018,1,1,3,VanArsdel,574362.505
2018,1,1,4,Aliqui,42690.81
2018,1,1,4,Currus,19692.44
2018,1,1,4,Natura,41340.1425
2018,1,1,4,Pirum,38021.4225
2018,1,1,4,VanArsdel,251919.4625
2018,1,1,5,Aliqui,67332.8225
2018,1,1,5,Currus,43852.5725
2018,1,1,5,Natura,75362.3875
2018,1,1,5,Pirum,135233.7975
2018,1,1,5,VanArsdel,436830.2525
2018,1,1,6,Aliqui,90400.605
2018,1,1,6,Currus,53555.72
2018,1,1,6,Natura,65437.9975
2018,1,1,6,Pirum,78600.44499999999
2018,1,1,6,VanArsdel,569980.7925
2018,1,1,7,Aliqui,23442.3525
2018,1,1,7,Currus,35847.3675
2018,1,1,7,Natura,93284.79
2018,1,1,7,Pirum,35570.43
2018,1,1,7,VanArsdel,425338.15750000003
2018,1,1,8,Aliqui,1356.8625
2018,1,1,8,Natura,22464.4875
2018,1,1,8,VanArsdel,187248.6525
2018,1,1,9,Aliqui,87410.14749999999
2018,1,1,9,Currus,29568.9475
2018,1,1,9,Natura,75028.39749999999
2018,1,1,9,Pirum,50063.8525
2018,1,1,9,VanArsdel,380779.9875
2018,1,1,10,Aliqui,134698.585
2018,1,1,10,Currus,96022.405
2018,1,1,10,Natura,133062.12
2018,1,1,10,Pirum,109165.8375
2018,1,1,10,VanArsdel,503441.0775
2018,1,1,11,Aliqui,127925.19
2018,1,1,11,Currus,84581.1775
2018,1,1,11,Natura,199490.9075
2018,1,1,11,Pirum,99497.91249999999
2018,1,1,11,VanArsdel,528987.8225
2018,1,1,12,Aliqui,118061.16249999999
2018,1,1,12,Currus,88886.50749999999
2018,1,1,12,Natura,163356.08
2018,1,1,12,Pirum,77198.115
2018,1,1,12,VanArsdel,483738.625
2018,1,1,13,Aliqui,105060.77249999999
2018,1,1,13,Currus,91429.0875
2018,1,1,13,Natura,167489.25
2018,1,1,13,Pirum,73497.1225
2018,1,1,13,VanArsdel,517240.4025
2018,1,1,14,Aliqui,30117.4125
2018,1,1,14,Currus,33175.8
2018,1,1,14,Natura,122702.2125
2018,1,1,14,Pirum,37757.37
2018,1,1,14,VanArsdel,421814.2325
2018,1,1,15,Natura,28354.935
2018,1,1,15,VanArsdel,178735.6725
2018,1,1,16,Aliqui,133821.9675
2018,1,1,16,Currus,64872.155
2018,1,1,16,Natura,94017.8225
2018,1,1,16,Pirum,77703.6975
2018,1,1,16,VanArsdel,397851.6175
2018,1,1,17,Aliqui,133192.0525
