Number of Disabled,Area Type,Years,Age Group
77294,Rural,2001,10-19
76725,Rural,2011,10-19
57041,Rural,2011,20-29
49144,Rural,2011,30-39
47281,Rural,2011,60-69
45852,Rural,2001,20-29
43236,Rural,2011,40-49
42979,Rural,2001,30-39
41167,Rural,2001,5-9
37750,Rural,2011,50-59
36812,Rural,2011,5-9
36286,Rural,2001,40-49
29645,Rural,2001,60-69
28819,Rural,2001,50-59
26163,Rural,2011,70-79
24138,Urban,2001,10-19
24054,Rural,2011,0-4
22886,Rural,2001,0-4
20849,Urban,2011,10-19
18942,Urban,2011,20-29
16658,Urban,2001,20-29
16435,Rural,2001,70-79
15272,Urban,2011,30-39
13347,Urban,2011,40-49
13285,Urban,2001,30-39
11384,Urban,2001,40-49
10810,Urban,2011,50-59
9579,Urban,2001,5-9
8903,Urban,2011,60-69
8616,Urban,2011,5-9
8321,Urban,2001,50-59
8241,Rural,2011,80-89
5921,Urban,2001,60-69
5697,Urban,2011,0-4
5321,Rural,2001,80-89
5257,Urban,2001,0-4
4408,Urban,2011,70-79
3191,Urban,2001,70-79
2223,Rural,2011,90+
1659,Rural,2001,90+
1522,Urban,2011,80-89
1119,Urban,2001,80-89
869,Rural,2011,Age not stated
763,Urban,2011,Age not stated
585,Rural,2001,Age not stated
424,Urban,2011,90+
393,Urban,2001,90+
203,Urban,2001,Age not stated
