County and Region,Total Income per Person,Year
Carlow,16034,2000
Carlow,17487,2001
Carlow,17555,2002
Carlow,18604,2003
Carlow,20133,2004
Carlow,21832,2005
Carlow,22705,2011
Carlow,23335,2012
Carlow,23384,2010
Carlow,23476,2013
Carlow,23641,2006
Carlow,24312,2014
Carlow,24440,2009
Carlow,25018,2016
Carlow,25432,2017
Carlow,25447,2007
Carlow,26000,2015
Carlow,26132,2008
Carlow,26769,2018
Cavan,14981,2000
Cavan,16518,2001
Cavan,17484,2002
Cavan,18722,2003
Cavan,20739,2004
Cavan,21081,2011
Cavan,21508,2013
Cavan,21571,2012
Cavan,22084,2014
Cavan,22787,2005
Cavan,23008,2015
Cavan,23301,2016
Cavan,23447,2010
Cavan,23986,2006
Cavan,24471,2017
Cavan,24674,2009
Cavan,24691,2018
Cavan,25956,2007
Cavan,26124,2008
Clare,17022,2000
Clare,18382,2001
Clare,19146,2002
Clare,20082,2003
Clare,21288,2004
Clare,22483,2011
Clare,22570,2013
Clare,23013,2014
Clare,23243,2012
Clare,23322,2005
Clare,23705,2015
Clare,24169,2010
Clare,24549,2006
Clare,24833,2016
Clare,24944,2009
Clare,26141,2007
Clare,26403,2017
Clare,27051,2008
Clare,27357,2018
Cork,16946,2000
Cork,18811,2001
Cork,20200,2002
Cork,21330,2003
Cork,22913,2004
Cork,24717,2011
Cork,24975,2005
Cork,25561,2012
Cork,25654,2010
Cork,25935,2013
Cork,26192,2014
Cork,26208,2006
Cork,26594,2009
Cork,26714,2015
Cork,27535,2007
Cork,27674,2016
Cork,28239,2008
Cork,29205,2017
Cork,31198,2018
Donegal,13410,2000
Donegal,14585,2001
Donegal,15318,2002
Donegal,16219,2003
Donegal,17525,2004
Donegal,18432,2005
Donegal,18828,2013
Donegal,18947,2014
Donegal,19136,2011
Donegal,19321,2012
Donegal,19471,2016
Donegal,19482,2015
Donegal,19682,2006
Donegal,19802,2010
Donegal,20688,2007
Donegal,20701,2017
Donegal,20756,2009
Donegal,21460,2008
Donegal,21956,2018
Dublin,21451,2000
Dublin,23946,2001
Dublin,24457,2002
Dublin,25733,2003
Dublin,27260,2004
Dublin,29034,2005
Dublin,29072,2011
Dublin,29178,2010
Dublin,30456,2012
Dublin,30599,2006
Dublin,30602,2009
Dublin,30785,2013
Dublin,31767,2014
Dublin,32294,2007
Dublin,32836,2008
Dublin,33122,2015
Dublin,34305,2016
Dublin,35867,2017
Dublin,37530,2018
Galway,15962,2000
Galway,17526,2001
Galway,18481,2002
Galway,20183,2003
Galway,21985,2004
Galway,22916,2011
Galway,23406,2013
Galway,23613,2005
Galway,23836,2014
Galway,24115,2012
Galway,24473,2015
Galway,25062,2006
Galway,25102,2010
Galway,25671,2016
Galway,26107,2009
Galway,26453,2007
Galway,26882,2017
Galway,27280,2018
Galway,27571,2008
Kerry,14296,2000
Kerry,15996,2001
Kerry,16811,2002
Kerry,17934,2003
Kerry,19132,2004
Kerry,20710,2005
Kerry,21237,2011
Kerry,21483,2010
Kerry,21601,2013
Kerry,21930,2006
Kerry,22161,2012
Kerry,22383,2014
Kerry,22395,2009
Kerry,22876,2007
Kerry,22960,2015
Kerry,23503,2008
Kerry,24227,2016
Kerry,25419,2017
Kerry,25803,2018
Kildare,19854,2000
Kildare,21798,2001
Kildare,22814,2002
Kildare,23842,2003
Kildare,25449,2011
Kildare,25626,2004
Kildare,26156,2013
Kildare,26500,2012
Kildare,26630,2010
Kildare,26914,2014
Kildare,27245,2005
Kildare,28557,2015
Kildare,28598,2009
Kildare,29278,2006
Kildare,30246,2016
Kildare,30375,2007
Kildare,30915,2008
Kildare,33925,2017
Kildare,35138,2018
Kilkenny,15050,2000
Kilkenny,16316,2001
Kilkenny,17647,2002
Kilkenny,18912,2003
Kilkenny,20041,2004
Kilkenny,21746,2005
Kilkenny,21903,2011
Kilkenny,22601,2012
Kilkenny,22786,2010
Kilkenny,23715,2013
Kilkenny,24062,2006
Kilkenny,24368,2014
Kilkenny,24588,2009
Kilkenny,24730,2016
Kilkenny,25534,2015
Kilkenny,25761,2017
Kilkenny,25857,2007
Kilkenny,26769,2008
Kilkenny,27042,2018
Laois,15733,2000
Laois,17074,2001
Laois,18376,2002
Laois,20213,2003
Laois,21950,2011
Laois,21966,2004
Laois,22317,2012
Laois,22961,2013
Laois,23095,2014
Laois,23210,2015
Laois,23289,2005
Laois,23346,2010
Laois,23908,2016
Laois,24212,2018
Laois,24702,2006
Laois,24926,2017
Laois,24995,2009
Laois,25907,2007
Laois,26729,2008
Leitrim,14772,2000
Leitrim,15861,2001
Leitrim,17257,2002
Leitrim,18728,2003
Leitrim,20911,2004
Leitrim,22440,2013
Leitrim,22464,2011
Leitrim,22638,2014
Leitrim,22747,2005
Leitrim,22918,2012
Leitrim,23148,2015
Leitrim,23148,2016
Leitrim,24021,2006
Leitrim,24055,2010
Leitrim,24640,2017
