Date,deaths_jh,deaths_rki,deaths_ecdc
2019-12-31 00:00:00,,,0
2020-01-01 00:00:00,,,0
2020-01-02 00:00:00,,,0
2020-01-03 00:00:00,,,0
2020-01-04 00:00:00,,,0
2020-01-05 00:00:00,,,0
2020-01-06 00:00:00,,,0
2020-01-07 00:00:00,,,0
2020-01-08 00:00:00,,,0
2020-01-09 00:00:00,,,0
2020-01-10 00:00:00,,,0
2020-01-11 00:00:00,,,0
2020-01-12 00:00:00,,,0
2020-01-13 00:00:00,,,0
2020-01-14 00:00:00,,,0
2020-01-15 00:00:00,,,0
2020-01-16 00:00:00,,,0
2020-01-17 00:00:00,,,0
2020-01-18 00:00:00,,,0
2020-01-19 00:00:00,,,0
2020-01-20 00:00:00,,,0
2020-01-21 00:00:00,,,0
2020-01-22 00:00:00,0,,0
2020-01-23 00:00:00,0,,0
2020-01-24 00:00:00,0,,0
2020-01-25 00:00:00,0,,0
2020-01-26 00:00:00,0,,0
2020-01-27 00:00:00,0,,0
2020-01-28 00:00:00,0,,0
2020-01-29 00:00:00,0,,0
2020-01-30 00:00:00,0,,0
2020-01-31 00:00:00,0,,0
2020-02-01 00:00:00,0,,0
2020-02-02 00:00:00,0,,0
2020-02-03 00:00:00,0,,0
2020-02-04 00:00:00,0,,0
2020-02-05 00:00:00,0,,0
2020-02-06 00:00:00,0,,0
2020-02-07 00:00:00,0,,0
2020-02-08 00:00:00,0,,0
2020-02-09 00:00:00,0,,0
2020-02-10 00:00:00,0,,0
2020-02-11 00:00:00,0,,0
2020-02-12 00:00:00,0,,0
2020-02-13 00:00:00,0,,0
2020-02-14 00:00:00,0,,0
2020-02-15 00:00:00,0,,0
2020-02-16 00:00:00,0,,0
2020-02-17 00:00:00,0,,0
2020-02-18 00:00:00,0,,0
2020-02-19 00:00:00,0,,0
2020-02-20 00:00:00,0,,0
2020-02-21 00:00:00,0,,0
2020-02-22 00:00:00,0,,0
2020-02-23 00:00:00,0,,0
2020-02-24 00:00:00,0,,0
2020-02-25 00:00:00,0,,0
2020-02-26 00:00:00,0,,0
2020-02-27 00:00:00,0,,0
2020-02-28 00:00:00,0,0,0
2020-02-29 00:00:00,0,0,0
2020-03-01 00:00:00,0,0,0
2020-03-02 00:00:00,0,0,0
2020-03-03 00:00:00,0,0,0
2020-03-04 00:00:00,0,0,0
2020-03-05 00:00:00,0,0,0
2020-03-06 00:00:00,0,0,0
2020-03-07 00:00:00,0,0,0
2020-03-08 00:00:00,0,0,0
2020-03-09 00:00:00,2,0,0
2020-03-10 00:00:00,0,0,2
2020-03-11 00:00:00,1,0,0
2020-03-12 00:00:00,0,0,1
2020-03-13 00:00:00,4,0,2
2020-03-14 00:00:00,2,0,0
2020-03-15 00:00:00,2,0,3
2020-03-16 00:00:00,6,0,4
2020-03-17 00:00:00,7,12,1
2020-03-18 00:00:00,4,0,0
2020-03-19 00:00:00,16,8,0
2020-03-20 00:00:00,23,11,30
2020-03-21 00:00:00,17,16,2
2020-03-22 00:00:00,10,8,22
2020-03-23 00:00:00,29,31,27
2020-03-24 00:00:00,34,28,32
2020-03-25 00:00:00,49,35,23
2020-03-26 00:00:00,61,49,49
2020-03-27 00:00:00,75,55,55
2020-03-28 00:00:00,91,72,72
2020-03-29 00:00:00,100,64,64
2020-03-30 00:00:00,112,66,66
2020-03-31 00:00:00,130,128,128
2020-04-01 00:00:00,145,149,149
2020-04-02 00:00:00,187,140,140
2020-04-03 00:00:00,168,145,145
2020-04-04 00:00:00,169,141,141
2020-04-05 00:00:00,140,184,184
2020-04-06 00:00:00,226,92,92
2020-04-07 00:00:00,206,173,173
2020-04-08 00:00:00,333,254,254
2020-04-09 00:00:00,258,246,246
2020-04-10 00:00:00,160,266,266
2020-04-11 00:00:00,-31,171,171
2020-04-12 00:00:00,286,129,129
2020-04-13 00:00:00,172,126,126
2020-04-14 00:00:00,100,170,170
2020-04-15 00:00:00,510,285,285
2020-04-16 00:00:00,248,315,315
2020-04-17 00:00:00,300,299,299
2020-04-18 00:00:00,107,242,242
2020-04-19 00:00:00,127,184,184
2020-04-20 00:00:00,276,110,110
2020-04-21 00:00:00,171,194,194
2020-04-22 00:00:00,246,281,281
2020-04-23 00:00:00,296,215,215
2020-04-24 00:00:00,185,227,227
2020-04-25 00:00:00,117,179,179
2020-04-26 00:00:00,99,140,140
2020-04-27 00:00:00,150,110,110
2020-04-28 00:00:00,188,163,163
2020-04-29 00:00:00,153,202,202
2020-04-30 00:00:00,156,173,173
2020-05-01 00:00:00,113,193,193
2020-05-02 00:00:00,76,94,94
2020-05-03 00:00:00,54,74,74
2020-05-04 00:00:00,127,43,43
2020-05-05 00:00:00,0,139,139
2020-05-06 00:00:00,282,165,165
2020-05-07 00:00:00,117,123,123
2020-05-08 00:00:00,118,147,147
2020-05-09 00:00:00,39,103,103
2020-05-10 00:00:00,20,26,26
2020-05-11 00:00:00,92,22,22
2020-05-12 00:00:00,77,116,116
2020-05-13 00:00:00,123,101,101
2020-05-14 00:00:00,23,89,89
2020-05-15 00:00:00,13,101,101
2020-05-16 00:00:00,41,57,57
2020-05-17 00:00:00,24,33,33
2020-05-18 00:00:00,41,21,21
2020-05-19 00:00:00,78,72,72
2020-05-20 00:00:00,63,83,83
2020-05-21 00:00:00,59,57,57
2020-05-22 00:00:00,25,27,27
2020-05-23 00:00:00,33,42,42
2020-05-24 00:00:00,22,31,31
2020-05-25 00:00:00,26,10,10
2020-05-26 00:00:00,63,45,45
2020-05-27 00:00:00,56,47,47
2020-05-28 00:00:00,42,62,62
2020-05-29 00:00:00,34,39,39
2020-05-30 00:00:00,26,39,39
2020-05-31 00:00:00,10,11,11
2020-06-01 00:00:00,15,11,11
