Menu Order,Food Name,Total Quantity Ordered,Order YearMonth
Wonder Starter Vegetarian 3 Meals,Add-On Food Item [Sourdough (Kefir King)],1,2020-11-01 00:00:00
Wonder Starter Vegetarian 3 Meals,Add-On Food Item [Pulut Hitam Creme Brul̩e],3,2020-11-01 00:00:00
Wonder Starter Vegetarian 3 Meals,Add-On Food Item [Mandi Rice],4,2020-11-01 00:00:00
Wonder Starter Vegetarian 3 Meals,Add-On Food Item [Hummus & Bread],3,2020-11-01 00:00:00
Wonder Starter Vegetarian 3 Meals,Add-On Food Item [Frozen Bolani],1,2020-12-01 00:00:00
Wonder Starter Vegetarian 3 Meals,Add-On Food Item [Fresh Mantu],4,2020-11-01 00:00:00
Wonder Starter Vegetarian 3 Meals,Add-On Food Item [Amazin' Grace Nut Mix],4,2020-11-01 00:00:00
Wonder Starter Vegetarian 3 Meals,Add-On Food Item [Amazin' Grace Nut Mix],1,2021-02-01 00:00:00
Wonder Starter Vegetarian 3 Meals,Add-On Food Item [Amazin' Grace Granola],1,2021-02-01 00:00:00
Wonder Starter Vegetarian 3 Meals,Add-On Beverage Item [N. Soda Guava & Lemongr],5,2020-11-01 00:00:00
Wonder Starter Vegetarian 3 Meals,Add-On Beverage Item [Kombucha Passionfruit],8,2020-11-01 00:00:00
Wonder Starter Vegetarian 3 Meals,Add-On Beverage Item [Kombucha Passionfruit],3,2021-02-01 00:00:00
Wonder Starter Vegetarian 3 Meals,Add-On Beverage Item [Kombucha Lemongrass & Green Tea],1,2021-02-01 00:00:00
Wonder Starter Vegetarian 3 Meals,Add-On Beverage Item [Kombucha Green Tea],3,2020-11-01 00:00:00
Wonder Starter Vegetarian 3 Meals,Add-On Beverage Item [Kombucha Green Tea],2,2021-02-01 00:00:00
Wonder Starter Vegetarian 3 Meals,Add-On Beverage Item [Kombucha Beetroot],5,2020-11-01 00:00:00
Wonder Starter Vegetarian 3 Meals,Add-On Beverage Item [Kombucha Beetroot],1,2021-02-01 00:00:00
Wonder Starter Vegetarian 3 Meals,Add-On Beverage Item [Arabic Cold Brew],4,2020-11-01 00:00:00
Wonder Starter 9 Meals,Menu Orders [SM9 - Chicken Jalfrezi],1,2020-11-01 00:00:00
Wonder Starter 9 Meals,Add-On Food Item [Sourdough (Kefir King)],2,2020-12-01 00:00:00
Wonder Starter 9 Meals,Add-On Food Item [Sourdough (Kefir King)],3,2021-01-01 00:00:00
Wonder Starter 9 Meals,Add-On Food Item [Sourdough (Kefir King)],2,2021-02-01 00:00:00
Wonder Starter 9 Meals,Add-On Food Item [Frozen Sambusak],2,2021-01-01 00:00:00
Wonder Starter 9 Meals,Add-On Food Item [Frozen Falafel Mix],1,2021-01-01 00:00:00
Wonder Starter 9 Meals,Add-On Food Item [Frozen Bolani],1,2021-01-01 00:00:00
Wonder Starter 9 Meals,Add-On Food Item [Cookies],1,2021-02-01 00:00:00
Wonder Starter 9 Meals,Add-On Beverage Item [Kombucha Passionfruit],2,2020-12-01 00:00:00
Wonder Starter 9 Meals,Add-On Beverage Item [Kombucha Passionfruit],2,2021-01-01 00:00:00
Wonder Starter 9 Meals,Add-On Beverage Item [Kombucha Passionfruit],2,2021-02-01 00:00:00
Wonder Starter 9 Meals,Add-On Beverage Item [Kombucha Lemongrass & Green Tea],2,2021-01-01 00:00:00
Wonder Starter 9 Meals,Add-On Beverage Item [Kombucha Beetroot],2,2021-02-01 00:00:00
Wonder Starter 9 Meals,Add-On Beverage Item [Arabic Cold Brew],2,2020-12-01 00:00:00
Wonder Starter 9 Meals,Add-On Beverage Item [Arabic Cold Brew],2,2021-01-01 00:00:00
Wonder Starter 6 Meals,Add-On Food Item [Sourdough (Kefir King)],1,2020-11-01 00:00:00
Wonder Starter 6 Meals,Add-On Food Item [Sourdough (Kefir King)],1,2020-12-01 00:00:00
Wonder Starter 6 Meals,Add-On Food Item [Sourdough (Kefir King)],2,2021-02-01 00:00:00
Wonder Starter 6 Meals,Add-On Beverage Item [Kombucha Passionfruit],1,2020-12-01 00:00:00
Wonder Starter 6 Meals,Add-On Beverage Item [Kombucha Passionfruit],1,2021-01-01 00:00:00
Wonder Starter 6 Meals,Add-On Beverage Item [Kombucha Passionfruit],1,2021-02-01 00:00:00
Wonder Starter 6 Meals,Add-On Beverage Item [Kombucha Green Tea],1,2020-12-01 00:00:00
Wonder Starter 6 Meals,Add-On Beverage Item [Kombucha Green Tea],1,2021-02-01 00:00:00
Wonder Starter 6 Meals,Add-On Beverage Item [Kombucha Beetroot],1,2020-12-01 00:00:00
Wonder Starter 6 Meals,Add-On Beverage Item [Arabic Cold Brew],2,2021-02-01 00:00:00
Wonder Starter 3 Meals,Add-On Food Item [Sourdough (Kefir King)],1,2020-11-01 00:00:00
Wonder Starter 3 Meals,Add-On Food Item [Sourdough (Kefir King)],2,2021-01-01 00:00:00
Wonder Starter 3 Meals,Add-On Food Item [Frozen Falafel Mix],1,2021-02-01 00:00:00
Wonder Starter 3 Meals,Add-On Food Item [Frozen Chicken Meatball],1,2021-01-01 00:00:00
Wonder Starter 3 Meals,Add-On Food Item [Cookies],1,2021-01-01 00:00:00
Wonder Starter 3 Meals,Add-On Food Item [Amazin' Grace Nut Mix],1,2020-12-01 00:00:00
Wonder Starter 3 Meals,Add-On Food Item [Amazin' Grace Nut Mix],1,2021-01-01 00:00:00
Wonder Starter 3 Meals,Add-On Food Item [Amazin' Grace Granola],1,2020-12-01 00:00:00
Wonder Starter 3 Meals,Add-On Beverage Item [Kombucha Passionfruit],1,2021-01-01 00:00:00
Wonder Starter 3 Meals,Add-On Beverage Item [Kombucha Passionfruit],3,2021-02-01 00:00:00
Wonder Starter 3 Meals,Add-On Beverage Item [Kombucha Lemongrass & Green Tea],1,2021-02-01 00:00:00
Wonder Starter 3 Meals,Add-On Beverage Item [Kombucha Beetroot],2,2021-02-01 00:00:00
Wonder Plus,Menu Orders [VM3 - Soy Chunk & Tofu Butter Masala],8,2020-11-01 00:00:00
Wonder Plus,Menu Orders [VM3 - Soy Chunk & Tofu Butter Masala],19,2020-12-01 00:00:00
Wonder Plus,Menu Orders [VM3 - Soy Chunk & Tofu Butter Masala],11,2021-01-01 00:00:00
Wonder Plus,Menu Orders [VM3 - Soy Chunk & Tofu Butter Masala],1,2021-02-01 00:00:00
Wonder Plus,Menu Orders [VM2 - Cauli-Chickpeas Veggie Balls],15,2020-11-01 00:00:00
Wonder Plus,Menu Orders [VM2 - Cauli-Chickpeas Veggie Balls],28,2020-12-01 00:00:00
Wonder Plus,Menu Orders [VM2 - Cauli-Chickpeas Veggie Balls],19,2021-01-01 00:00:00
Wonder Plus,Menu Orders [VM2 - Cauli-Chickpeas Veggie Balls],4,2021-02-01 00:00:00
Wonder Plus,Menu Orders [VM1 - Afghan Eggplant Curry],21,2020-11-01 00:00:00
Wonder Plus,Menu Orders [VM1 - Afghan Eggplant Curry],22,2020-12-01 00:00:00
Wonder Plus,Menu Orders [VM1 - Afghan Eggplant Curry],18,2021-01-01 00:00:00
Wonder Plus,Menu Orders [VM1 - Afghan Eggplant Curry],10,2021-02-01 00:00:00
Wonder Plus,Menu Orders [SM9 - Chicken Jalfrezi],54,2020-11-01 00:00:00
