Province,District,Value (c),subjects
1-Nairobi,1-Nairobi West,1,1
1-Nairobi,1-Nairobi West,2,3
1-Nairobi,2-Nairobi East,1,23
1-Nairobi,2-Nairobi East,2,19
1-Nairobi,3-Nairobi North,1,3
1-Nairobi,3-Nairobi North,2,2
1-Nairobi,4-Westlands,1,7
1-Nairobi,4-Westlands,2,1
2-Central,10-Muranga South,1,2
2-Central,10-Muranga South,2,4
2-Central,11-Kiambu East (Kiambaa),2,8
2-Central,12-Kikuyu,2,7
2-Central,13-Thika West,2,7
2-Central,14-Ruiru,2,4
2-Central,15-Gatundu,1,2
2-Central,15-Gatundu,2,2
2-Central,5-Nyandarua South,1,2
2-Central,5-Nyandarua South,2,10
2-Central,6-Nyeri North,1,3
2-Central,6-Nyeri North,2,2
2-Central,7-Nyeri South,1,2
2-Central,7-Nyeri South,2,8
2-Central,8-Kirinyaga,2,5
2-Central,9-Muranga North,1,5
2-Central,9-Muranga North,2,2
3-Coast,16-Mombasa,1,5
3-Coast,16-Mombasa,2,2
3-Coast,17-Kilindini,1,1
3-Coast,17-Kilindini,2,1
3-Coast,18-Kinango,1,3
3-Coast,18-Kinango,2,3
3-Coast,19-Kilifi,1,4
3-Coast,19-Kilifi,2,8
3-Coast,20-Kaloleni,1,4
3-Coast,20-Kaloleni,2,4
3-Coast,21-Malindi,1,4
3-Coast,21-Malindi,2,6
3-Coast,22-Taita,2,6
4-Eastern,23-Imenti North,2,9
4-Eastern,24-Imenti South,2,8
4-Eastern,25-Igembe,2,4
4-Eastern,26-Tigania,2,8
4-Eastern,27-Embu,2,7
4-Eastern,28-Kitui,1,7
4-Eastern,28-Kitui,2,4
4-Eastern,29-Mutomo,1,3
4-Eastern,29-Mutomo,2,2
4-Eastern,30-Mwingi,1,3
4-Eastern,30-Mwingi,2,2
4-Eastern,31-Machakos,1,6
4-Eastern,31-Machakos,2,6
4-Eastern,32-Yatta,1,3
4-Eastern,32-Yatta,2,3
4-Eastern,33-Kangundo,1,4
4-Eastern,33-Kangundo,2,2
4-Eastern,34-Nzaui,1,4
4-Eastern,34-Nzaui,2,4
5-North Eaatern,36-Wajir South,1,6
5-North Eaatern,36-Wajir South,2,7
5-North Eaatern,37-Wajir North,1,2
5-North Eaatern,38-Wajir East,1,8
5-North Eaatern,38-Wajir East,2,3
5-North Eaatern,39-Wajir West,1,12
5-North Eaatern,39-Wajir West,2,1
5-North Eaatern,73-Kajiado North,1,5
6-Nyanza,40-Siaya,2,6
6-Nyanza,41-Kisumu East,1,2
6-Nyanza,41-Kisumu East,2,14
6-Nyanza,42-Nyando,1,1
6-Nyanza,42-Nyando,2,8
6-Nyanza,43-Homabay,1,2
6-Nyanza,43-Homabay,2,5
6-Nyanza,44-Suba,1,1
6-Nyanza,44-Suba,2,6
6-Nyanza,45-Rachounyo,2,5
6-Nyanza,46-Migori,2,4
6-Nyanza,47-Rongo,2,7
6-Nyanza,48-Kisii Central,1,2
6-Nyanza,48-Kisii Central,2,16
6-Nyanza,49-Masaba,2,6
6-Nyanza,50-Gucha,1,1
6-Nyanza,50-Gucha,2,7
6-Nyanza,52-Nyamira,1,2
6-Nyanza,52-Nyamira,2,9
7-Rift Valley,56-Pokot Central,1,3
7-Rift Valley,56-Pokot Central,2,3
7-Rift Valley,57-Trans Nzoia West,1,8
7-Rift Valley,57-Trans Nzoia West,2,1
7-Rift Valley,58-Trans Nzoia East,1,7
7-Rift Valley,58-Trans Nzoia East,2,13
7-Rift Valley,59-Kwanza,1,5
7-Rift Valley,59-Kwanza,2,4
7-Rift Valley,60-Eldoret West,1,8
7-Rift Valley,60-Eldoret West,2,4
