Year,Quarter,Month,Day,Revenue,Manufacturer
2018,Qtr 1,January,1,5301,Aliqui
2018,Qtr 1,January,1,333962,VanArsdel
2018,Qtr 1,January,2,39578,Aliqui
2018,Qtr 1,January,2,4157,Currus
2018,Qtr 1,January,2,8600,Pirum
2018,Qtr 1,January,2,205147,VanArsdel
2018,Qtr 1,January,3,55120,Aliqui
2018,Qtr 1,January,3,48490,Currus
2018,Qtr 1,January,3,258168,Pirum
2018,Qtr 1,January,3,574363,VanArsdel
2018,Qtr 1,January,4,42691,Aliqui
2018,Qtr 1,January,4,19692,Currus
2018,Qtr 1,January,4,41340,Natura
2018,Qtr 1,January,4,38021,Pirum
2018,Qtr 1,January,4,251919,VanArsdel
2018,Qtr 1,January,5,67333,Aliqui
2018,Qtr 1,January,5,43853,Currus
2018,Qtr 1,January,5,75362,Natura
2018,Qtr 1,January,5,135234,Pirum
2018,Qtr 1,January,5,436830,VanArsdel
2018,Qtr 1,January,6,90401,Aliqui
2018,Qtr 1,January,6,53556,Currus
2018,Qtr 1,January,6,65438,Natura
2018,Qtr 1,January,6,78600,Pirum
2018,Qtr 1,January,6,569981,VanArsdel
2018,Qtr 1,January,7,23442,Aliqui
2018,Qtr 1,January,7,35847,Currus
2018,Qtr 1,January,7,93285,Natura
2018,Qtr 1,January,7,35570,Pirum
2018,Qtr 1,January,7,425338,VanArsdel
2018,Qtr 1,January,8,1357,Aliqui
2018,Qtr 1,January,8,22464,Natura
2018,Qtr 1,January,8,187249,VanArsdel
2018,Qtr 1,January,9,87410,Aliqui
2018,Qtr 1,January,9,29569,Currus
2018,Qtr 1,January,9,75028,Natura
2018,Qtr 1,January,9,50064,Pirum
2018,Qtr 1,January,9,380780,VanArsdel
2018,Qtr 1,January,10,134699,Aliqui
2018,Qtr 1,January,10,96022,Currus
2018,Qtr 1,January,10,133062,Natura
2018,Qtr 1,January,10,109166,Pirum
2018,Qtr 1,January,10,503441,VanArsdel
2018,Qtr 1,January,11,127925,Aliqui
2018,Qtr 1,January,11,84581,Currus
2018,Qtr 1,January,11,199491,Natura
2018,Qtr 1,January,11,99498,Pirum
2018,Qtr 1,January,11,528988,VanArsdel
2018,Qtr 1,January,12,118061,Aliqui
2018,Qtr 1,January,12,88887,Currus
2018,Qtr 1,January,12,163356,Natura
2018,Qtr 1,January,12,77198,Pirum
2018,Qtr 1,January,12,483739,VanArsdel
2018,Qtr 1,January,13,105061,Aliqui
2018,Qtr 1,January,13,91429,Currus
2018,Qtr 1,January,13,167489,Natura
2018,Qtr 1,January,13,73497,Pirum
2018,Qtr 1,January,13,517240,VanArsdel
