Country,State,District,Revenue,Manufacturer
Australia,New South Wales,,8588828.6925,VanArsdel
Australia,Victoria,VIC FAR COUNTRY,4821617.325,VanArsdel
USA,FL,District #10,4728445.5225,Currus
Australia,Victoria,,4686330.3375,VanArsdel
USA,CA,District #37,2766296.925,Currus
USA,FL,District #10,2594048.5725,Natura
USA,CA,District #37,2542238.475,Aliqui
Australia,South Australia,,2534604.8175,VanArsdel
USA,FL,District #12,2496764.655,Currus
USA,TX,District #23,2426021.6925,Currus
USA,CA,District #37,2378182.38,Natura
Australia,Western Australia,KALGOORLIE,2361112.5825,VanArsdel
USA,CA,District #36,2108970.3075,Aliqui
Australia,New South Wales,,2070751.4625,Currus
USA,CA,District #38,2024374.4325,Currus
USA,CA,District #36,1951550.055,Currus
USA,FL,District #10,1914842.3175,Aliqui
Australia,South Australia,SA SUBS NEAR 2,1849671.18,VanArsdel
USA,FL,District #10,1745496.1125,Pirum
USA,CA,District #38,1720162.2375,Natura
USA,CA,District #38,1702153.4775,Aliqui
Australia,Queensland,,1635785.9175,VanArsdel
USA,CA,District #37,1549544.64,Pirum
USA,CA,District #36,1531737.165,Natura
USA,TX,District #22,1496213.8275,Currus
USA,CA,District #36,1452550.6275,Pirum
Australia,Queensland,TOOWOOMBA SE CNR,1415729.0175,VanArsdel
Australia,Queensland,CENTRAL QLD,1355830.8225,VanArsdel
Australia,Victoria,VIC FAR COUNTRY,1333815.105,Currus
USA,MD,District #05,1328061.2625,Currus
USA,TX,District #23,1301998.3725,Aliqui
Australia,Western Australia,KALGOORLIE,1291952.3925,Currus
Australia,Victoria,,1247496.81,Currus
Australia,South Australia,SA FAR,1175304.7425,VanArsdel
USA,TX,District #23,1170720.39,Pirum
Australia,New South Wales,,1168684.5975,Natura
Australia,New South Wales,,1162834.26,Aliqui
Australia,South Australia,SA SUBS NEAR 1,1160384.1375,VanArsdel
USA,NJ,District #04,1156781.4825,Currus
USA,LA,District #24,1149618.015,Currus
Australia,Queensland,BRIS CITY CNTRY,1120825.2825,VanArsdel
USA,CA,District #38,1120110.915,Pirum
USA,TN,District #19,1086840.4575,Currus
USA,AZ,District #39,1082540.445,Currus
Australia,Queensland,NORTHGATE NORTH,1076934.5475,VanArsdel
USA,FL,District #12,1074800.0025,Natura
USA,SC,District #11,1068497.0625,Currus
USA,FL,District #12,1050564.795,Aliqui
USA,FL,District #12,1045415.595,Pirum
Australia,New South Wales,,1017686.6175,Pirum
USA,CA,District #35,1012807.95,Currus
USA,TX,District #23,1011784.935,Natura
Australia,Victoria,MELB NORTH WEST,991515.9975,VanArsdel
Australia,Queensland,UNDERWOOD SOUTH,977410.4025,VanArsdel
Australia,New South Wales,CAMPBELLTOWN,943798.8525,VanArsdel
USA,TX,District #22,935617.725,Aliqui
USA,CT,District #02,901411.14,Currus
Australia,Victoria,FRANKSTON,901271.4375,VanArsdel
Australia,Tasmania,,870455.355,VanArsdel
Australia,New South Wales,NSW NORTH COAST,863744.91,VanArsdel
Australia,New South Wales,HUNTER,857940.615,VanArsdel
Australia,Northern Territory,DARWIN,835305.5025,VanArsdel
Australia,Tasmania,TASMANIA,809381.2125,VanArsdel
Australia,Victoria,VIC FAR COUNTRY,773302.215,Natura
USA,AZ,District #39,766194.345,Natura
USA,TX,District #22,763944.2475,Pirum
USA,NJ,District #04,762004.6875,Natura
Australia,New South Wales,BONDI,754352.865,VanArsdel
Australia,Victoria,RINGWOOD,748134.6075,VanArsdel
USA,CA,District #35,743291.7975,Aliqui
Australia,Victoria,,741708.3975,Aliqui
Australia,Western Australia,TANGNEY,741254.6925,VanArsdel
USA,IN,District #17,738204.39,Currus
Australia,Western Australia,CURTIN,735671.9475,VanArsdel
Australia,Victoria,VIC FAR COUNTRY,728936.5125,Aliqui
Australia,Australian Capital Territory,CANBERRA,725487.7875,VanArsdel
Australia,Victoria,VIC FAR COUNTRY,719571.51,Pirum
Australia,Victoria,,712770.7125,Natura
USA,TX,District #22,711379.725,Natura
Australia,Queensland,SUNSHINE MT ISA,703032.8025,VanArsdel
USA,CA,District #35,692780.34,Natura
Australia,New South Wales,NEW CNTRY WEST,691112.6775,VanArsdel
USA,MS,District #24,689532.48,Currus
Australia,New South Wales,PARRAMATTA,681926.3325,VanArsdel
Australia,Western Australia,KALGOORLIE,681757.2825,Natura
Australia,Western Australia,STIRLING,667962.75,VanArsdel
USA,AR,District #25,665732.13,Currus
USA,MA,District #02,664742.7675,Currus
USA,AL,District #19,664664.5425,Currus
Japan,Ishikawaken,Kanazawashi,664254.2025,Currus
Australia,Victoria,,664189.89,Pirum
Australia,South Australia,,663130.44,Currus
Australia,New South Wales,CHATSWOOD,659841,VanArsdel
USA,AZ,District #39,657728.7675,Aliqui
USA,CA,District #35,655753.665,Pirum
Australia,Western Australia,BRAND,654824.52,VanArsdel
Australia,Queensland,UNDERWOOD CENT,647956.365,VanArsdel
Australia,New South Wales,CANBERRA,638670.585,VanArsdel
USA,MD,District #05,636856.5525,Aliqui
Nigeria,Kano,NULL,632031.8,Currus
USA,MN,District #28,628856.9175,Aliqui
Australia,New South Wales,WARRINGAH,617261.82,VanArsdel
Australia,Victoria,HAWTHORN,614513.34,VanArsdel
Australia,Victoria,PRESTON,607132.89,VanArsdel
USA,AZ,District #39,595639.0125,Pirum
USA,MD,District #05,592310.46,Pirum
USA,NJ,District #03,590536.7475,Currus
Australia,New South Wales,ST GEORGE,590291.415,VanArsdel
USA,NJ,District #04,585967.9875,Pirum
Australia,Victoria,MELBOURNE CITY,584003.1225,VanArsdel
Australia,New South Wales,BANKSTOWN,576050.685,VanArsdel
Australia,Western Australia,KALGOORLIE,568863.855,Pirum
Australia,Western Australia,KALGOORLIE,565107.9,Aliqui
USA,NJ,District #04,560572.005,Aliqui
Australia,Queensland,NORTHGATE CENT,550996.3725,VanArsdel
Australia,New South Wales,ILLAWARRA,550543.0875,VanArsdel
USA,MD,District #05,534841.1775,Natura
USA,OK,District #21,532291.5675,Currus
USA,TN,District #19,532058.31,Pirum
Australia,South Australia,SA CITY SUBS,529735.5,VanArsdel
USA,TN,District #19,525417.0075,Natura
USA,KY,District #16,515649.435,Currus
USA,MN,District #28,513706.305,Currus
USA,CT,District #02,507574.0425,Aliqui
Australia,Queensland,CENTRAL QLD,505196.895,Currus
USA,NV,District #38,502777.9575,Currus
USA,LA,District #24,491423.7825,Pirum
Australia,New South Wales,GOSFORD,490317.0825,VanArsdel
Australia,Victoria,FOOTSCRAY,488906.5125,VanArsdel
USA,SC,District #11,480644.5875,Natura
USA,SC,District #11,479070.2175,Pirum
Australia,New South Wales,RICHMOND,471169.7025,VanArsdel
USA,TN,District #19,470784.7725,Aliqui
USA,MA,District #02,465835.02,Aliqui
USA,AL,District #09,460744.725,Currus
USA,MA,District #02,453842.0775,Natura
Australia,Tasmania,TASMANIA,445503.135,Currus
USA,WI,District #26,442217.58,Currus
USA,SC,District #11,437046.54,Aliqui
Australia,Victoria,FERNTREE GULLY,436955.7675,VanArsdel
USA,NJ,District #03,428711.5875,Aliqui
Mexico,Distrito Federal,Iztapalapa,425127.31,Currus
USA,FL,District #09,424460.82,Currus
USA,MN,District #28,422706.165,Natura
Japan,Fukushimaken,Shirakawashi,415109.31,Currus
USA,IN,District #17,414558.69,Aliqui
Australia,Queensland,TOOWOOMBA SE CNR,414221.955,Currus
Germany,Nordrhein-Westfalen,,413102.55,Currus
USA,WI,District #26,405497.61,Aliqui
Australia,Victoria,VIC COUNTRY,403887.96,VanArsdel
Nigeria,Rivers ,NULL,403229.36,Currus
Australia,Western Australia,,393925.7175,VanArsdel
Nigeria,Kano,NULL,391262.7,Aliqui
Germany,Nordrhein-Westfalen,,388837.75,Aliqui
Australia,South Australia,SA SUBS NEAR 2,386648.6925,Currus
USA,CT,District #02,384944.07,Pirum
USA,TN,District #25,382551.0675,Currus
USA,NV,District #38,381740.9925,Natura
Nigeria,Kano,NULL,380229.75,Natura
USA,NJ,District #03,376054.2975,Natura
USA,MD,District #07,375659.76,Currus
Australia,South Australia,,374399.0775,Pirum
Australia,Queensland,GOLD COAST,373897.9125,VanArsdel
USA,WI,District #26,372721.02,Natura
USA,MA,District #02,371720.58,Pirum
Australia,South Australia,,369971.9625,Aliqui
Australia,Queensland,,369551.175,Currus
Nigeria,Lagos,NULL,365378.96,Currus
USA,AR,District #25,364109.34,Pirum
USA,NM,District #39,364019.145,Currus
Australia,South Australia,,363986.49,Natura
Germany,Nordrhein-Westfalen,,359546.64,Natura
USA,LA,District #24,358579.4625,Natura
USA,IN,District #17,358143.24,Natura
Japan,Ishikawaken,Kanazawashi,351579.6375,Pirum
Japan,Ishikawaken,Kanazawashi,348383.91,Aliqui
Australia,New South Wales,LEICHHARDT,347862.69,VanArsdel
USA,CT,District #02,340022.9175,Natura
Japan,Ishikawaken,Kanazawashi,337376.6025,Natura
USA,LA,District #24,336661.9725,Aliqui
USA,OK,District #21,335560.26,Aliqui
Nigeria,Kano,NULL,333525.19,Pirum
Japan,Tokushimaken,Tokushimashi,318084.375,Currus
USA,OR,District #34,312766.3875,Currus
Australia,Queensland,NORTH QLD,311189.235,VanArsdel
USA,OK,District #21,307210.995,Pirum
