State,Total profits,County
Alabama,71529.60199999998,Limestone County/Madison County
Alabama,47198.88700000001,Mobile County
Alabama,52003.188999999984,Montgomery County
Alabama,102719.30800000005,Shelby County/Jefferson County
Arizona,570692.8680000002,Maricopa County
Arizona,28556.673000000003,Maricopa County/Yavapai County
Arizona,58886.36700000003,Pima County
Arkansas,47056.78,Pulaski County
California,326609.52300000034,Alameda County
California,307460.0519999995,Contra Costa County
California,130116.88100000005,Fresno County
California,41006.81400000001,Kern County
California,1322705.4910000032,Los Angeles County
California,31581.655999999988,Monterey County
California,758675.7729999991,Orange County
California,84214.712,Placer County
California,518150.53000000026,Riverside County
California,173583.53300000017,Sacramento County
California,492943.4549999997,San Bernardino County
California,821190.1899999988,San Diego County
California,82509.89699999997,San Francisco County
California,114614.62199999997,San Joaquin County
California,168070.1029999999,San Mateo County
California,95771.20700000005,Santa Barbara County
California,192769.04999999993,Santa Clara County
California,222123.55899999983,Solano County
California,87272.79300000002,Sonoma County
California,69782.37599999999,Stanislaus County
California,69232.50699999998,Tulare County
California,342073.257,Ventura County
Colorado,90932.4,Adams County/Douglas County/Arapahoe County
Colorado,85329.45799999998,Adams County/Weld County
Colorado,52416.31099999999,Arapahoe County
Colorado,82084.11200000002,Boulder County
Colorado,117438.739,Denver County
Colorado,113409.22499999995,Douglas County
Colorado,111624.74700000006,El Paso County
Colorado,89644.19100000005,Jefferson County
Colorado,204985.0259999999,Jefferson County/Adams County
Colorado,66480.07999999999,Larimer County
Colorado,150194.16800000006,Pueblo County
Colorado,95860.652,Weld County
Connecticut,296470.04200000013,Fairfield County
Connecticut,121648.88499999998,Hartford County
Connecticut,232936.1530000001,New Haven County
District of Columbia,83338.28500000002,District of Columbia
Florida,131108.07900000009,Alachua County
Florida,110321.46299999996,Brevard County
Florida,623452.0179999997,Broward County
Florida,54154.558999999994,Duval County
Florida,89361.38399999999,Hernando County
Florida,96562.209,Hillsborough County
Florida,210995.19399999996,Lee County
Florida,46775.84899999999,Leon County
Florida,320049.5529999999,Miami-Dade County
Florida,100065.83999999997,Orange County
Florida,143030.66199999998,Palm Beach County
Florida,205815.89299999998,Pinellas County
Florida,94980.74100000004,Polk County
Florida,62275.29400000001,St. Lucie County
Georgia,84463.68400000001,Bibb County
Georgia,63090.61700000001,Chatham County
Georgia,75260.42999999996,Clarke County
Georgia,59922.254000000015,DeKalb County/Fulton County
Georgia,60874.12299999998,Fulton County
Georgia,60726.92400000003,Muscogee County
Georgia,70458.27199999995,Richmond County
Hawaii,49589.78199999999,Honolulu County
Idaho,65718.95999999999,Ada County
Illinois,817318.5949999997,Cook County
Illinois,68320.70399999998,Cook County/DuPage County
Illinois,82198.01200000006,Cook County/Kane County
Illinois,517569.9079999995,DuPage County
Illinois,187568.44300000003,Kane County
Illinois,83523.80799999999,Kendall County/Kane County/Will County/DuPage County
Illinois,67862.42400000003,Kendall County/Will County
Illinois,174704.57700000022,Peoria County
Illinois,180635.88600000012,Sangamon County
Illinois,155221.91499999998,Will County/DuPage County
