MinMaxDifference,College_University
-192,Avila University
-578,Central Methodist University - CGES
-24,Central Methodist University - CLAS
177,College of the Ozarks
-5994,Columbia College
-46,Cottey College
-897,Crowder College
316,Culver-Stockton College
-2114,Drury University
-1498,East Central College
-57,Evangel University
-1003,Fontbonne University
-253,Hannibal-LaGrange University
132,Harris Stowe State University
-1576,Jefferson College
-910,Lincoln University
-1669,Lindenwood University *
5293,Maryville University
-4905,Metropolitan Community College
-1150,Mineral Area College
127,Missouri Baptist University
398,Missouri Southern State University
3423,Missouri State University
-260,Missouri State University - West Plains
1079,Missouri University of Science & Technology
103,Missouri Valley College
-575,Missouri Western State University
-487,Moberly Area Community College
53,North Central Missouri College
-367,Northwest Missouri State University
-2960,Ozarks Technical Community College
-344,Park University
333,Rockhurst University
-3421,Saint Louis University
-418,Southeast Missouri State University
-308,Southwest Baptist University
-1905,St. Charles Community College
-7440,St. Louis CC - Florissant Valley
-8823,St. Louis CC - Forest Park
-11353,St. Louis CC - Meramec
-1614,St. Louis CC - Wildwood
-11073,St. Louis Community College
-345,State Fair Community College
303,State Technical College
-276,Stephens College
-1158,Three Rivers Community College
-256,Truman State University
-150,University of Central Missouri
-3919,University of Missouri-Columbia
902,University of Missouri-Kansas City
-368,University of Missouri-St. Louis
1944,Washington University
-7263,Webster University
-890,Wentworth Military Academy
-385,Westminster College
-252,William Jewell College
186,William Woods University
