Province,District,Value (c),Count
ADDIS ABABA,ADDIS ABABA,1,13
AFFAR,Affar - Zone 2,1,7
AFFAR,Affar -ZONE 1,1,6
AMHARA,Awi - Zone,1,3
AMHARA,East Gojjam - Zone,1,14
AMHARA,East Gojjam - Zone,2,1
AMHARA,East Hararge-Zone,2,1
AMHARA,North Gondar-Zone,1,13
AMHARA,North Gondar-Zone,2,1
AMHARA,North Shewa - Zone,1,7
AMHARA,North Shewa - Zone,2,1
AMHARA,North Shewa-Zone,1,1
AMHARA,North Wello-Zone,1,8
AMHARA,North Wello-Zone,2,2
AMHARA,Oromia - Zone,1,2
AMHARA,Oromia - Zone,2,2
AMHARA,South Gondar-Zone,1,10
AMHARA,South Wello-Zone,1,14
AMHARA,South Wello-Zone,2,2
AMHARA,Waghemira - Zone,1,3
AMHARA,Waghemira - Zone,2,2
AMHARA,West Gojjam - Zone,1,6
Aligarh,Aligarh,1,95
Aligarh,Aligarh,2,12
Allahabad,Allahabad,1,177
Allahabad,Allahabad,2,8
Ayeyarwaddy,Hinthada,1,55
Ayeyarwaddy,Hinthada,2,14
Ayeyarwaddy,Pathein,1,8
Bago,Bago,1,68
Bago,Bago,2,6
Bhojpur,Bhojpur,1,86
Bhojpur,Bhojpur,2,7
Boucle Du Mouhoun,Mouhoun,1,51
Boucle Du Mouhoun,Mouhoun,2,17
Cascades,Comoé,1,23
Cascades,Comoé,2,2
Central,Gatundu,1,2
Central,Gatundu,2,2
Central,Kiambu East (Kiambaa),2,8
Central,Kikuyu,2,7
Central,Kirinyaga,2,5
Central,Muranga North,1,5
Central,Muranga North,2,2
Central,Muranga South,1,2
Central,Muranga South,2,4
Central,Nyandarua South,1,2
Central,Nyandarua South,2,10
Central,Nyeri North,1,3
Central,Nyeri North,2,2
Central,Nyeri South,1,2
Central,Nyeri South,2,8
Central,Ruiru,2,4
Central,Thika West,2,7
Centre,Kadiogo,1,77
Centre,Kadiogo,2,6
Centre Est,Boulgou,1,44
Centre Est,Boulgou,2,6
Centre Nord,Sanmatenga,1,41
Centre Nord,Sanmatenga,2,6
Centre Ouest,Boulgou,1,3
Centre Ouest,Boulgou,2,2
Centre Ouest,Boulkiemde,1,46
Centre Ouest,Boulkiemde,2,4
Centre Sud,Zoundwéogo,1,26
Centre Sud,Zoundwéogo,2,1
Coast,Kaloleni,1,4
Coast,Kaloleni,2,4
Coast,Kilifi,1,4
Coast,Kilifi,2,8
Coast,Kilindini,1,1
