Model,Repair Cost,UnitSold
Prius,234548820,2
Prius,234548820,33
Camry,232918858,11
Camry,232918858,31
Prius,228479720,11
Prius,228479720,31
Prius,213581900,9
Camry,208386802,1
Camry,204966328,2
Camry,204966328,33
Camry,200634391,9
Prius,198146010,1
Prius,192472280,113
Camry,187537852,261
Prius,185468570,6
Camry,184117378,6
Camry,179785441,29
Prius,171505360,5
Prius,171505360,101
Prius,164501650,29
Camry,159585322,13
Camry,159585322,34
Sienna,159003611,1
Sienna,155971210,9
Prius,155134860,13
Prius,155134860,34
Prius,149065760,261
Sienna,148658261,2
Sienna,148658261,33
Sienna,148202324,11
Sienna,148202324,31
Yaris,147010331,11
Yaris,147010331,31
Yaris,145937051,9
Prius,143392030,38
Prius,143392030,249
Prius,143392030,476
Rav4,142958068,2
Rav4,142958068,33
Rav4,139198838,1
Camry,138736372,18
Camry,138736372,32
Camry,138736372,98
Camry,138736372,586
Camry,134404435,39
Camry,134404435,46
Camry,134404435,53
Camry,134404435,97
Camry,134404435,121
Camry,134404435,203
Rav4,133910568,11
Rav4,133910568,31
Camry,130983961,4
Camry,130983961,16
Camry,130983961,49
Camry,130983961,114
Corolla,130729400,9
Prius,128494210,17
Prius,128494210,273
Prius,128494210,473
Yaris,127369931,29
Yaris,126820425,2
Yaris,126820425,33
Tacoma,123245516,9
Tacoma,122503670,2
Tacoma,122503670,33
Prius,122425110,512
Prius,122425110,731
Prius,122425110,2145
Yaris,121912696,1
Sienna,121711481,13
Sienna,121711481,34
Prius,121490500,4
Prius,121490500,16
Prius,121490500,49
Prius,121490500,114
Sienna,121255544,261
Camry,119363373,113
Sienna,118223143,29
Corolla,117995210,1
Rav4,117800188,13
Rav4,117800188,34
Tacoma,117107561,1
Camry,115031436,5
Camry,115031436,101
Rav4,113386750,113
Prius,113058320,37
Prius,113058320,109
Prius,113058320,496
Corolla,112717840,2
Corolla,112717840,33
Rav4,112511918,6
Sienna,110910194,6
Rav4,108752688,261
Yaris,108253305,6
Prius,106989220,3
Prius,106989220,3124
Rav4,106573998,9
Camry,106451905,95
Camry,106451905,1811
Prius,106054610,18
Prius,106054610,32
Prius,106054610,98
Prius,106054610,586
Corolla,103510880,5
Corolla,103510880,101
Yaris,103345576,261
Sienna,101986977,5
Sienna,101986977,101
Camry,101934897,3
Camry,101934897,3124
Yaris,100988901,5
Yaris,100988901,101
Corolla,99803200,11
Corolla,99803200,31
Camry,98514423,38
Camry,98514423,249
Camry,98514423,476
Tacoma,96156020,13
Tacoma,96156020,34
Tacoma,95905716,5
Tacoma,95905716,101
Tacoma,95163870,113
Tacoma,94848686,11
Tacoma,94848686,31
Sienna,94674028,113
Camry,94182486,512
Camry,94182486,731
Camry,94182486,2145
Prius,92091400,36
Prius,92091400,43
Sienna,91732300,95
Sienna,91732300,1811
Sienna,91276363,39
Sienna,91276363,46
Sienna,91276363,53
Sienna,91276363,97
