Type,Component,Values,Date
Savings,Emergency Fund,₹0,2020-01-01 00:00:00
Savings,Emergency Fund,₹0,2020-02-01 00:00:00
Savings,Emergency Fund,₹0,2020-03-01 00:00:00
Savings,Emergency Fund,₹0,2020-04-01 00:00:00
Savings,Emergency Fund,₹2000,2020-05-01 00:00:00
Savings,Emergency Fund,₹0,2020-06-01 00:00:00
Savings,Emergency Fund,₹1000,2020-07-01 00:00:00
Savings,Emergency Fund,₹1000,2020-08-01 00:00:00
Savings,Emergency Fund,₹1000,2020-09-01 00:00:00
Savings,Emergency Fund,₹1000,2020-10-01 00:00:00
Savings,Emergency Fund,₹2000,2020-11-01 00:00:00
Savings,Emergency Fund,₹1000,2020-12-01 00:00:00
Expense,EMIs,₹10000,2020-01-01 00:00:00
Expense,EMIs,₹10000,2020-02-01 00:00:00
Expense,EMIs,₹10000,2020-03-01 00:00:00
Expense,EMIs,₹10000,2020-04-01 00:00:00
Expense,EMIs,₹10000,2020-05-01 00:00:00
Expense,EMIs,₹10000,2020-06-01 00:00:00
Expense,EMIs,₹10000,2020-07-01 00:00:00
Expense,EMIs,₹10000,2020-08-01 00:00:00
Expense,EMIs,₹10000,2020-09-01 00:00:00
Expense,EMIs,₹10000,2020-10-01 00:00:00
Expense,EMIs,₹12000,2020-11-01 00:00:00
Expense,EMIs,₹12000,2020-12-01 00:00:00
Savings,Fixed Deposit,₹0,2020-01-01 00:00:00
Savings,Fixed Deposit,₹0,2020-02-01 00:00:00
Savings,Fixed Deposit,₹0,2020-03-01 00:00:00
Savings,Fixed Deposit,₹0,2020-04-01 00:00:00
Savings,Fixed Deposit,₹0,2020-05-01 00:00:00
Savings,Fixed Deposit,₹2000,2020-06-01 00:00:00
Savings,Fixed Deposit,₹0,2020-07-01 00:00:00
Savings,Fixed Deposit,₹0,2020-08-01 00:00:00
Savings,Fixed Deposit,₹2000,2020-09-01 00:00:00
Savings,Fixed Deposit,₹2000,2020-10-01 00:00:00
Savings,Fixed Deposit,₹2500,2020-11-01 00:00:00
Savings,Fixed Deposit,₹2500,2020-12-01 00:00:00
Expense,Groceries & Food,₹10000,2020-01-01 00:00:00
Expense,Groceries & Food,₹10000,2020-02-01 00:00:00
Expense,Groceries & Food,₹10000,2020-03-01 00:00:00
Expense,Groceries & Food,₹8000,2020-04-01 00:00:00
Expense,Groceries & Food,₹8000,2020-05-01 00:00:00
Expense,Groceries & Food,₹8000,2020-06-01 00:00:00
Expense,Groceries & Food,₹10000,2020-07-01 00:00:00
Expense,Groceries & Food,₹10000,2020-08-01 00:00:00
Expense,Groceries & Food,₹10000,2020-09-01 00:00:00
Expense,Groceries & Food,₹8000,2020-10-01 00:00:00
Expense,Groceries & Food,₹10000,2020-11-01 00:00:00
Expense,Groceries & Food,₹10000,2020-12-01 00:00:00
Expense,Health,₹3000,2020-01-01 00:00:00
Expense,Health,₹3000,2020-02-01 00:00:00
Expense,Health,₹3000,2020-03-01 00:00:00
Expense,Health,₹3000,2020-04-01 00:00:00
Expense,Health,₹3000,2020-05-01 00:00:00
Expense,Health,₹3000,2020-06-01 00:00:00
Expense,Health,₹3000,2020-07-01 00:00:00
Expense,Health,₹3000,2020-08-01 00:00:00
Expense,Health,₹3000,2020-09-01 00:00:00
Expense,Health,₹3000,2020-10-01 00:00:00
Expense,Health,₹3000,2020-11-01 00:00:00
Expense,Health,₹4000,2020-12-01 00:00:00
Expense,House Rent,₹15000,2020-01-01 00:00:00
Expense,House Rent,₹15000,2020-02-01 00:00:00
Expense,House Rent,₹15000,2020-03-01 00:00:00
Expense,House Rent,₹15000,2020-04-01 00:00:00
Expense,House Rent,₹15000,2020-05-01 00:00:00
Expense,House Rent,₹15000,2020-06-01 00:00:00
Expense,House Rent,₹15000,2020-07-01 00:00:00
Expense,House Rent,₹15000,2020-08-01 00:00:00
Expense,House Rent,₹15000,2020-09-01 00:00:00
Expense,House Rent,₹15000,2020-10-01 00:00:00
Expense,House Rent,₹15000,2020-11-01 00:00:00
Expense,House Rent,₹15000,2020-12-01 00:00:00
Expense,Leisure,₹1500,2020-01-01 00:00:00
Expense,Leisure,₹1500,2020-02-01 00:00:00
Expense,Leisure,₹1500,2020-03-01 00:00:00
Expense,Leisure,₹1500,2020-04-01 00:00:00
Expense,Leisure,₹1500,2020-05-01 00:00:00
Expense,Leisure,₹500,2020-06-01 00:00:00
Expense,Leisure,₹1500,2020-07-01 00:00:00
Expense,Leisure,₹3000,2020-08-01 00:00:00
Expense,Leisure,₹1500,2020-09-01 00:00:00
Expense,Leisure,₹1500,2020-10-01 00:00:00
Expense,Leisure,₹1500,2020-11-01 00:00:00
Expense,Leisure,₹1500,2020-12-01 00:00:00
Savings,Liquid Cash,1500 -₹,2020-01-01 00:00:00
Savings,Liquid Cash,1500 -₹,2020-02-01 00:00:00
Savings,Liquid Cash,₹0,2020-03-01 00:00:00
Savings,Liquid Cash,₹500,2020-04-01 00:00:00
Savings,Liquid Cash,1500 -₹,2020-05-01 00:00:00
Savings,Liquid Cash,₹1500,2020-06-01 00:00:00
Savings,Liquid Cash,1500 -₹,2020-07-01 00:00:00
Savings,Liquid Cash,2000 -₹,2020-08-01 00:00:00
Savings,Liquid Cash,2500 -₹,2020-09-01 00:00:00
Savings,Liquid Cash,500 -₹,2020-10-01 00:00:00
Savings,Liquid Cash,₹1500,2020-11-01 00:00:00
Savings,Liquid Cash,₹500,2020-12-01 00:00:00
Savings,Mutual funds,₹7000,2020-01-01 00:00:00
Savings,Mutual funds,₹7000,2020-02-01 00:00:00
Savings,Mutual funds,₹7000,2020-03-01 00:00:00
Savings,Mutual funds,₹7000,2020-04-01 00:00:00
Savings,Mutual funds,₹7000,2020-05-01 00:00:00
Savings,Mutual funds,₹7000,2020-06-01 00:00:00
Savings,Mutual funds,₹7000,2020-07-01 00:00:00
Savings,Mutual funds,₹7000,2020-08-01 00:00:00
Savings,Mutual funds,₹7000,2020-09-01 00:00:00
Savings,Mutual funds,₹7000,2020-10-01 00:00:00
Savings,Mutual funds,₹8000,2020-11-01 00:00:00
Savings,Mutual funds,₹8000,2020-12-01 00:00:00
Income,Salary,₹43000,2020-01-01 00:00:00
Income,Salary,₹43000,2020-02-01 00:00:00
Income,Salary,₹43000,2020-03-01 00:00:00
Income,Salary,₹43000,2020-04-01 00:00:00
Income,Salary,₹43000,2020-05-01 00:00:00
Income,Salary,₹43000,2020-06-01 00:00:00
Income,Salary,₹43000,2020-07-01 00:00:00
Income,Salary,₹43000,2020-08-01 00:00:00
Income,Salary,₹43000,2020-09-01 00:00:00
Income,Salary,₹43000,2020-10-01 00:00:00
Income,Salary,₹51500,2020-11-01 00:00:00
Income,Salary,₹51500,2020-12-01 00:00:00
Expense,Shopping,₹2000,2020-01-01 00:00:00
Expense,Shopping,₹2000,2020-02-01 00:00:00
Expense,Shopping,₹500,2020-03-01 00:00:00
Expense,Shopping,₹2000,2020-04-01 00:00:00
Expense,Shopping,₹2000,2020-05-01 00:00:00
Expense,Shopping,₹0,2020-06-01 00:00:00
Expense,Shopping,₹3000,2020-07-01 00:00:00
Expense,Shopping,₹2000,2020-08-01 00:00:00
Expense,Shopping,₹2000,2020-09-01 00:00:00
Expense,Shopping,₹2000,2020-10-01 00:00:00
Expense,Shopping,₹2000,2020-11-01 00:00:00
Expense,Shopping,₹3000,2020-12-01 00:00:00
Income,Source 2,₹4000,2020-01-01 00:00:00
Income,Source 2,₹4000,2020-02-01 00:00:00
Income,Source 2,₹4000,2020-03-01 00:00:00
Income,Source 2,₹4000,2020-04-01 00:00:00
Income,Source 2,₹4000,2020-05-01 00:00:00
Income,Source 2,₹4000,2020-06-01 00:00:00
Income,Source 2,₹6000,2020-07-01 00:00:00
Income,Source 2,₹6000,2020-08-01 00:00:00
Income,Source 2,₹6000,2020-09-01 00:00:00
Income,Source 2,₹6000,2020-10-01 00:00:00
Income,Source 2,₹6000,2020-11-01 00:00:00
Income,Source 2,₹6000,2020-12-01 00:00:00
