FamilyName,RegionName,Quantity
Amphibian,East Anglia,43
Amphibian,East Midlands,97
Amphibian,London,220
Amphibian,North,84
Amphibian,North West,278
Amphibian,South East,427
Amphibian,South West,87
Amphibian,West Midlands,164
Amphibian,Yorkshire & Humberside,203
Bird,East Anglia,223
Bird,East Midlands,439
Bird,London,808
Bird,North,466
Bird,North West,1492
Bird,South East,1828
Bird,South West,450
Bird,West Midlands,819
Bird,Yorkshire & Humberside,1013
Fish,East Anglia,57
Fish,East Midlands,82
Fish,London,185
Fish,North,69
Fish,North West,219
Fish,South East,304
Fish,South West,50
Fish,West Midlands,175
Fish,Yorkshire & Humberside,117
Insect,East Anglia,3
Insect,East Midlands,4
Insect,London,28
Insect,North,12
Insect,North West,52
Insect,South East,83
Insect,South West,29
Insect,West Midlands,27
Insect,Yorkshire & Humberside,34
Mammal,East Anglia,1379
Mammal,East Midlands,2531
Mammal,London,5316
Mammal,North,2686
Mammal,North West,6858
Mammal,South East,10094
Mammal,South West,2394
Mammal,West Midlands,4936
Mammal,Yorkshire & Humberside,4677
Reptile,East Anglia,738
Reptile,East Midlands,1579
Reptile,London,2941
Reptile,North,1460
Reptile,North West,3832
Reptile,South East,5770
Reptile,South West,1371
Reptile,West Midlands,2673
Reptile,Yorkshire & Humberside,2509
