ShortMonth,Loai,Value
Jan,Budget,2685.42206
Jan,Forecast,2757.295065
Feb,Budget,4532.28237
Feb,Forecast,4669.62426
Mar,Budget,9219.22638
Mar,Forecast,9130.579973
Apr,Budget,11028.98554
Apr,Forecast,9978.605963
May,Budget,8170.086015
May,Forecast,8061.734728
Jun,Budget,12505.0926
Jun,Forecast,12144.36878
Jul,Budget,12479.43905
Jul,Forecast,11738.08624
Aug,Budget,9746.57376
Aug,Forecast,10355.73462
Sep,Budget,6836.107425
Sep,Forecast,6437.887575
Oct,Budget,5503.58718
Oct,Forecast,5397.748965
Nov,Budget,3066.217875
Nov,Forecast,2891.005425
Dec,Budget,3796.895518
Dec,Forecast,3931.03074
