Title,Date,Average Salary
Business Analyst,2020-02-01 00:00:00,$204
Business Analyst,2020-05-01 00:00:00,$131
Business Analyst,2020-06-01 00:00:00,$138
Business Analyst,2020-07-01 00:00:00,$120
Business Analyst,2020-08-01 00:00:00,$118
Business Analyst,2020-09-01 00:00:00,$112
Business Analyst,2020-10-01 00:00:00,$142
Business Analyst,2020-11-01 00:00:00,$114
Business Analyst,2020-12-01 00:00:00,$103
Data Scientist,2020-01-01 00:00:00,$222
Data Scientist,2020-02-01 00:00:00,$221
Data Scientist,2020-03-01 00:00:00,$206
Data Scientist,2020-04-01 00:00:00,$218
Data Scientist,2020-05-01 00:00:00,$192
Data Scientist,2020-06-01 00:00:00,$197
Data Scientist,2020-07-01 00:00:00,$164
Data Scientist,2020-08-01 00:00:00,$208
Data Scientist,2020-09-01 00:00:00,$184
Data Scientist,2020-10-01 00:00:00,$194
Data Scientist,2020-11-01 00:00:00,$187
Data Scientist,2020-12-01 00:00:00,$198
Hardware Engineer,2020-01-01 00:00:00,$257
Hardware Engineer,2020-02-01 00:00:00,$228
Hardware Engineer,2020-03-01 00:00:00,$208
Hardware Engineer,2020-04-01 00:00:00,$237
Hardware Engineer,2020-05-01 00:00:00,$208
Hardware Engineer,2020-06-01 00:00:00,$245
Hardware Engineer,2020-07-01 00:00:00,$203
Hardware Engineer,2020-08-01 00:00:00,$191
Hardware Engineer,2020-09-01 00:00:00,$205
Hardware Engineer,2020-10-01 00:00:00,$200
Hardware Engineer,2020-11-01 00:00:00,$202
Hardware Engineer,2020-12-01 00:00:00,$202
Human Resources,2020-07-01 00:00:00,$163
Human Resources,2020-08-01 00:00:00,$170
Human Resources,2020-09-01 00:00:00,$218
Human Resources,2020-10-01 00:00:00,$174
Human Resources,2020-11-01 00:00:00,$220
Human Resources,2020-12-01 00:00:00,$217
Management Consultant,2020-03-01 00:00:00,$138
Management Consultant,2020-04-01 00:00:00,$181
Management Consultant,2020-05-01 00:00:00,$174
Management Consultant,2020-06-01 00:00:00,$171
