Country,Revenue,Manufacturer
USA,326982196.904979,VanArsdel
Australia,186875918.19743112,VanArsdel
USA,174622039.72505015,Natura
USA,101161923.60748653,Aliqui
USA,81696078.13499224,Currus
USA,60401799.36000392,Pirum
Australia,54460607.93251361,Natura
Australia,33361560.329998188,Aliqui
Australia,29831335.64249871,Currus
Australia,21623209.17749965,Pirum
Germany,18196827.760000512,VanArsdel
Mexico,11490807.730000572,VanArsdel
Mexico,5716197.150000648,Natura
Germany,4245223.23000019,Natura
Canada,3245372.2349999086,VanArsdel
Mexico,2854180.339999991,Currus
Mexico,2797507.749999979,Aliqui
Germany,2656130.249999969,Aliqui
Japan,2513708.1374999937,VanArsdel
Mexico,2019105.2499998996,Pirum
Germany,1797817.9699999637,Currus
Canada,1754668.2825000638,Natura
Nigeria,1136103.0499999986,VanArsdel
Germany,1134042.5199999392,Pirum
Canada,1036163.8350000256,Aliqui
Canada,956405.3625000207,Currus
Japan,815903.6025000141,Natura
Japan,672102.7425000091,Pirum
Canada,665861.9625000131,Pirum
Japan,554169.4725000081,Currus
Nigeria,419885.93000000995,Natura
Nigeria,240372.61000000263,Aliqui
Japan,227106.91500000047,Aliqui
Nigeria,207131.27000000176,Pirum
Nigeria,205034.28000000116,Currus
