state_name,GDP,Population
,$1093406600000,
Alabama,$1764426200000,382112492
Alaska,$485500900000,30200443
Arizona,$2618100800000,237208214
Arkansas,$1039046800000,237505086
California,$21855515400000,1933201087
Colorado,$2757645100000,254394994
Connecticut,$2281281700000,274872531
Delaware,$592112900000,53549629
Florida,$7752898100000,789982122
Georgia,$4448709500000,551643608
Hawaii,$717685400000,64323732
Idaho,$578771600000,86906671
Illinois,$6868047700000,1091280083
Indiana,$2886103100000,514950839
Iowa,$1507387700000,307228290
Kansas,$1333753300000,247747696
Kentucky,$1675799100000,364211354
Louisiana,$2113952400000,361069960
Maine,$510141700000,114386215
Maryland,$3231461900000,368391935
Massachusetts,$4339849800000,578483494
Michigan,$4087166600000,798804946
Minnesota,$2864719300000,398711985
Mississippi,$935016300000,262333033
Missouri,$2566207100000,506814575
Montana,$397772900000,76410054
Nebraska,$988478300000,167681328
Nevada,$1267677800000,82122916
New Hampshire,$659668600000,85556749
New Jersey,$4963817200000,659287804
New Mexico,$815684200000,111875946
New York,$12855841900000,1736314925
North Carolina,$4338342200000,567799544
North Dakota,$454882200000,72215915
Ohio,$5272655200000,1000475041
Oklahoma,$1624844400000,295627588
Oregon,$1761815900000,220107804
Pennsylvania,$6179533300000,1222858219
Rhode Island,$492574100000,95021370
South Carolina,$1758221200000,301800277
South Dakota,$411443900000,77231697
Tennessee,$2771673600000,438384323
Texas,$13657096500000,1305232997
Utah,$1299379800000,130825462
Vermont,$270785700000,51352010
Virginia,$4239152100000,499078329
Washington,$4059833600000,366840660
Washington DC,,69791959
West Virginia,$636757700000,198264396
Wisconsin,$2646479400000,449291173
Wyoming,$343596100000,38233521
