ScheduledPassengerEnplanements(000),Year,Total Industry
547775,1995,69470
581237,1996,75286
594727,1997,79471
612882,1998,80985
635959,1999,84317
666149,2000,93639
622129,2001,80943
614277,2002,73352
647470,2003,77342
703692,2004,85697
738628,2005,93500
744728,2006,101294
769622,2007,107015
743313,2008,111533
703901,2009,91331
720496,2010,103978
730797,2011,114299
736701,2012,115975
743171,2013,120642
762710,2014,126706
798221,2015,126352
824038,2016,124633
849408,2017,129914
889020,2018,138420
926738,2019,144497
