keyphrases,Category,count,percentage
2 Weeks,Falling,24,0.4056109514956904
2 Weeks,Rising,5,0.08450228156160217
2 Weeks,Steady Negative,27,0.45631232043265174
2 Weeks,Steady Neutral,4,0.06760182524928172
Account Number,Rising,20,0.33800912624640866
Account Number,Steady Neutral,4,0.06760182524928172
Avenue,Falling,27,0.45631232043265174
Avenue,Rising,27,0.45631232043265174
Avenue,Steady Negative,47,0.7943214466790604
Avenue,Steady Neutral,7,0.11830319418624302
Bill,Falling,5,0.08450228156160217
Bill,Rising,7,0.11830319418624302
Bill,Steady Negative,47,0.7943214466790604
Bill,Steady Neutral,1,0.01690045631232043
Cable Out,Falling,2,0.03380091262464086
Cable Out,Rising,2,0.03380091262464086
Cable Out,Steady Negative,20,0.33800912624640866
Installation,Falling,22,0.3718100388710495
Installation,Steady Neutral,2,0.03380091262464086
Internet,Falling,22,0.3718100388710495
Internet,Rising,10,0.16900456312320433
Internet,Steady Neutral,4,0.06760182524928172
Mary Smith,Rising,10,0.16900456312320433
Mary Smith,Steady Neutral,2,0.03380091262464086
Modem,Rising,10,0.16900456312320433
Modem,Steady Neutral,2,0.03380091262464086
Move,Falling,22,0.3718100388710495
Move,Steady Neutral,2,0.03380091262464086
Name,Rising,20,0.33800912624640866
Name,Steady Neutral,4,0.06760182524928172
Notice,Falling,3,0.0507013689369613
Notice,Rising,5,0.08450228156160217
Notice,Steady Negative,27,0.45631232043265174
Notice,Steady Neutral,1,0.01690045631232043
Online,Falling,2,0.03380091262464086
Online,Rising,2,0.03380091262464086
Online,Steady Negative,20,0.33800912624640866
Paid,Falling,21,0.35490958255872906
Paid,Steady Neutral,3,0.0507013689369613
Past Due,Falling,3,0.0507013689369613
Past Due,Rising,5,0.08450228156160217
Past Due,Steady Negative,27,0.45631232043265174
Past Due,Steady Neutral,1,0.01690045631232043
Redmond,Falling,49,0.8281223593037013
Redmond,Rising,27,0.45631232043265174
Redmond,Steady Negative,47,0.7943214466790604
Redmond,Steady Neutral,9,0.1521041068108839
Soon,Falling,2,0.03380091262464086
Soon,Rising,4,0.06760182524928172
Soon,Steady High,17,0.28730775730944735
Soon,Steady Neutral,1,0.01690045631232043
Washington,Falling,27,0.45631232043265174
Washington,Rising,27,0.45631232043265174
Washington,Steady Negative,47,0.7943214466790604
Washington,Steady Neutral,7,0.11830319418624302
Watch,Falling,2,0.03380091262464086
Watch,Rising,4,0.06760182524928172
Watch,Steady High,17,0.28730775730944735
Watch,Steady Neutral,1,0.01690045631232043
Yes,Falling,2,0.03380091262464086
Yes,Rising,4,0.06760182524928172
Yes,Steady High,17,0.28730775730944735
Yes,Steady Neutral,1,0.01690045631232043
