REGION_NAME,STATE_NAME,Nr of Police Employees / Population,Officer | Civilian
USA South Region,District of Columbia,0.3046232413%,Officer
USA Northeast Region,New Jersey,0.1728463611%,Officer
USA South Region,Louisiana,0.1594535109%,Officer
USA Northeast Region,New York,0.1432308013%,Officer
USA South Region,Maryland,0.1357255726%,Officer
USA South Region,Tennessee,0.1242568791%,Officer
USA Northeast Region,Massachusetts,0.1200809309%,Officer
USA Midwest Region,Missouri,0.1183609584%,Officer
USA Northeast Region,Rhode Island,0.1177536487%,Officer
USA South Region,North Carolina,0.1172708620%,Officer
USA South Region,Delaware,0.1165747657%,Officer
USA Midwest Region,Kansas,0.1142874817%,Officer
USA West Region,Nevada,0.1134683504%,Officer
USA South Region,Georgia,0.1134272218%,Officer
USA South Region,Virginia,0.1122627671%,Officer
USA Midwest Region,North Dakota,0.1118823111%,Officer
USA South Region,Oklahoma,0.1116580737%,Officer
USA West Region,Colorado,0.1092726011%,Officer
USA Midwest Region,Wisconsin,0.1090295415%,Officer
USA South Region,Florida,0.1086750825%,Officer
,,0.1033597705%,Officer
USA Northeast Region,New Hampshire,0.1006450166%,Officer
USA Northeast Region,Connecticut,0.1004740455%,Officer
USA South Region,West Virginia,0.1003105828%,Officer
USA West Region,California,0.0991340888%,Officer
USA South Region,Arkansas,0.0988715570%,Officer
USA Midwest Region,Illinois,0.0978854163%,Officer
USA Midwest Region,South Dakota,0.0977535379%,Officer
USA Northeast Region,Pennsylvania,0.0950170503%,Officer
USA Northeast Region,Vermont,0.0933203669%,Officer
USA West Region,Arizona,0.0913868303%,Officer
USA South Region,South Carolina,0.0900682932%,Officer
USA West Region,Montana,0.0864554874%,Officer
USA South Region,Kentucky,0.0851234930%,Officer
USA Midwest Region,Nebraska,0.0841309213%,Officer
USA West Region,Alaska,0.0837082415%,Officer
USA Northeast Region,Maine,0.0835183104%,Officer
USA Midwest Region,Iowa,0.0823358921%,Officer
USA Midwest Region,Michigan,0.0822331497%,Officer
USA Midwest Region,Minnesota,0.0822324193%,Officer
USA West Region,Idaho,0.0800928189%,Officer
USA West Region,Oregon,0.0796290395%,Officer
USA South Region,Texas,0.0768960335%,Officer
USA West Region,Utah,0.0751723554%,Officer
USA South Region,Tennessee,0.0744754275%,Civilian
USA West Region,Washington,0.0719151076%,Officer
USA West Region,Arizona,0.0702560238%,Civilian
USA West Region,New Mexico,0.0700476792%,Officer
USA South Region,Florida,0.0670615270%,Civilian
USA Midwest Region,South Dakota,0.0654805757%,Civilian
USA South Region,Arkansas,0.0588265080%,Civilian
USA Midwest Region,Ohio,0.0571596402%,Officer
USA Midwest Region,Indiana,0.0545719364%,Officer
USA South Region,Alabama,0.0541787648%,Officer
USA West Region,Colorado,0.0533866381%,Civilian
USA South Region,North Carolina,0.0530884127%,Civilian
USA South Region,Oklahoma,0.0520809763%,Civilian
USA West Region,California,0.0515487190%,Civilian
USA West Region,Nevada,0.0507928139%,Civilian
USA West Region,Montana,0.0503759934%,Civilian
USA Northeast Region,New Jersey,0.0503411373%,Civilian
USA South Region,District of Columbia,0.0502181644%,Civilian
USA Northeast Region,New York,0.0486589671%,Civilian
USA South Region,Louisiana,0.0485239164%,Civilian
USA South Region,Texas,0.0480907583%,Civilian
USA Midwest Region,Missouri,0.0475863478%,Civilian
USA Midwest Region,Wisconsin,0.0468865106%,Civilian
USA West Region,Oregon,0.0466336462%,Civilian
USA West Region,Idaho,0.0464937269%,Civilian
USA West Region,Alaska,0.0460496020%,Civilian
USA Midwest Region,Kansas,0.0455453823%,Civilian
USA Midwest Region,Iowa,0.0454380883%,Civilian
USA Midwest Region,Minnesota,0.0437713311%,Civilian
USA Midwest Region,North Dakota,0.0428199463%,Civilian
USA South Region,Maryland,0.0416281628%,Civilian
USA Midwest Region,Illinois,0.0392130287%,Civilian
USA Midwest Region,Nebraska,0.0379029293%,Civilian
USA South Region,Georgia,0.0372609388%,Civilian
USA South Region,Mississippi,0.0365612403%,Officer
USA South Region,Delaware,0.0354526237%,Civilian
USA South Region,South Carolina,0.0352754326%,Civilian
USA West Region,Utah,0.0333061158%,Civilian
USA Midwest Region,Michigan,0.0325932863%,Civilian
USA West Region,Wyoming,0.0323481716%,Officer
USA West Region,Washington,0.0313114849%,Civilian
USA Northeast Region,New Hampshire,0.0312786068%,Civilian
USA West Region,New Mexico,0.0304503208%,Civilian
USA Northeast Region,Rhode Island,0.0302942481%,Civilian
USA South Region,Alabama,0.0300636165%,Civilian
USA South Region,Virginia,0.0294220921%,Civilian
USA South Region,West Virginia,0.0281602345%,Civilian
,,0.0272497124%,Civilian
USA Northeast Region,Massachusetts,0.0262440571%,Civilian
USA South Region,Kentucky,0.0239427208%,Civilian
USA Northeast Region,Vermont,0.0234871967%,Civilian
USA Northeast Region,Maine,0.0209245186%,Civilian
USA West Region,Wyoming,0.0198673810%,Civilian
USA Northeast Region,Connecticut,0.0197793274%,Civilian
USA Midwest Region,Ohio,0.0190801327%,Civilian
USA South Region,Mississippi,0.0190091653%,Civilian
USA Northeast Region,Pennsylvania,0.0180827279%,Civilian
USA Midwest Region,Indiana,0.0110132142%,Civilian
