,College_University,Difference
0,Crowder College,-897
1,East Central College,-1498
2,Jefferson College,-1576
3,Metropolitan Community College,-4905
4,Mineral Area College,-1150
5,Missouri State University - West Plains,-260
6,Moberly Area Community College,-487
7,North Central Missouri College,53
8,Ozarks Technical Community College,-2960
9,St. Charles Community College,-1905
10,St. Louis Community College,-11073
11,State Fair Community College,-345
12,State Technical College,303
13,Three Rivers Community College,-1158
14,Harris Stowe State University,132
15,Lincoln University,-910
16,Missouri Southern State University,398
17,Missouri State University,3423
18,Missouri University of Science & Technology,1079
19,Missouri Western State University,-575
20,Northwest Missouri State University,-367
21,Southeast Missouri State University,-418
22,Truman State University,-256
23,University of Central Missouri,-150
24,University of Missouri-Columbia,-3919
25,University of Missouri-Kansas City,902
26,University of Missouri-St. Louis,-368
27,Avila University,-192
28,Central Methodist University - CGES,-578
29,Central Methodist University - CLAS,-24
30,College of the Ozarks,177
31,Columbia College,-5994
32,Cottey College,-46
33,Culver-Stockton College,316
34,Drury University,-2114
35,Evangel University,-57
36,Fontbonne University,-1003
37,Hannibal-LaGrange University,-253
38,Lindenwood University *,-1669
39,Maryville University,5293
40,Missouri Baptist University,127
41,Missouri Valley College,103
42,Park University,-344
43,Rockhurst University,333
44,Saint Louis University,-3421
45,Southwest Baptist University,-308
46,Stephens College,-276
47,Washington University,1944
48,Webster University,-7263
49,Westminster College,-385
50,William Jewell College,-252
51,William Woods University,186
