TBDCoding,Actual TBD,Forecast TBD
Well control system,529.5,8.785565217391287
Mud pump,179,8.782065217391287
TDS,110,8.785565217391287
Plug Back / Side Tracking,42.5,58.387142857142855
Generator,28,8.785565217391287
Plugging Bit/String/ CSG,22,58.387142857142855
Wash pipe,18,8.785565217391287
Cut & Slips drilling line,12,8.785565217391287
Force Majeure,12,58.387142857142855
Fishing,11,58.387142857142855
IBOP,8.5,8.785565217391287
Air Wrench,8,8.785565217391287
Air hoist,2,8.785565217391287
Draw works,2,8.785565217391287
TOTCO Machine,2,8.785565217391287
Others Rig Equipments,1.5,8.785565217391287
Others Contingency,1,58.387142857142855
