Name,year,Total Spend
Cardano,2017,14.285714275526502
Cardano,2018,285.714285806363
Cardano,2020,128.57142849978376
Cardano,2021,357.14285713802076
Banx,2015,99.99999999906723
BitConnect,2017,14.28571438426851
Bitcoin Cash,2017,285.7142850887323
Bitcoin Cash,2018,685.7142882604505
Bitcoin Cash,2019,685.7142857220857
Bitcoin Cash,2020,685.7142856555971
Bitcoin Cash,2021,42.8571429917459
ByteCoin,2015,14.28570571150942
Binance Coin,2019,557.1428571411042
Binance Coin,2020,314.2857142923974
Binance Coin,2021,285.71428661855634
Bitcoin SV,2018,28.571428604216898
Bitcoin SV,2020,442.85714285309456
Bitcoin,2015,685.714285458188
Bitcoin,2016,685.7142859545138
Bitcoin,2017,685.7142867907787
Bitcoin,2018,685.7142852032295
Bitcoin,2019,685.7142888780963
Bitcoin,2020,685.7142960324107
Bitcoin,2021,357.1428088428023
Bitcoin Gold,2017,14.285714439633098
BitShares,2015,471.4285662813932
Crypto.com Coin,2020,14.28571429832989
DAO Maker,2016,114.28571423123049
Dash,2015,599.9999999938304
Dash,2016,642.8571428464444
Dash,2017,628.5714292053156
DigixDAO,2016,14.285714287902772
Dogecoin,2015,614.2855985435029
Dogecoin,2016,271.428703571654
Dogecoin,2021,157.14285713827118
Polkadot,2020,114.28571428473826
Polkadot,2021,357.1428571553128
Emercoin,2016,14.285714275185965
EOS,2018,528.5714285761566
EOS,2019,685.714285733738
EOS,2020,199.99999999897014
Ethereum Classic,2016,285.71428568697064
Ethereum Classic,2017,399.99999997059416
Ethereum,2015,271.4285714414947
Ethereum,2016,685.714285709077
Ethereum,2017,685.7142850794404
Ethereum,2018,685.7142875906403
Ethereum,2019,685.7142859785276
Ethereum,2020,685.7142857339261
Ethereum,2021,357.14286098422394
Factom,2016,28.57142857395837
Chainlink,2020,271.4285714020138
Chainlink,2021,28.571428571946598
Lisk,2016,42.857142816638785
Litecoin,2015,685.7142856889
Litecoin,2016,685.7142857255437
Litecoin,2017,685.714285899053
Litecoin,2018,642.8571432868913
Litecoin,2019,685.7142857544687
Litecoin,2020,571.4285714722967
Litecoin,2021,128.5714284061506
MaidSafeCoin,2015,142.85714317019102
MaidSafeCoin,2016,185.71428596202463
IOTA,2017,85.7142857263262
IOTA,2018,14.285714286733803
Neo,2017,28.571428576915917
Neo,2018,85.71428570661847
Nxt,2015,28.571427663319653
Peercoin,2015,42.85714287404873
Peercoin,2016,57.14285711880202
Steem,2016,114.28571429355526
TRON,2019,42.857142763033025
UniSwap,2021,71.42857142121466
NEM,2016,57.14285687397985
NEM,2017,342.8571427588612
NEM,2018,42.85714284971658
Stellar,2015,371.42857571435724
Stellar,2018,428.5714285563047
Stellar,2019,85.714285840167
Monero,2016,228.57142857376402
Monero,2017,242.8571427542153
PayCoin,2015,85.71428571779131
Ripple,2015,685.7142812090824
Ripple,2016,685.7142913810716
Ripple,2017,685.7142845207028
Ripple,2018,685.7142857075858
Ripple,2019,685.7142857547472
Ripple,2020,685.7142855601178
Ripple,2021,357.14285715189624
