name,Flow produktów,action
kurczak,445775,in
mleczko kokosowe,398042,in
woda,382574,in
bulion,298218.3333333333,in
tofu,282726,in
ziemniak,273241,in
mleko,257507,in
żeberko wieprzowe,246351,in
ciecierzyca,215052,in
makaron,207720,in
ryż,196518,in
mozzarella,194311,in
wołowina,187693,in
kukurydza,158150,in
bakłażan,149536.5,in
masło,147848,in
truskawka,137647,in
boczek,134451,in
łosoś,134444,in
fasola,125167,in
cukinia,120732,in
bita śmietana,118604,in
pęd bambusa,117211,in
mąka z orzechów,107956,in
krewetka,107645,in
gorzka czekolada,106552,in
makaron udong,96023,in
pieczarka,89186,in
cukier,78433.5,in
fasolka biała,77371,in
pomidor,76941,in
czekolada,73573,in
mięso drobiowe,71108,in
dorsz,66724,in
marynowana ostra papryczka,66360,in
sos stir-fry,64884,in
pasata pomidorowa,63150,in
napój z mango,56978,in
cebula,53979,in
żeberko,52471,in
mus jabłkowy,51311,in
polędwica wołowa,48239,in
makaron ryżowy,42994,in
pomidorek koktajlowy,41408,in
wieprzowina,39204,in
olej,38268,in
kiełbaska chorizo,36831,in
fasolka szparagowa,34423,in
zielona herbata,33739,in
pasta curry,32954,in
fasola czerwona,28451,in
sałata,28393,in
ser feta,28001,in
mąka orkiszowa,26405,in
jogurt naturalny,25862,in
makaron sojowy,25797,in
makaron pszenny,24045,in
ser mozzarella,23186,in
soczewica,21504,in
makaron jajeczny,20745,in
cebulka,20213,in
makaron chili,19774,in
białe wino,19063,in
kuskus,17334.833333333332,in
bazylia,14920,in
orzech nerkowca,14809,in
ser kozi,14045,in
groszek cukrowy,13675,in
kiełki,13604,in
szparag,13488.5,in
śmietanka kremowa,13289.333333333332,in
marynowana papryka jalapeño,13259,in
kurka,12418,in
sos sojowy,11347,in
pasta harissa,10742,in
imbir,10643,in
śmietanka kremówki,10413,in
oliwa,10362,in
tapioka,10328,in
czosnek,10206.5,in
liść bazylii,9716,in
syrop cytrynowy,9475,in
kasztan jadalny,9008,in
papryczka chili,8413.5,in
szczypiorek,8286,in
sos Hoisin,7858,in
sok z limonki,7068,in
sos teriyaki,7068,in
mięta,7065.333333333334,in
sezam,6806,in
miód,6541,in
jajko,6513,in
bulion mięsny,6407,in
herbata malinowa,6375,in
perełka tapioki,6368,in
leszcz morski,6059,in
musztarda,5718,in
sól,5686.5,in
solona pistacja,5684,in
sos chili,5639,in
biały sezam,5538,in
majeranek,5536,in
marchew,5404.5,in
ziele angielskie,5381,in
mango,5322,in
liść laurowy,5305,in
parmezan,5283,in
olej słonecznikowy,5232,in
mirin,5040,in
pieprz,4978,in
rukola,4958,in
śledź,4919,in
tortilla pszenna,4853,in
papryka,4833.75,in
tuńczyk w oliwie,4780,in
orzeszek pinii,4743,in
ocet winny,4709,in
wiórki kokosowe,4694,in
awokado,4653,in
marynowany podgrzybek,4612,in
wódka,4589,in
natka pietruszki,4544,in
kacze udko,4527,in
mąka pszenna,4525,in
zielona papryka,4517,in
zupka Shin Ramyun,4496,in
papryka czerwona,4494.5,in
cukier waniliowy,4481,in
por,4465,in
pasta miso,4457,in
cynamon,4454,in
sos serowy,4454,in
tortilla taco,4441,in
mąka ziemniaczana,4426,in
soda oczyszczona,4410.75,in
zupka Neoguri,4386,in
olej sezamowy,4347,in
płatki owsiane,4329,in
rum,4282,in
marchewka,4257,in
laska wanilii,4242,in
lód,4227,in
marynata,4211,in
ocet,4204,in
sałata lodowa,4201,in
maliny,4192,in
mąka,4185,in
pietruszka,4175,in
bułka do burgerów,4172,in
kmin rzymski,4142,in
pomidor malinowy,4104,in
pasta z wanilii,4073,in
cytryna,4057.75,in
wino ryżowe,4025,in
kakao,4015,in
ocet ryżowy,3998,in
seler,3962,in
limonka,3961,in
pasta sojowa,3961,in
jagoda goji,3957,in
mąka ryżowa,3951.5,in
majonez,3934.5,in
grzyb shiitake,3934,in
kolendra,3800,in
czerwona papryka,3786,in
brokuł,3785.5,in
sos ostrygowy,3718,in
chińska kapusta,3702,in
drożdże,3646,in
zupa krewetkowa,3611,in
sos Worcester,3556,in
sos do salsy,3532,in
nasiono granatu,3510,in
szpinak,3505,in
puree z mango,3496,in
żelatyna,3495,in
migdał,3470,in
marynowana cebula,3457,in
kalmar,3427,in
szarlotka,3425,in
ogórek,3351.5,in
alga,3342,in
konfitura malinowa,3331,in
rozmaryn,3331,in
ciabatta,3237,in
krem balsamiczny,3237,in
wasabi,3215,in
oregano,3213,in
przyprawa do drobiu,3203,in
chleb,2861,in
ocet ryżowy,0,out
pieprz,0,out
przyprawa do drobiu,0,out
wódka,-200,out
cukier waniliowy,-277,out
kolendra,-397,out
wiórki kokosowe,-404,out
liść laurowy,-477,out
ocet,-548,out
pietruszka,-562,out
laska wanilii,-573,out
soda oczyszczona,-753,out
biały sezam,-873,out
cynamon,-992,out
sól,-1010,out
ziele angielskie,-1431,out
chleb,-2840,out
wasabi,-3067,out
oregano,-3208,out
ciabatta,-3209,out
krem balsamiczny,-3235,out
rozmaryn,-3254,out
alga,-3283,out
szpinak,-3315,out
ogórek,-3330,out
