Grade,Student Name,Unexcused Absences,Total Incidents,GPA,School Name
Eighth,"0C8D3B2C8769, Male",19,3,1.505,Contoso Middle School
Sixth,"0D38A92F29A5, Male",12,8,1.545,Contoso Middle School
Seventh,"3407198B0EA0, Male",6,3,0.6,Contoso Middle School
Eighth,"3CCD2708453D, Male",31,6,1.293,Contoso Middle School
Seventh,"4407AF108A39, Male",6,9,1.429,Contoso Middle School
Sixth,"651271DBEA58, Male",12,,1.133,Contoso Middle School
Sixth,"74436EDE5807, Male",21,1,1.588,Contoso Middle School
Seventh,"7E7B820AA2E7, Male",22,1,1.439,Contoso Middle School
Eighth,"7F2F38FE2484, Male",15,13,1.313,Contoso Middle School
Seventh,"8AA40A823C16, Male",40,4,1.122,Contoso Middle School
Sixth,"AB4DD0F944DA, Female",8,,1.667,Contoso Middle School
Seventh,"BD9F3A3851A8, Female",29,2,1.574,Contoso Middle School
Eighth,"CC851896C1CE, Male",5,7,1.481,Contoso Middle School
Sixth,"EBE666D3623D, Male",6,1,1.147,Contoso Middle School
Eighth,"EC730CBF5F22, Male",22,2,1.667,Contoso Middle School
Eighth,"F5AD1DB85E0B, Male",19,4,1.653,Contoso Middle School
