,Menu Order,Food Name,Order YearMonth,Quantity
0,Wonder Plus,Add-On Beverage Item [Arabic Cold Brew],2020-11-01 00:00:00.000,2
1,Wonder Plus,Add-On Beverage Item [Kombucha Beetroot],2020-11-01 00:00:00.000,4
2,Wonder Plus,Add-On Beverage Item [Kombucha Beetroot],2021-02-01 00:00:00.000,2
3,Wonder Plus,Add-On Beverage Item [Kombucha Green Tea],2020-11-01 00:00:00.000,4
4,Wonder Plus,Add-On Beverage Item [Kombucha Green Tea],2021-02-01 00:00:00.000,2
5,Wonder Plus,Add-On Beverage Item [Kombucha Lemongrass & Green Tea],2020-11-01 00:00:00.000,4
6,Wonder Plus,Add-On Beverage Item [Kombucha Lemongrass & Green Tea],2020-12-01 00:00:00.000,1
7,Wonder Plus,Add-On Beverage Item [Kombucha Lemongrass & Green Tea],2021-02-01 00:00:00.000,1
8,Wonder Plus,Add-On Beverage Item [Kombucha Passionfruit],2020-11-01 00:00:00.000,8
9,Wonder Plus,Add-On Beverage Item [Kombucha Passionfruit],2020-12-01 00:00:00.000,5
10,Wonder Plus,Add-On Beverage Item [Kombucha Passionfruit],2021-01-01 00:00:00.000,2
11,Wonder Plus,Add-On Beverage Item [Kombucha Passionfruit],2021-02-01 00:00:00.000,3
12,Wonder Plus,Add-On Beverage Item [N. Soda Apply & Vanilla],2020-11-01 00:00:00.000,4
13,Wonder Plus,Add-On Beverage Item [N. Soda Apply & Vanilla],2020-12-01 00:00:00.000,1
14,Wonder Plus,Add-On Beverage Item [N. Soda Guava & Lemongr],2020-11-01 00:00:00.000,3
15,Wonder Plus,Add-On Beverage Item [N. Soda Lengkuas & Lemonade],2020-11-01 00:00:00.000,4
16,Wonder Plus,Add-On Food Item [Amazin' Grace Granola],2020-11-01 00:00:00.000,1
17,Wonder Plus,Add-On Food Item [Amazin' Grace Nut Mix],2020-12-01 00:00:00.000,1
18,Wonder Plus,Add-On Food Item [Buttermilk Pita Chips],2020-11-01 00:00:00.000,4
19,Wonder Plus,Add-On Food Item [Cheese Pita Chips],2020-12-01 00:00:00.000,2
20,Wonder Plus,Add-On Food Item [Cooked Falafel],2021-01-01 00:00:00.000,1
21,Wonder Plus,Add-On Food Item [Cookies],2020-12-01 00:00:00.000,5
22,Wonder Plus,Add-On Food Item [Cookies],2021-01-01 00:00:00.000,6
23,Wonder Plus,Add-On Food Item [Frozen Chicken Meatball],2020-12-01 00:00:00.000,1
24,Wonder Plus,Add-On Food Item [Frozen Sambusak],2020-12-01 00:00:00.000,1
25,Wonder Plus,Add-On Food Item [Mediterranean Lamb Stew],2020-11-01 00:00:00.000,1
