permit_authority_id,pim_link,address,net_num_units,is_adu,uuid
2020-003703PRJ,https://sfplanninggis.org/pim?search=2020-003703PRJ,100 SHOTWELL ST 94103,8,TRUE,8a7672fc-285b-4b68-96a0-909902796ec0
2018-009716PRJ,https://sfplanninggis.org/pim?search=2018-009716PRJ,101 SANCHEZ ST 94114,20,TRUE,95c92928-b7e3-416f-8fcd-00a46ee89b48
2017-000900PRJ,https://sfplanninggis.org/pim?search=2017-000900PRJ,1025 SANCHEZ ST 94114,6,TRUE,edd5db10-7bf4-426d-94f4-ae5d5480564a
2017-009275PRJ,https://sfplanninggis.org/pim?search=2017-009275PRJ,1031 SCOTT ST 94115,15,TRUE,b8f26d69-0ae2-4a5e-93be-42d6e68dc9ea
2018-006933PRJ,https://sfplanninggis.org/pim?search=2018-006933PRJ,1040 GREENWICH ST 94133,28,TRUE,b01746d3-1f65-4ebb-b212-eb8aabdc9a7a
2019-000627PRJ,https://sfplanninggis.org/pim?search=2019-000627PRJ,106 HAIGHT ST 94102,10,TRUE,3bced235-6515-4ec8-b360-642d2c5de1c9
2016-006759PRJ,https://sfplanninggis.org/pim?search=2016-006759PRJ,108 ALBION ST 94110,8,TRUE,de7ce589-ea05-4d12-95c5-bde5a9ff96b8
2019-016340PRJ,https://sfplanninggis.org/pim?search=2019-016340PRJ,1145 UNION ST 94109,12,TRUE,44058355-d139-4d71-8a9f-a6c0d41cde91
2020-000779PRJ,https://sfplanninggis.org/pim?search=2020-000779PRJ,119 16TH AVE 94118,8,TRUE,8336bd95-0d67-48fd-abef-7d5e97cce461
2016-009203PRJ,https://sfplanninggis.org/pim?search=2016-009203PRJ,122 TIFFANY AVE 94110,15,TRUE,7d428f16-7a06-4136-a14b-db4551c4c8b1
2017-004572PRJ,https://sfplanninggis.org/pim?search=2017-004572PRJ,1275 WALLER ST 94117,6,TRUE,bedf08b2-8720-4629-8c08-eed7ff741cc3
2019-004377PRJ,https://sfplanninggis.org/pim?search=2019-004377PRJ,1301 40TH AVE 94122,12,TRUE,456a5bfd-a74f-4abb-943a-03cd80184296
2018-000575PRJ,https://sfplanninggis.org/pim?search=2018-000575PRJ,133 BAKER ST 94117,6,TRUE,ed990204-e6dd-4620-944e-169e04ad88c7
2016-015853PRJ,https://sfplanninggis.org/pim?search=2016-015853PRJ,1345 CLEMENT ST 94118,6,TRUE,72f3435c-4e4d-405a-a9b5-d66c9a918296
2016-013340PRJ,https://sfplanninggis.org/pim?search=2016-013340PRJ,1364 PAGE ST 94117,8,TRUE,2481a897-aa3e-4204-a629-9143644fb338
2016-002770PRJ,https://sfplanninggis.org/pim?search=2016-002770PRJ,1372 PINE ST 94109,30,TRUE,0ab96954-f53a-49f8-a2d6-7fd7a41365c8
2020-000961PRJ,https://sfplanninggis.org/pim?search=2020-000961PRJ,1440 STEINER ST 94115,14,TRUE,9cd48f6e-2ceb-4bfa-8108-4992863c8f7c
2019-019697PRJ,https://sfplanninggis.org/pim?search=2019-019697PRJ,1544 POWELL ST 94133,8,TRUE,8149b972-8434-4efd-86a2-57137365c267
2017-005734PRJ,https://sfplanninggis.org/pim?search=2017-005734PRJ,156 MISSOURI ST 94107,7,TRUE,9f097aaf-cdd5-46b7-9d07-c71a6fa75e4a
2019-000297PRJ,https://sfplanninggis.org/pim?search=2019-000297PRJ,1608 VALLEJO ST 94123,6,TRUE,3882d82c-9ad4-403d-937b-a7f0c9c1f81a
2017-001226PRJ,https://sfplanninggis.org/pim?search=2017-001226PRJ,1633 WASHINGTON ST 94109,6,TRUE,05c5bd94-0ca6-4911-9ef0-b91e6e73ec8e
2018-008664PRJ,https://sfplanninggis.org/pim?search=2018-008664PRJ,165 CHATTANOOGA ST 94114,6,TRUE,68d8e79b-e229-4ab4-9fd1-a7334ffbb30f
2018-017124PRJ,https://sfplanninggis.org/pim?search=2018-017124PRJ,1650 CALIFORNIA ST 94109,30,TRUE,ba6a3006-1d7b-4e2a-8b5d-09f1cc784fb3
2018-001458PRJ,https://sfplanninggis.org/pim?search=2018-001458PRJ,1660 SACRAMENTO ST 94109,12,TRUE,bf62353b-04ff-4be5-afe7-584fe6fce95e
2018-006705PRJ,https://sfplanninggis.org/pim?search=2018-006705PRJ,1720 GOLDEN GATE AVE 94115,6,TRUE,09be34d9-d175-43c3-8197-6228b478af11
2016-011421PRJ,https://sfplanninggis.org/pim?search=2016-011421PRJ,1801 BEACH ST 94123,11,TRUE,717c4d2e-144d-49f0-ad09-cbe9ff57ef8a
2018-006086PRJ,https://sfplanninggis.org/pim?search=2018-006086PRJ,190 08TH AVE 94118,6,TRUE,1adc7435-718b-4a3d-b873-f8ac9cab3a6a
2018-008432PRJ,https://sfplanninggis.org/pim?search=2018-008432PRJ,20 LEONA TER 94115,11,TRUE,cb0ced48-a0c1-4268-b5de-2ff38ae793eb
