ObjectName,Sub Class,StartTime
Calendar-0154c2ab-c463-4172-a79c-58edddea5f72,ExecuteSQL,2022-03-20 17:54:28
Categories-4bd4c706-bd36-4d75-838e-2e58d7a7d15a,ExecuteSQL,2022-03-20 17:54:28
Customers-9b267f2a-d56d-4c80-8561-2d19309878bb,ExecuteSQL,2022-03-20 17:54:28
Employees-4d52b04d-7e3c-4b2f-88e2-84f70329223f,ExecuteSQL,2022-03-20 17:54:28
Orders-84605934-8ef4-48d9-9de5-b2f1d13afe13,ExecuteSQL,2022-03-20 17:54:28
Products-1951eefd-487e-47d1-acd4-96896fa2b2b3,ExecuteSQL,2022-03-20 17:54:28
Question8-09dddaa4-3971-4124-8f64-82f470b60343,Process,2022-03-20 17:54:28
Solutions-f4ed0f31-1dad-4374-82ec-1c2def9a1e02,ExecuteSQL,2022-03-20 17:54:28
Suppliers-dd82d4c7-2c53-42dc-a512-8ed5bb15f0d3,ExecuteSQL,2022-03-20 17:54:28
Table-b801effa-82a6-41a8-b110-220ddaccbf9e,Process,2022-03-20 17:54:28
Solutions-f4ed0f31-1dad-4374-82ec-1c2def9a1e02,Process,2022-03-20 17:54:29
Categories-4bd4c706-bd36-4d75-838e-2e58d7a7d15a,Process,2022-03-20 17:54:32
Customers-9b267f2a-d56d-4c80-8561-2d19309878bb,Process,2022-03-20 17:54:32
Employees-4d52b04d-7e3c-4b2f-88e2-84f70329223f,Process,2022-03-20 17:54:32
Products-1951eefd-487e-47d1-acd4-96896fa2b2b3,Process,2022-03-20 17:54:32
Suppliers-dd82d4c7-2c53-42dc-a512-8ed5bb15f0d3,Process,2022-03-20 17:54:32
Calendar-0154c2ab-c463-4172-a79c-58edddea5f72,Process,2022-03-20 17:54:34
Orders-84605934-8ef4-48d9-9de5-b2f1d13afe13,Process,2022-03-20 17:54:34
Question8-09dddaa4-3971-4124-8f64-82f470b60343,Process,2022-03-20 17:54:35
Table-b801effa-82a6-41a8-b110-220ddaccbf9e,Process,2022-03-20 17:54:35
