region,state_abbr,state_name,employee_type,percentage
USA West Region,AK,Alaska,Civilian,0.09209920399973687
USA West Region,AK,Alaska,Officer,0.16741648307240797
USA South Region,AL,Alabama,Civilian,0.06012723296343142
USA South Region,AL,Alabama,Officer,0.10835752961188339
USA South Region,AR,Arkansas,Civilian,0.11765301593826047
USA South Region,AR,Arkansas,Officer,0.19774311398905944
USA West Region,AZ,Arizona,Civilian,0.14051204761494016
USA West Region,AZ,Arizona,Officer,0.18277366064152106
USA West Region,CA,California,Civilian,0.10309743793147218
USA West Region,CA,California,Officer,0.1982681775772792
USA West Region,CO,Colorado,Civilian,0.10677327626512202
USA West Region,CO,Colorado,Officer,0.21854520218831341
USA Northeast Region,CT,Connecticut,Civilian,0.039558654896000786
USA Northeast Region,CT,Connecticut,Officer,0.20094809092455326
USA South Region,DC,District of Columbia,Civilian,0.10043632884323864
USA South Region,DC,District of Columbia,Officer,0.6092464825670201
USA South Region,DE,Delaware,Civilian,0.07090524749915966
USA South Region,DE,Delaware,Officer,0.23314953140213596
USA South Region,FL,Florida,Civilian,0.13412305406103156
USA South Region,FL,Florida,Officer,0.21735016508089197
USA South Region,GA,Georgia,Civilian,0.07452187766469454
USA South Region,GA,Georgia,Officer,0.22685444367011426
U.S. Territories,GM,Guam,Civilian,inf
U.S. Territories,GM,Guam,Officer,inf
,HI,,Civilian,0.05449942488396106
,HI,,Officer,0.2067195409158986
USA Midwest Region,IA,Iowa,Civilian,0.09087617656967441
USA Midwest Region,IA,Iowa,Officer,0.16467178412677244
USA West Region,ID,Idaho,Civilian,0.09298745371696979
USA West Region,ID,Idaho,Officer,0.1601856377927981
USA Midwest Region,IL,Illinois,Civilian,0.07842605734024448
USA Midwest Region,IL,Illinois,Officer,0.19577083264757647
USA Midwest Region,IN,Indiana,Civilian,0.02202642841987254
USA Midwest Region,IN,Indiana,Officer,0.10914387270730859
USA Midwest Region,KS,Kansas,Civilian,0.09109076451391154
USA Midwest Region,KS,Kansas,Officer,0.22857496330927857
USA South Region,KY,Kentucky,Civilian,0.04788544164640473
USA South Region,KY,Kentucky,Officer,0.1702469860765068
USA South Region,LA,Louisiana,Civilian,0.09704783273327741
USA South Region,LA,Louisiana,Officer,0.3189070218682361
USA Northeast Region,MA,Massachusetts,Civilian,0.0524881141414941
USA Northeast Region,MA,Massachusetts,Officer,0.24016186187724387
USA South Region,MD,Maryland,Civilian,0.08325632563256326
USA South Region,MD,Maryland,Officer,0.27145114511451146
USA Northeast Region,ME,Maine,Civilian,0.04184903714857055
USA Northeast Region,ME,Maine,Officer,0.1670366207837275
USA Midwest Region,MI,Michigan,Civilian,0.0651865725275132
USA Midwest Region,MI,Michigan,Officer,0.16446629935923907
USA Midwest Region,MN,Minnesota,Civilian,0.08754266220289574
USA Midwest Region,MN,Minnesota,Officer,0.1644648386424169
USA Midwest Region,MO,Missouri,Civilian,0.09517269569562933
USA Midwest Region,MO,Missouri,Officer,0.23672191683616278
USA South Region,MS,Mississippi,Civilian,0.03801833052969081
USA South Region,MS,Mississippi,Officer,0.07312248065754628
USA West Region,MT,Montana,Civilian,0.10075198685263241
