Model,UnitSold,TotalRepairCost
Camry,34008,48801480.0
Camry,36189,45381006.0
Camry,37463,85602955.0
Camry,38253,53133417.0
Camry,38970,20848950.0
Corolla,40453,31957870.0
Corolla,42350,26680500.0
Corolla,43204,27218520.0
Corolla,44274,13946310.0
Corolla,45098,44872510.0
Prius,31395,43011150.0
Prius,33508,79413960.0
Prius,34774,42076540.0
Prius,35347,63978070.0
Prius,35825,49080250.0
Rav4,23515,21398650.0
Rav4,25412,25157880.0
Rav4,26077,29571318.0
Rav4,27256,57782720.0
Rav4,28322,30446150.000000004
Sienna,21069,37292130.0
Sienna,21644,26946780.0
Sienna,22597,53984233.0
Sienna,23254,29979181.0
Sienna,24213,37748067.0
Tacoma,22911,26347650.0
Tacoma,23049,20951541.0
Tacoma,24520,27339800.0
Tacoma,25421,20209695.000000004
Tacoma,26345,48606525.0
Yaris,22879,38757026.0
Yaris,23581,44948150.0
Yaris,24191,43664755.0
Yaris,25180,19640400.0
Yaris,25968,18567120.0
