Year,Passenger_Revenue_RPMs_000,Available_Seat_Miles_Alaska
1995,540656211,13885.162
1996,578663005,14903.822
1997,603418767,15436.125
1998,617575274,16807.059
1999,652046935,17350.666
2000,692757241,17314.825
2001,651700325,17917.503
2002,642438958,19355.720127
2003,657322948,20920.921278
2004,733993053,22275.401762
2005,779035199,22295.220227
2006,797434432,23279.372312
2007,829441166,24212.229175
2008,812377467,24221.688268
2009,769411546,23147.84881
2010,798042877,24436.716611
2011,814354422,26521.098069
2012,823181781,28185.008574
2013,840432271,30416.56364
2014,862505910,32434.498081
2015,902234773,35917.395827
2016,933476480,38720.546511
2017,964348549,41468.377856
2018,1011517070,59186.490746
2019,1055591112,59714.508542
